cog,gene_name,gene_product
No Specific COG Annotation,ybjM,putative inner membrane protein
No Specific COG Annotation,ybjN,protein YbjN
No Specific COG Annotation,ybjO,putative inner membrane protein
No Specific COG Annotation,ybjP,DUF3828 domain-containing lipoprotein YbjP
Function unknown,ybjQ,putative heavy metal binding protein YbjQ
Cell wall/membrane/envelope biogenesis,ybjS,putative NAD(P)H-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain
General function prediction only,ybjT,putative NAD(P)-dependent oxidoreductase YbjT
Function unknown,ybjX,DUF535 domain-containing protein YbjX
General function prediction only,ycaC,putative hydrolase
Carbohydrate transport and metabolism,ycaD,putative transporter YcaD
General function prediction only,ycaI,metallo-β-lactamase superfamily inner membrane protein YcaI
General function prediction only,ycaK,putative NAD(P)H-dependent oxidoreductase YcaK
"Post-translational modification, protein turnover, and chaperones",ycaL,periplasmic protease YcaL
Aminio acid transport and metabolism,ycaM,putative transporter YcaM
Transcription,ycaN,putative LysR-type transcriptional regulator YcaN
"Translation, ribosomal structure, and biogenesis",ycaO,ribosomal protein S12 methylthiotransferase accessory factor YcaO
Function unknown,ycaP,DUF421 domain-containing protein YcaP
Function unknown,ycaR,UPF0434 family protein YcaR
Cell wall/membrane/envelope biogenesis,ycbB,"L,D-transpeptidase LdtD"
General function prediction only,ycbC,envelope biogenesis factor
No Specific COG Annotation,ycbJ,putative phosphotransferase YcbJ
Function unknown,ycbK,peptidoglycan LD-endopeptidase
General function prediction only,ycbL,hydroxyacylglutathione hydrolase GloC
Cell motility,ycbU,putative fimbrial protein YcbU
Cell motility,ycbV,putative fimbrial protein YcbV
No Specific COG Annotation,ycbW,cell division protein ZapC
General function prediction only,ycbX,6-N-hydroxylaminopurine resistance protein
"Post-translational modification, protein turnover, and chaperones",ycbZ,putative ATP-dependent protease YcbZ
General function prediction only,yccA,modulator of FtsH protease
No Specific COG Annotation,yccB,small protein AppX
No Specific COG Annotation,yccE,uncharacterized protein YccE
Function unknown,yccF,PF03733 family inner membrane protein YccF
No Specific COG Annotation,yccJ,PF13993 family protein YccJ
Inorganic ion transport and metabolism,yccK,sulfur transfer protein TusE
Function unknown,yccS,putative transporter YccS
Function unknown,yccT,DUF2057 domain-containing protein YccT
General function prediction only,yccU,putative CoA-binding protein with NAD(P)-binding Rossmann-fold domain
Energy production and conversion,yccX,acylphosphatase
No Specific COG Annotation,ycdT,probable diguanylate cyclase DgcT
Aminio acid transport and metabolism,ycdX,zinc-binding phosphatase YcdX
"Post-translational modification, protein turnover, and chaperones",ycdY,chaperone protein YcdY
No Specific COG Annotation,ycdZ,inner membrane protein YcdZ
General function prediction only,yceA,tRNA U34 hydroxylase TrhO
No Specific COG Annotation,yceB,putative lipid-binding lipoprotein YceB
Function unknown,yceD,DUF177 domain-containing protein YceD
"Secondary metabolites, biosynthesis, transport, and catabolism",yceF,m7GTP pyrophosphatase
"Cell cycle control, cell division, chromosome partitioning",yceG,endolytic murein transglycosylase
Function unknown,yceH,DUF480 domain-containing protein YceH
General function prediction only,yceI,protein YceI
Energy production and conversion,yceJ,putative cytochrome b561 YceJ
Function unknown,yceK,DUF1375 domain-containing lipoprotein YceK
General function prediction only,yceM,putative oxidoreductase YceM
"Translation, ribosomal structure, and biogenesis",ycfD,ribosomal protein-arginine oxygenase
Cell motility,ycfH,putative metal-dependent hydrolase YcfH
Function unknown,ycfJ,PF05433 family protein YcfJ
Function unknown,ycfL,DUF1425 domain-containing protein YcfL
General function prediction only,ycfP,UPF0227 protein YcfP
Cell wall/membrane/envelope biogenesis,ycfS,"L,D-transpeptidase LdtC"
"Cell cycle control, cell division, chromosome partitioning",ycgB,PF04293 family protein YcgB
No Specific COG Annotation,ycgE,DNA-binding transcriptional repressor BluR
Signal transduction mechanisms,ycgF,blue light-responsive regulator of BluR
Signal transduction mechanisms,ycgG,putative c-di-GMP phosphodiesterase PdeG
No Specific COG Annotation,ycgJ,PF05666 family protein YcgJ
Function unknown,ycgL,PF05166 family protein YcgL
"Secondary metabolites, biosynthesis, transport, and catabolism",ycgM,putative isomerase/hydrolase
Function unknown,ycgN,PF03693 family protein YcgN
Cell motility,ycgR,flagellar brake protein YcgR
"Intracellular trafficking, secretion, and vesicular transport",ycgV,putative autotransporter adhesin YcgV
Function unknown,ycgX,DUF1398 domain-containing protein YcgX
No Specific COG Annotation,ycgZ,putative two-component system connector protein YcgZ
Signal transduction mechanisms,ychA,transglutaminase-like/TPR repeat-containing protein
Aminio acid transport and metabolism,ychE,putative inner membrane protein
"Translation, ribosomal structure, and biogenesis",ychF,redox-responsive ATPase YchF
No Specific COG Annotation,ychH,stress-induced protein
Function unknown,ychJ,NTF2-like domain-containing protein YchJ
Inorganic ion transport and metabolism,ychM,aerobic C4-dicarboxylate transporter DauA
Inorganic ion transport and metabolism,ychN,DsrE/F sulfur relay family protein YchN
No Specific COG Annotation,ychO,putative invasin YchO
Function unknown,ychQ,SirB family protein YchQ
Lipid transport and metabolism,yciA,acyl-CoA thioesterase YciA
"Cell cycle control, cell division, chromosome partitioning",yciB,inner membrane protein
No Specific COG Annotation,yciC,putative inner membrane protein
Inorganic ion transport and metabolism,yciE,DUF892 domain-containing protein YciE
Inorganic ion transport and metabolism,yciF,DUF892 domain-containing protein YciF
No Specific COG Annotation,yciG,stress-induced bacterial acidophilic repeat motifs-containing protein YciG
"Translation, ribosomal structure, and biogenesis",yciH,putative translation factor
General function prediction only,yciI,protein YciI
"Secondary metabolites, biosynthesis, transport, and catabolism",yciK,putative oxidoreductase
Cell wall/membrane/envelope biogenesis,yciM,lipopolysaccharide assembly protein B
No Specific COG Annotation,yciN,protein YciN
"Translation, ribosomal structure, and biogenesis",yciO,putative RNA-binding protein YciO
No Specific COG Annotation,yciQ,DUF2207 domain-containing protein YciQ
Function unknown,yciS,lipopolysaccharide assembly protein A
Transcription,yciT,putative DNA-binding transcriptional regulator YciT
Function unknown,yciU,DUF440 domain-containing protein YciU
General function prediction only,yciV,RNA/ssDNA 5'&rarr;3' exonuclease
Function unknown,yciW,putative oxidoreductase
No Specific COG Annotation,yciX,uncharacterized protein YciX
No Specific COG Annotation,yciY,uncharacterized protein YciY
No Specific COG Annotation,yciZ,UPF0509 protein YciZ
Function unknown,ycjF,DUF697 domain-containing inner membrane protein YcjF
General function prediction only,ycjG,L-Ala-D/L-Glu epimerase
Aminio acid transport and metabolism,ycjQ,D-guloside 3-dehydrogenase
Carbohydrate transport and metabolism,ycjR,3-dehydro-D-guloside 4-epimerase
Transcription,ycjW,DNA-binding transcriptional repressor YcjW
General function prediction only,ycjX,DUF463 domain-containing protein YcjX
Signal transduction mechanisms,ycjY,putative hydrolase YcjY
Transcription,ycjZ,DNA-binding transcriptional repressor PgrR
No Specific COG Annotation,ydaF,Rac prophage; DUF1391 domain-containing protein YdaF
"Replication, recombination, and repair",ydaL,DNA endonuclease SmrA
Signal transduction mechanisms,ydaM,diguanylate cyclase DgcM
No Specific COG Annotation,ydaT,Rac prophage; protein YdaT
General function prediction only,ydbC,pyridoxine 4-dehydrogenase
No Specific COG Annotation,ydbD,DUF2773 domain-containing protein YdbD
No Specific COG Annotation,ydbH,PF11739 family protein YdbH
General function prediction only,ydbJ,DUF333 domain-containing protein YdbJ
Energy production and conversion,ydbK,putative pyruvate-flavodoxin oxidoreductase
Function unknown,ydbL,DUF1318 domain-containing protein YdbL
No Specific COG Annotation,ydcA,protein YdcA
No Specific COG Annotation,ydcD,uncharacterized protein YdcD
General function prediction only,ydcF,DUF218 domain-containing protein YdcF
Function unknown,ydcH,protein YdcH
Transcription,ydcI,DNA-binding transcriptional repressor YdcI
General function prediction only,ydcJ,DUF1338 domain-containing protein YdcJ
No Specific COG Annotation,ydcK,putative enzyme YdcK
No Specific COG Annotation,ydcL,DUF3313 domain-containing lipoprotein YdcL
No Specific COG Annotation,ydcN,DNA-binding transcriptional dual regulator SutR
"Secondary metabolites, biosynthesis, transport, and catabolism",ydcO,putative transport protein YdcO
"Post-translational modification, protein turnover, and chaperones",ydcP,23S rRNA 5-hydroxycytidine C2501 synthase
Transcription,ydcR,fused putative DNA-binding transcriptional regulator/putative aminotransferase YdcR
Aminio acid transport and metabolism,ydcS,putative ABC transporter periplasmic binding protein / polyhydroxybutyrate synthase
Aminio acid transport and metabolism,ydcT,putative ABC transporter ATP-binding protein YdcT
Aminio acid transport and metabolism,ydcU,putative ABC transporter membrane subunit YdcU
No Specific COG Annotation,ydcX,orphan toxin OrtT
No Specific COG Annotation,ydcY,DUF2526 domain-containing protein YdcY
Function unknown,ydcZ,putative inner membrane protein
General function prediction only,yddA,ABC transporter family protein YddA
Inorganic ion transport and metabolism,yddB,putative TonB-dependent receptor
General function prediction only,yddE,PF02567 family protein YddE
No Specific COG Annotation,yddG,amino acid exporter YddG
Energy production and conversion,yddH,flavin reductase-like protein YddH
Defense Mechanisms,yddM,DNA-binding transcriptional regulator YddM
Function unknown,yddW,putative lipoprotein YddW
No Specific COG Annotation,yddj,uncharacterized protein YddJ
Carbohydrate transport and metabolism,ydeA,YDEA-MONOMER
Carbohydrate transport and metabolism,ydeE,dipeptide exporter
Signal transduction mechanisms,ydeH,diguanylate cyclase DgcZ
Function unknown,ydeI,BOF family protein YdeI
Coenzyme transport and metabolism,ydeJ,PF02464 family protein YdeJ
Inorganic ion transport and metabolism,ydeN,putative sulfatase YdeN
Transcription,ydeO,DNA-binding transcriptional dual regulator YdeO
Energy production and conversion,ydeP,putative oxidoreductase YdeP
No Specific COG Annotation,ydfC,Qin prophage; uncharacterized protein YdfC
Energy production and conversion,ydfG,3-hydroxy acid dehydrogenase
Transcription,ydfH,DNA-binding transcriptional repressor YdfH
Carbohydrate transport and metabolism,ydfI,putative oxidoreductase YdfI
No Specific COG Annotation,ydfW,Qin prophage; uncharacterized protein YdfW
No Specific COG Annotation,ydfZ,putative selenoprotein YdfZ
Function unknown,ydgA,DUF945 domain-containing protein YdgA
Function unknown,ydgC,GlpM family protein
Aminio acid transport and metabolism,ydgD,putative serine protease YdgD
No Specific COG Annotation,ydgH,DUF1471 domain-containing protein YdgH
Aminio acid transport and metabolism,ydgI,putative arginine:ornithine antiporter
General function prediction only,ydgJ,putative oxidoreductase YdgJ
No Specific COG Annotation,ydgK,DUF2569 domain-containing inner membrane protein YdgK
Transcription,ydhB,putative LysR family DNA-binding transcriptional regulator YdhB
Carbohydrate transport and metabolism,ydhC,putative transporter YdhC
General function prediction only,ydhF,putative oxidoreductase YdhF
No Specific COG Annotation,ydhI,DUF1656 domain-containing protein YdhI
Defense Mechanisms,ydhJ,putative membrane fusion protein YdhJ
Function unknown,ydhK,putative transporter YdhK
General function prediction only,ydhL,DUF1289 domain-containing protein YdhL
No Specific COG Annotation,ydhO,G6892-MONOMER
Carbohydrate transport and metabolism,ydhP,putative transporter YdhP
No Specific COG Annotation,ydhQ,putative adhesin-related protein YdhQ
No Specific COG Annotation,ydhR,putative monooxygenase YdhR
General function prediction only,ydhS,FAD/NAD(P) binding domain-containing protein YdhS
No Specific COG Annotation,ydhZ,fumarase D
Aminio acid transport and metabolism,ydiB,quinate/shikimate dehydrogenase
Coenzyme transport and metabolism,ydiE,PF10636 family protein YdiE
Lipid transport and metabolism,ydiF,putative acetate-CoA transferase YdiF
No Specific COG Annotation,ydiH,protein YdiH
"Secondary metabolites, biosynthesis, transport, and catabolism",ydiI,"1,4-dihydroxy-2-naphthoyl-CoA hydrolase"
Energy production and conversion,ydiJ,putative FAD-linked oxidoreductase
General function prediction only,ydiK,putative transporter YdiK
Lipid transport and metabolism,ydiO,putative acyl-CoA dehydrogenase YdiO
Transcription,ydiP,putative DNA-binding transcriptional regulator YdiP
Energy production and conversion,ydiQ,putative electron transfer flavoprotein subunit YdiQ
Energy production and conversion,ydiR,putative electron transfer flavoprotein subunit YdiR
Energy production and conversion,ydiS,putative electron transfer flavoprotein-quinone oxidoreductase YdiS
Function unknown,ydiU,UPF0061 family protein YdiU
Signal transduction mechanisms,ydiV,anti-FlhDC factor
Cell wall/membrane/envelope biogenesis,ydiY,acid-inducible putative outer membrane protein YdiY
No Specific COG Annotation,ydiZ,protein YdiZ
Carbohydrate transport and metabolism,ydin,putative transporter YdiN
Energy production and conversion,ydjA,putative oxidoreductase YdjA
Transcription,ydjF,putative DNA-binding transcriptional regulator YdjF
General function prediction only,ydjG,NADH-dependent methylglyoxal reductase
Carbohydrate transport and metabolism,ydjH,putative sugar kinase YdjH
Carbohydrate transport and metabolism,ydjI,putative aldolase YdjI
Aminio acid transport and metabolism,ydjJ,putative zinc-binding dehydrogenase YdjJ
Aminio acid transport and metabolism,ydjL,putative zinc-binding dehydrogenase YdjL
General function prediction only,ydjM,inner membrane protein YdjM
Aminio acid transport and metabolism,ydjN,cystine/sulfocysteine:cation symporter
No Specific COG Annotation,ydjY,4Fe-4S ferredoxin-type domain-containing protein YdjY
Function unknown,ydjZ,DedA family protein YdjZ
Function unknown,yeaC,DUF1315 domain-containing protein YeaC
Carbohydrate transport and metabolism,yeaD,putative aldose 1-epimerase YeaD
"Secondary metabolites, biosynthesis, transport, and catabolism",yeaE,methylglyoxal reductase YeaE
Signal transduction mechanisms,yeaG,protein kinase YeaG
General function prediction only,yeaH,DUF444 domain-containing protein YeaH
Signal transduction mechanisms,yeaI,putative c-di-GMP binding protein CdgI
Signal transduction mechanisms,yeaJ,putative diguanylate cyclase DgcJ
"Translation, ribosomal structure, and biogenesis",yeaK,mischarged aminoacyl-tRNA deacylase
Function unknown,yeaL,DUF441 domain-containing inner membrane protein YeaL
Transcription,yeaM,DNA-binding transcriptional repressor NimR
Inorganic ion transport and metabolism,yeaN,2-nitroimidazole exporter
Function unknown,yeaO,DUF488 domain-containing protein YeaO
Signal transduction mechanisms,yeaP,diguanylate cyclase DgcP
General function prediction only,yeaQ,PF04226 family protein YeaQ
Function unknown,yeaR,DUF1971 domain-containing protein YeaR
Energy production and conversion,yeaX,carnitine monooxygenase subunit YeaX
Cell wall/membrane/envelope biogenesis,yeaY,Slp family lipoprotein YeaY
Cell wall/membrane/envelope biogenesis,yebA,EG10013-MONOMER
"Translation, ribosomal structure, and biogenesis",yebC,putative transcriptional regulator YebC
Function unknown,yebE,DUF533 domain-containing inner membrane protein YebE
No Specific COG Annotation,yebF,secreted protein YebF
"Replication, recombination, and repair",yebG,DNA damage-inducible protein YebG
Transcription,yebK,DNA-binding transcriptional repressor YebK
Inorganic ion transport and metabolism,yebN,G6999-MONOMER
No Specific COG Annotation,yebO,uncharacterized protein YebO
Carbohydrate transport and metabolism,yebQ,putative transporter YebQ
Function unknown,yebS,intermembrane transport protein YebS
Function unknown,yebT,intermembrane transport protein YebT
No Specific COG Annotation,yebV,DUF1480 domain-containing protein YebV
No Specific COG Annotation,yebW,DUF1482 domain-containing protein YebW
No Specific COG Annotation,yebY,DUF2511 domain-containing protein YebY
Inorganic ion transport and metabolism,yebZ,putative inner membrane protein
Function unknown,yecA,UPF0149 family protein YecA
Aminio acid transport and metabolism,yecC,cystine ABC transporter ATP binding subunit
General function prediction only,yecD,isochorismatase family protein YecD
Function unknown,yecE,DUF72 domain-containing protein YecE
No Specific COG Annotation,yecF,DUF2594 domain-containing protein YecF
No Specific COG Annotation,yecH,DUF2492 domain-containing protein YecH
No Specific COG Annotation,yecJ,DUF2766 domain-containing protein YecJ
General function prediction only,yecM,putative metal-binding enzyme YecM
Function unknown,yecN,MAPEG family inner membrane protein YecN
Aminio acid transport and metabolism,yecS,cystine ABC transporter membrane subunit
Function unknown,yect,protein YecT
No Specific COG Annotation,yedD,lipoprotein YedD
General function prediction only,yedE,putative selenium transporter YedE
"Post-translational modification, protein turnover, and chaperones",yedF,putative sulfurtransferase YedF
Function unknown,yedI,DUF808 domain-containing inner membrane protein YedI
"Translation, ribosomal structure, and biogenesis",yedJ,putative HD superfamily phosphohydrolase YedJ
"Post-translational modification, protein turnover, and chaperones",yedK,EG11662-MONOMER
No Specific COG Annotation,yedL,putative acetyltransferase YedL
Carbohydrate transport and metabolism,yedP,putative mannosyl-3-phosphoglycerate phosphatase
Signal transduction mechanisms,yedQ,putative diguanylate cyclase DgcQ
No Specific COG Annotation,yedR,putative inner membrane protein
Signal transduction mechanisms,yedV,"sensory histidine kinase HprS - phosphorylated // ""sensory histidine kinase HprS"""
Transcription,yedW,"phosphorylated DNA-binding transcriptional dual regulator HprR // ""DNA-binding transcriptional dual regulator HprR"""
Energy production and conversion,yedY,periplasmic protein-L-methionine sulfoxide reductase catalytic subunit
Energy production and conversion,yedZ,periplasmic protein-L-methionine sulfoxide reductase heme binding subunit
No Specific COG Annotation,yeeA,putative transporter YeeA
"Post-translational modification, protein turnover, and chaperones",yeeD,putative sulfurtransferase YeeD
General function prediction only,yeeE,inner membrane protein YeeE
Aminio acid transport and metabolism,yeeF,YEEF-MONOMER
No Specific COG Annotation,yeeJ,inverse autotransporter adhesin
"Translation, ribosomal structure, and biogenesis",yeeN,putative transcriptional regulator YeeN
Defense Mechanisms,yeeO,FMN/FAD exporter
No Specific COG Annotation,yeeR,CP4-44 prophage; inner membrane protein YeeR
Function unknown,yeeX,DUF496 domain-containing protein YeeX
Transcription,yeeY,putative DNA-binding transcriptional regulator YeeY
Cell wall/membrane/envelope biogenesis,yeeZ,putative epimerase YeeZ
Defense Mechanisms,yefM,YefM antitoxin of the YoeB-YefM toxin-antitoxin pair and DNA binding transcriptional repressor
"Post-translational modification, protein turnover, and chaperones",yegD,HSP70 family protein YegD
Signal transduction mechanisms,yegE,putative diguanylate cyclase DgcE
Inorganic ion transport and metabolism,yegH,inner membrane protein YegH
Function unknown,yegP,DUF1508 domain-containing protein YegP
"Post-translational modification, protein turnover, and chaperones",yegQ,tRNA wobble base hydroxylation protein TrhP
No Specific COG Annotation,yegR,uncharacterized protein YegR
General function prediction only,yegS,lipid kinase YegS
No Specific COG Annotation,yegT,putative transporter YegT
"Post-translational modification, protein turnover, and chaperones",yegU,putative ADP-ribosylglycohydrolase YegU
Carbohydrate transport and metabolism,yegV,putative sugar kinase YegV
Transcription,yegW,putative DNA-binding transcriptional regulator YegW
Cell wall/membrane/envelope biogenesis,yegX,putative hydrolase
Cell motility,yehD,putative fimbrial protein YehD
No Specific COG Annotation,yehE,DUF2574 domain-containing protein YehE
No Specific COG Annotation,yehI,DUF4132 domain-containing protein YehI
Function unknown,yehR,DUF1307 domain-containing lipoprotein YehR
Function unknown,yehS,DUF1456 domain-containing protein YehS
Transcription,yehT,"Phosphorylated DNA-binding transcriptional activator BtsR // ""DNA-binding transcriptional activator BtsR"""
Signal transduction mechanisms,yehU,"BtsS-N-phospho-L-histidine // ""high-affinity pyruvate receptor"""
Aminio acid transport and metabolism,yehW,glycine betaine ABC transporter membrane subunit YehW
Aminio acid transport and metabolism,yehX,glycine betaine ABC transporter ATP binding subunit YehX
Aminio acid transport and metabolism,yehY,glycine betaine ABC transporter membrane subunit YehY
Nucleotide transport and metabolism,yeiA,NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
Function unknown,yeiB,DUF418 domain-containing protein YeiB
Transcription,yeiE,LysR-type transcriptional regulator YeiE
Defense Mechanisms,yeiG,S-formylglutathione hydrolase / S-lactoylglutathione hydrolase
Function unknown,yeiH,PF03601 family inner membrane protein YeiH
Carbohydrate transport and metabolism,yeiI,putative sugar kinase YeiI
"Translation, ribosomal structure, and biogenesis",yeiP,elongation factor P family protein
Carbohydrate transport and metabolism,yeiQ,"putative dehydrogenase, NAD-dependent"
General function prediction only,yeiR,zinc-binding GTPase YeiR
No Specific COG Annotation,yeiS,DUF2542 domain-containing protein YeiS
Lipid transport and metabolism,yeiU,Kdo2-lipid A phosphotransferase
Aminio acid transport and metabolism,yejA,putative oligopeptide ABC transporter periplasmic binding protein YejA
"Secondary metabolites, biosynthesis, transport, and catabolism",yejB,putative oligopeptide ABC transporter membrane subunit YejB
"Secondary metabolites, biosynthesis, transport, and catabolism",yejE,putative oligopeptide ABC transporter membrane subunit YejE
"Secondary metabolites, biosynthesis, transport, and catabolism",yejF,putative oligopeptide ABC transporter ATP binding subunit YejF
No Specific COG Annotation,yejG,protein YejG
Transcription,yejH,putative DNA repair helicase RadD
Function unknown,yejK,nucleoid-associated protein YejK
Function unknown,yejL,DUF1414 domain-containing protein YejL
Cell wall/membrane/envelope biogenesis,yejM,putative cardiolipin transport protein YejM
"Replication, recombination, and repair",yfaD,inactive recombination-promoting nuclease-like protein RpnE
Energy production and conversion,yfaE,ferredoxin-like diferric-tyrosyl radical cofactor maintenance protein YfaE
"Intracellular trafficking, secretion, and vesicular transport",yfaL,putative autotransporter adhesin YfaL
General function prediction only,yfaY,IPR008135 CinA family protein YfaY
No Specific COG Annotation,yfaZ,putative porin YfaZ
Carbohydrate transport and metabolism,yfau,2-keto-3-deoxy-L-rhamnonate aldolase
General function prediction only,yfbK,IPR002035/DUF3520 domain-containing protein YfbK
No Specific COG Annotation,yfbM,DUF1877 domain-containing protein YfbM
No Specific COG Annotation,yfbP,uncharacterized protein YfbP
General function prediction only,yfbR,dCMP phosphohydrolase
Carbohydrate transport and metabolism,yfbS,putative transporter YfbS
General function prediction only,yfbT,hexitol phosphatase A
Function unknown,yfbU,UPF0304 family protein YfbU
Function unknown,yfbV,UPF0208 membrane protein YfbV
Function unknown,yfcA,putative transporter YfcA
Lipid transport and metabolism,yfcD,putative Nudix hydrolase YfcD
General function prediction only,yfcE,phosphodiesterase YfcE
"Post-translational modification, protein turnover, and chaperones",yfcF,glutathione S-transferase YfcF
"Post-translational modification, protein turnover, and chaperones",yfcG,disulfide reductase
General function prediction only,yfcH,putative NAD-dependent epimerase YfcH
"Replication, recombination, and repair",yfcI,recombination-promoting nuclease RpnB
Carbohydrate transport and metabolism,yfcJ,putative transporter YfcJ
No Specific COG Annotation,yfcL,PF08891 family protein YfcL
"Translation, ribosomal structure, and biogenesis",yfcM,EF-P-Lys34 hydroxylase
"Replication, recombination, and repair",yfcN,putative endonuclease SmrB
No Specific COG Annotation,yfcO,DUF2544 domain-containing protein YfcO
Function unknown,yfcZ,DUF406 domain-containing protein YfcZ
Inorganic ion transport and metabolism,yfdC,inner membrane protein YfdC
Lipid transport and metabolism,yfdE,acetyl-CoA:oxalate CoA-transferase
No Specific COG Annotation,yfdF,protein YfdF
Cell wall/membrane/envelope biogenesis,yfdH,CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase
No Specific COG Annotation,yfdI,CPS-53 (KpLE1) prophage; serotype-specific glucosyl transferase YfdI
No Specific COG Annotation,yfdK,CPS-53 (KpLE1) prophage; putative tail fiber assembly protein YfdK
Function unknown,yfdQ,CPS-53 (KpLE1) prophage; protein YfdQ
No Specific COG Annotation,yfdX,protein YfdX
No Specific COG Annotation,yfdY,DUF2545 domain-containing protein YfdY
Signal transduction mechanisms,yfeA,putative c-di-GMP phosphodiesterase PdeA
No Specific COG Annotation,yfeC,putative DNA-binding transcriptional regulator YfeC
No Specific COG Annotation,yfeD,putative DNA-binding transcriptional regulator YfeD
General function prediction only,yfeH,putative solute:Na+ symporter
No Specific COG Annotation,yfeK,DUF5329 domain-containing protein YfeK
Inorganic ion transport and metabolism,yfeO,putative transport protein YfeO
Transcription,yfeR,putative LysR-type DNA-binding transcriptional regulator YfeR
Function unknown,yfeS,PF05406 family protein YfeS
Defense Mechanisms,yfeW,penicillin binding protein 4B
Inorganic ion transport and metabolism,yfeX,porphyrinogen peroxidase
No Specific COG Annotation,yfeY,DUF1131 domain-containing lipoprotein YfeY
No Specific COG Annotation,yfeZ,putative inner membrane protein
Inorganic ion transport and metabolism,yffB,putative reductase YffB
No Specific COG Annotation,yffL,CPZ-55 prophage; uncharacterized protein YffL
No Specific COG Annotation,yffO,CPZ-55 prophage; uncharacterized protein YffO
No Specific COG Annotation,yffP,CPZ-55 prophage; uncharacterized protein YffP
No Specific COG Annotation,yffR,CPZ-55 prophage; uncharacterized protein YffR
No Specific COG Annotation,yffS,CPZ-55 prophage; uncharacterized protein YffS
Inorganic ion transport and metabolism,yfgD,putative oxidoreductase YfgD
No Specific COG Annotation,yfgG,nickel/cobalt stress response protein YfgG
Cell wall/membrane/envelope biogenesis,yfgH,lipoprotein YfgH
No Specific COG Annotation,yfgI,nalidixic acid resistance protein YfgI
No Specific COG Annotation,yfgJ,zinc ribbon domain-containing protein YfgJ
Signal transduction mechanisms,yfgM,ancillary SecYEG translocon subunit
General function prediction only,yfgO,putative transporter YfgO
Aminio acid transport and metabolism,yfhB,phosphatidylglycerophosphatase C
No Specific COG Annotation,yfhG,outer membrane lipoprotein QseG
Transcription,yfhH,putative DNA-binding transcriptional regulator YfhH
No Specific COG Annotation,yfhL,putative 4Fe-4S cluster-containing protein YfhL
General function prediction only,yfhM,α2-macroglobulin
No Specific COG Annotation,yfiB,lipoprotein YfiB
"Translation, ribosomal structure, and biogenesis",yfiC,tRNA m6A37 methyltransferase
Transcription,yfiE,putative LysR-type DNA-binding transcriptional regulator YfiE
"Translation, ribosomal structure, and biogenesis",yfiF,putative methyltransferase YfiF
Inorganic ion transport and metabolism,yfiH,polyphenol oxidase YfiH
No Specific COG Annotation,yfiL,DUF2799 domain-containing lipoprotein YfiL
Function unknown,yfiM,protein YfiM
Signal transduction mechanisms,yfiN,diguanylate cyclase DgcN
Function unknown,yfiP,DTW domain-containing protein YfiP
Energy production and conversion,yfiQ,peptidyl-lysine N-acetyltransferase
No Specific COG Annotation,yfiR,DUF4154 domain-containing protein YfiR
Inorganic ion transport and metabolism,yfjD,putative inner membrane protein
"Translation, ribosomal structure, and biogenesis",yfjG,ribosome association toxin RatA
No Specific COG Annotation,yfjH,CP4-57 prophage; uncharacterized protein YfjH
No Specific COG Annotation,yfjI,CP4-57 prophage; protein YfjI
"Replication, recombination, and repair",yfjK,CP4-57 prophage; putative helicase YfjK
No Specific COG Annotation,yfjL,CP4-57 prophage; anti-bacteriophage protein
No Specific COG Annotation,yfjO,CP4-57 prophage; antitoxin RnlB
General function prediction only,yfjP,CP4-57 prophage; putative GTP-binding protein YfjP
No Specific COG Annotation,yfjQ,CP4-57 prophage; DUF932 domain-containing protein YfjQ
No Specific COG Annotation,yfjS,CP4-57 prophage; inner membrane lipoprotein YfjS
No Specific COG Annotation,yfjT,CP4-57 prophage; uncharacterized protein YfjT
No Specific COG Annotation,yfjW,CP4-57 prophage; uncharacterized protein YfjW
No Specific COG Annotation,ygaC,protein YgaC
No Specific COG Annotation,ygaH,"L-valine exporter, YgaH component"
"Translation, ribosomal structure, and biogenesis",ygaM,DUF883 domain-containing protein YgaM
Inorganic ion transport and metabolism,ygaP,thiosulfate sulfurtransferase YgaP
Function unknown,ygaU,K+ binding protein
Transcription,ygaV,putative DNA-binding transcriptional regulator YgaV
No Specific COG Annotation,ygaW,G7399-MONOMER
Aminio acid transport and metabolism,ygaZ,"L-valine exporter, YgaZ component"
No Specific COG Annotation,ygbA,protein YgbA
No Specific COG Annotation,ygbE,DUF3561 domain-containing inner membrane protein YgbE
No Specific COG Annotation,ygbF,CRISPR-associated endoribonuclease Cas2
Transcription,ygbI,putative DeoR-type DNA-binding transcriptional regulator YgbI
Lipid transport and metabolism,ygbJ,putative L-threonate dehydrogenase
Carbohydrate transport and metabolism,ygbM,putative 2-oxo-tetronate isomerase YgbM
Defense Mechanisms,ygcB,CRISPR-associated endonuclease/helicase Cas3
Carbohydrate transport and metabolism,ygcE,putative sugar kinase YgcE
Energy production and conversion,ygcQ,putative flavoprotein
Function unknown,ygdD,DUF423 domain-containing inner membrane protein YgdD
"Replication, recombination, and repair",ygdG,flap endonuclease
General function prediction only,ygdH,nucleotide 5'-monophosphate nucleosidase
No Specific COG Annotation,ygdI,DUF903 domain-containing lipoprotein YgdI
Inorganic ion transport and metabolism,ygdQ,UPF0053 inner membrane protein YgdQ
