cog,complex,complex_annotation,func,gene_name
Signal transduction mechanisms,CPLX0-8199,oxygen-sensing c-di-GMP phosphodiesterase DosP,oxygen-sensing c-di-GMP phosphodiesterase DosP,dosP
Coenzyme transport and metabolism,COADTRI-CPLX,pantetheine-phosphate adenylyltransferase,pantetheine-phosphate adenylyltransferase,coaD
Coenzyme transport and metabolism,PANTOTHENATE-KIN-CPLX,pantothenate kinase,pantothenate kinase,coaA
Coenzyme transport and metabolism,PANTOATE-BETA-ALANINE-LIG-CPLX,pantothenate synthetase,pantothenate synthetase,panC
Aminio acid transport and metabolism,CPLX0-3001,peptidase D,peptidase D,pepD
Aminio acid transport and metabolism,CPLX0-3041,peptidase T,peptidase T,pepT
Lipid transport and metabolism,CPLX0-8097,peptide antibiotic/peptide nucleic acid transporter,peptide antibiotic/peptide nucleic acid transporter,sbmA
Cell wall/membrane/envelope biogenesis,CPLX0-3201,peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase,peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase,mepA
Cell wall/membrane/envelope biogenesis,CPLX0-7717,peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcA,peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcA,mrcA
Energy production and conversion,CPLX0-8189,peptidyl-lysine N-acetyltransferase,peptidyl-lysine N-acetyltransferase,yfiQ
No Specific COG Annotation,CPLX0-801,periplasmic acid stress chaperone HdeA,periplasmic acid stress chaperone HdeA,hdeA
No Specific COG Annotation,CPLX0-8207,periplasmic acid stress chaperone HdeB,periplasmic acid stress chaperone HdeB,hdeB
Cell wall/membrane/envelope biogenesis,CPLX0-7711,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,lpxD
No Specific COG Annotation,CPLX0-921,"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme","periplasmic chaperone, inhibitor of vertebrate C-type lysozyme",ivy
Energy production and conversion,NAP-CPLX,periplasmic nitrate reductase subunit NapA,periplasmic nitrate reductase subunit NapA,napA
Inorganic ion transport and metabolism,NAP-CPLX,periplasmic nitrate reductase cytochrome c550 protein,periplasmic nitrate reductase cytochrome c550 protein,napB
Inorganic ion transport and metabolism,NRFMULTI-CPLX,cytochrome c552 nitrite reductase,cytochrome c552 nitrite reductase,nrfA
No Specific COG Annotation,CPLX-722,periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase,periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase,appA
"Post-translational modification, protein turnover, and chaperones",CPLX0-8155,periplasmic protein CpxP,periplasmic protein CpxP,cpxP
Energy production and conversion,CPLX0-8213,periplasmic protein-L-methionine sulfoxide reductase catalytic subunit,periplasmic protein-L-methionine sulfoxide reductase catalytic subunit,yedY
Energy production and conversion,CPLX0-8213,periplasmic protein-L-methionine sulfoxide reductase heme binding subunit,periplasmic protein-L-methionine sulfoxide reductase heme binding subunit,yedZ
"Post-translational modification, protein turnover, and chaperones",CPLX0-8187,periplasmic serine endoprotease,periplasmic serine endoprotease,degQ
"Post-translational modification, protein turnover, and chaperones",CPLX0-2921,periplasmic serine endoprotease DegP,periplasmic serine endoprotease DegP,degP
Energy production and conversion,PHENDEHYD-CPLX,phenylacetaldehyde dehydrogenase,phenylacetaldehyde dehydrogenase,feaB
Energy production and conversion,CPLX0-1762,"phenylacetyl-CoA 1,2-epoxidase, reductase subunit","phenylacetyl-CoA 1,2-epoxidase, reductase subunit",paaE
"Secondary metabolites, biosynthesis, transport, and catabolism",CPLX0-1762,"phenylacetyl-CoA 1,2-epoxidase subunit B","phenylacetyl-CoA 1,2-epoxidase subunit B",paaB
"Secondary metabolites, biosynthesis, transport, and catabolism",CPLX0-1762,"phenylacetyl-CoA 1,2-epoxidase, structural subunit","phenylacetyl-CoA 1,2-epoxidase, structural subunit",paaC
"Translation, ribosomal structure, and biogenesis",PHES-CPLX,phenylalanine-tRNA ligase subunit α,phenylalanine-tRNA ligase subunit α,pheS
"Translation, ribosomal structure, and biogenesis",PHES-CPLX,phenylalanine-tRNA ligase subunit β,phenylalanine-tRNA ligase subunit β,pheT
Inorganic ion transport and metabolism,ABC-27-CPLX,phosphate ABC transporter membrane subunit PstA,phosphate ABC transporter membrane subunit PstA,pstA
Inorganic ion transport and metabolism,ABC-27-CPLX,phosphate ABC transporter ATP binding subunit,phosphate ABC transporter ATP binding subunit,pstB
Inorganic ion transport and metabolism,ABC-27-CPLX,phosphate ABC transporter membrane subunit PstC,phosphate ABC transporter membrane subunit PstC,pstC
Inorganic ion transport and metabolism,ABC-27-CPLX,phosphate ABC transporter periplasmic binding protein,phosphate ABC transporter periplasmic binding protein,pstS
Energy production and conversion,PHOSACETYLTRANS-CPLX,phosphate acetyltransferase,phosphate acetyltransferase,pta
Inorganic ion transport and metabolism,CPLX0-8113,negative regulator of the pho regulon,negative regulator of the pho regulon,phoU
Aminio acid transport and metabolism,PAPSSULFOTRANS-CPLX,phosphoadenosine phosphosulfate reductase,phosphoadenosine phosphosulfate reductase,cysH
General function prediction only,CPLX0-8248,phosphodiesterase YfcE,phosphodiesterase YfcE,yfcE
Energy production and conversion,PEPCARBOX-CPLX,phosphoenolpyruvate carboxylase,phosphoenolpyruvate carboxylase,ppc
Carbohydrate transport and metabolism,PEPSYNTH-CPLX,phosphoenolpyruvate synthetase,phosphoenolpyruvate synthetase,ppsA
Signal transduction mechanisms,CPLX0-7837,posphoenolpyruvate synthetase regulatory protein,posphoenolpyruvate synthetase regulatory protein,ppsR
General function prediction only,PGLYCDEHYDROG-CPLX,phosphoglycerate dehydrogenase,phosphoglycerate dehydrogenase,serA
Nucleotide transport and metabolism,SAICARSYN-CPLX,adenine deaminase,adenine deaminase,ade
Nucleotide transport and metabolism,AIRS-CPLX,FGAMSYN-MONOMER,FGAMSYN-MONOMER,purL
Aminio acid transport and metabolism,PSERTRANSAM-CPLX,phosphoserine/phosphohydroxythreonine aminotransferase,phosphoserine/phosphohydroxythreonine aminotransferase,serC
No Specific COG Annotation,CPLX0-7994,poly-N-acetyl-D-glucosamine synthase subunit PgaD,poly-N-acetyl-D-glucosamine synthase subunit PgaD,pgaD
"Translation, ribosomal structure, and biogenesis",CPLX0-3521,polynucleotide phosphorylase,polynucleotide phosphorylase,pnp
Inorganic ion transport and metabolism,PPK-CPLX,polyphosphate kinase,polyphosphate kinase,ppk
Cell wall/membrane/envelope biogenesis,CPLX0-7529,protein-tyrosine kinase Wzc,protein-tyrosine kinase Wzc,wzc
Coenzyme transport and metabolism,PORPHOBILSYNTH-CPLX,porphobilinogen synthase,porphobilinogen synthase,hemB
Defense Mechanisms,CPLX0-7987,putative enamine/imine deaminase,putative enamine/imine deaminase,tdcF
"Translation, ribosomal structure, and biogenesis",CPLX0-7422,putative rRNA methyltransferase,putative rRNA methyltransferase,lasT
Aminio acid transport and metabolism,CPLX0-7801,"putative structural protein, ethanolamine utilization microcompartment","putative structural protein, ethanolamine utilization microcompartment",eutL
Energy production and conversion,CPLX0-1841,fused putative xanthine/hypoxanthine oxidase: molybdopterin-binding subunit and Fe-S binding subunit,fused putative xanthine/hypoxanthine oxidase: molybdopterin-binding subunit and Fe-S binding subunit,xdhD
Energy production and conversion,CPLX0-1841,putative oxidoreductase,putative oxidoreductase,ygfM
No Specific COG Annotation,CPLX0-0,primosomal protein DnaT,primosomal protein DnaT,dnaT
"Replication, recombination, and repair",CPLX0-3,primosomal replication protein N,primosomal replication protein N,priB
"Replication, recombination, and repair",CPLX0-3922,replicative DNA helicase,replicative DNA helicase,dnaB
"Replication, recombination, and repair",CPLX0-3922,DNA primase,DNA primase,dnaG
"Replication, recombination, and repair",CPLX0-3922,primosome factor N',primosome factor N',priA
"Replication, recombination, and repair",CPLX0-3922,primosomal replication protein N,primosomal replication protein N,priB
"Replication, recombination, and repair",CPLX0-3922,primosomal replication protein N'',primosomal replication protein N'',priC
No Specific COG Annotation,CPLX0-3922,primosomal protein DnaT,primosomal protein DnaT,dnaT
"Translation, ribosomal structure, and biogenesis",PROS-CPLX,proline-tRNA ligase,proline-tRNA ligase,proS
"Secondary metabolites, biosynthesis, transport, and catabolism",CPLX0-7766,proofreading thioesterase in enterobactin biosynthesis,proofreading thioesterase in enterobactin biosynthesis,entH
"Post-translational modification, protein turnover, and chaperones",CPLX0-2941,"protease IV, a signal peptide peptidase","protease IV, a signal peptide peptidase",sppA
Coenzyme transport and metabolism,CPLX0-2521,protein MoaB,protein MoaB,moaB
"Post-translational modification, protein turnover, and chaperones",DSBC-CPLX,protein disulfide isomerase DsbC,protein disulfide isomerase DsbC,dsbC
"Post-translational modification, protein turnover, and chaperones",CPLX0-8004,protein sulfenic acid reductase and chaperone DsbG,protein sulfenic acid reductase and chaperone DsbG,dsbG
"Post-translational modification, protein turnover, and chaperones",CPLX-9344,protein sulfenic acid reductase and chaperone DsbG,protein sulfenic acid reductase and chaperone DsbG,dsbG
"Post-translational modification, protein turnover, and chaperones",DSBG-CPLX,protein sulfenic acid reductase and chaperone DsbG,protein sulfenic acid reductase and chaperone DsbG,dsbG
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-8089,protein translocation ATPase,protein translocation ATPase,secA
General function prediction only,CPLX0-861,protein/nucleic acid deglycase 1,protein/nucleic acid deglycase 1,hchA
General function prediction only,CPLX0-7960,protein/nucleic acid deglycase 3,protein/nucleic acid deglycase 3,yajL
Coenzyme transport and metabolism,CPLX0-7811,protoporphyrinogen oxidase,protoporphyrinogen oxidase,hemG
Nucleotide transport and metabolism,CPLX0-8233,pseudouridine-5'-phosphate glycosidase,pseudouridine-5'-phosphate glycosidase,psuG
General function prediction only,CPLX0-7755,purine nucleoside phosphoramidase,purine nucleoside phosphoramidase,hinT
Nucleotide transport and metabolism,DEOD-CPLX,purine nucleoside phosphorylase,purine nucleoside phosphorylase,deoD
Lipid transport and metabolism,HCAMULTI-CPLX,putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin reductase subunit,putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin reductase subunit,hcaD
Inorganic ion transport and metabolism,HCAMULTI-CPLX,putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin subunit,putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin subunit,hcaC
Inorganic ion transport and metabolism,HCAMULTI-CPLX,putative 3-phenylpropionate/cinnamate dioxygenase subunit α,putative 3-phenylpropionate/cinnamate dioxygenase subunit α,hcaE
"Secondary metabolites, biosynthesis, transport, and catabolism",CPLX0-902,putative 4-oxalocrotonate tautomerase (4-OT),putative 4-oxalocrotonate tautomerase (4-OT),pptA
Defense Mechanisms,ABC-57-CPLX,putative ABC exporter ATP binding subunit,putative ABC exporter ATP binding subunit,ybhF
Defense Mechanisms,ABC-57-CPLX,putative ABC exporter membrane subunit YbhR,putative ABC exporter membrane subunit YbhR,ybhR
Defense Mechanisms,ABC-57-CPLX,putative ABC exporter membrane subunit YbhS,putative ABC exporter membrane subunit YbhS,ybhS
Aminio acid transport and metabolism,CPLX0-8120,L-arginine ABC transporter membrane subunit ArtM,L-arginine ABC transporter membrane subunit ArtM,artM
Aminio acid transport and metabolism,CPLX0-8120,L-arginine ABC transporter ATP binding subunit,L-arginine ABC transporter ATP binding subunit,artP
Aminio acid transport and metabolism,CPLX0-8120,L-arginine ABC transporter membrane subunit ArtQ,L-arginine ABC transporter membrane subunit ArtQ,artQ
Signal transduction mechanisms,CPLX0-8120,putative ABC transporter periplasmic binding protein ArtI,putative ABC transporter periplasmic binding protein ArtI,artI
Aminio acid transport and metabolism,ABC-59-CPLX,"putative D,D-dipeptide ABC transporter periplasmic binding protein","putative D,D-dipeptide ABC transporter periplasmic binding protein",ddpA
Inorganic ion transport and metabolism,ABC-59-CPLX,"putative D,D-dipeptide ABC transporter ATP-binding subunit DdpF","putative D,D-dipeptide ABC transporter ATP-binding subunit DdpF",ddpF
Carbohydrate transport and metabolism,CPLX-160,putative PTS enzyme IIB component FrwB,putative PTS enzyme IIB component FrwB,frwB
Carbohydrate transport and metabolism,CPLX-160,putative PTS multiphosphoryl transfer protein PtsA,putative PTS multiphosphoryl transfer protein PtsA,ptsa
Signal transduction mechanisms,CPLX0-8119,putative PTS multiphosphoryl transfer protein FryA,putative PTS multiphosphoryl transfer protein FryA,fryA
Signal transduction mechanisms,EIISGC,putative PTS enzyme IIA component SgcA,putative PTS enzyme IIA component SgcA,sgcA
No Specific COG Annotation,CPLX0-7835,putative ethanolamine catabolic microcompartment shell protein EutM,putative ethanolamine catabolic microcompartment shell protein EutM,eutM
General function prediction only,CPLX0-661,putative hydrolase,putative hydrolase,ycaC
No Specific COG Annotation,CPLX0-3923,putative monooxygenase YdhR,putative monooxygenase YdhR,ydhR
General function prediction only,CPLX0-7816,putative nucleoid-associated protein YbaB,putative nucleoid-associated protein YbaB,ybaB
Aminio acid transport and metabolism,ABC-41-CPLX,putative oligopeptide ABC transporter periplasmic binding protein YejA,putative oligopeptide ABC transporter periplasmic binding protein YejA,yejA
"Secondary metabolites, biosynthesis, transport, and catabolism",ABC-41-CPLX,putative oligopeptide ABC transporter membrane subunit YejB,putative oligopeptide ABC transporter membrane subunit YejB,yejB
"Secondary metabolites, biosynthesis, transport, and catabolism",ABC-41-CPLX,putative oligopeptide ABC transporter membrane subunit YejE,putative oligopeptide ABC transporter membrane subunit YejE,yejE
"Secondary metabolites, biosynthesis, transport, and catabolism",ABC-41-CPLX,putative oligopeptide ABC transporter ATP binding subunit YejF,putative oligopeptide ABC transporter ATP binding subunit YejF,yejF
Energy production and conversion,CPLX0-7668,putative oxidoreductase YdjA,putative oxidoreductase YdjA,ydjA
No Specific COG Annotation,CPLX0-8177,putative phosphatidylethanolamine synthesis regulator GnsA,putative phosphatidylethanolamine synthesis regulator GnsA,gnsA
Energy production and conversion,CPLX0-3141,putative quinol monooxygenase YgiN,putative quinol monooxygenase YgiN,ygiN
Energy production and conversion,QOR-CPLX,putative quinone oxidoreductase 1,putative quinone oxidoreductase 1,qorA
"Translation, ribosomal structure, and biogenesis",CPLX0-8269,putative tRNA-binding protein YgjH,putative tRNA-binding protein YgjH,ygjH
Carbohydrate transport and metabolism,ABC-21-CPLX,putative ABC transporter membrane subunit YadH,putative ABC transporter membrane subunit YadH,yadH
Defense Mechanisms,ABC-21-CPLX,putative ABC transporter ATP-binding protein YadG,putative ABC transporter ATP-binding protein YadG,yadG
General function prediction only,ABC-48-CPLX,putative ABC transporter periplasmic binding protein YnjB,putative ABC transporter periplasmic binding protein YnjB,ynjB
General function prediction only,ABC-48-CPLX,putative ABC transporter membrane subunit YnjC,putative ABC transporter membrane subunit YnjC,ynjC
General function prediction only,ABC-48-CPLX,putative ABC transporter ATP-binding protein YnjD,putative ABC transporter ATP-binding protein YnjD,ynjD
Aminio acid transport and metabolism,ABC-51-CPLX,putative ABC transporter periplasmic binding protein / polyhydroxybutyrate synthase,putative ABC transporter periplasmic binding protein / polyhydroxybutyrate synthase,ydcS
Aminio acid transport and metabolism,ABC-51-CPLX,putative ABC transporter ATP-binding protein YdcT,putative ABC transporter ATP-binding protein YdcT,ydcT
Aminio acid transport and metabolism,ABC-51-CPLX,putative ABC transporter membrane subunit YdcU,putative ABC transporter membrane subunit YdcU,ydcU
Aminio acid transport and metabolism,ABC-52-CPLX,putative ABC transporter ATP-binding subunit YhdZ,putative ABC transporter ATP-binding subunit YhdZ,yhdZ
Carbohydrate transport and metabolism,ABC-60-CPLX,putative ABC transporter periplasmic binding protein YphF,putative ABC transporter periplasmic binding protein YphF,yphF
"Secondary metabolites, biosynthesis, transport, and catabolism",ABC-61-CPLX,putative ABC transporter ATP-binding protein YbbA,putative ABC transporter ATP-binding protein YbbA,ybbA
"Secondary metabolites, biosynthesis, transport, and catabolism",ABC-61-CPLX,putative ABC transporter membrane subunit YbbP,putative ABC transporter membrane subunit YbbP,ybbP
Energy production and conversion,CPLX0-761,putative xanthine dehydrogenase molybdenum-binding subunit XdhA,putative xanthine dehydrogenase molybdenum-binding subunit XdhA,xdhA
Energy production and conversion,CPLX0-761,putative xanthine dehydrogenase FAD-binding subunit XdhB,putative xanthine dehydrogenase FAD-binding subunit XdhB,xdhB
Energy production and conversion,CPLX0-761,putative xanthine dehydrogenase iron-sulfur-binding subunit XdhC,putative xanthine dehydrogenase iron-sulfur-binding subunit XdhC,xdhC
Defense Mechanisms,ABC-29-CPLX,putrescine ABC exporter membrane subunit SapB,putrescine ABC exporter membrane subunit SapB,sapB
Defense Mechanisms,ABC-29-CPLX,putrescine ABC exporter membrane protein SapC,putrescine ABC exporter membrane protein SapC,sapC
Defense Mechanisms,ABC-29-CPLX,putrescine ABC exporter ATP binding protein SapD,putrescine ABC exporter ATP binding protein SapD,sapD
Defense Mechanisms,ABC-29-CPLX,putrescine ABC exporter ATP binding protein SapF,putrescine ABC exporter ATP binding protein SapF,sapF
Aminio acid transport and metabolism,ABC-25-CPLX,putrescine ABC transporter periplasmic binding protein,putrescine ABC transporter periplasmic binding protein,potF
Aminio acid transport and metabolism,ABC-25-CPLX,putrescine ABC transporter ATP binding subunit,putrescine ABC transporter ATP binding subunit,potG
Aminio acid transport and metabolism,ABC-25-CPLX,putrescine ABC transporter membrane subunit PotH,putrescine ABC transporter membrane subunit PotH,potH
Aminio acid transport and metabolism,ABC-25-CPLX,putrescine ABC transporter membrane subunit PotI,putrescine ABC transporter membrane subunit PotI,potI
Aminio acid transport and metabolism,CPLX0-8159,putrescine aminotransferase,putrescine aminotransferase,patA
Energy production and conversion,PYRNUTRANSHYDROGEN-CPLX,pyridine nucleotide transhydrogenase subunit α,pyridine nucleotide transhydrogenase subunit α,pntA
Energy production and conversion,PYRNUTRANSHYDROGEN-CPLX,pyridine nucleotide transhydrogenase subunit β,pyridine nucleotide transhydrogenase subunit β,pntB
Coenzyme transport and metabolism,CPLX0-8031,pyridoxal kinase 2,pyridoxal kinase 2,pdxY
Coenzyme transport and metabolism,PDXK-CPLX,pyridoxal kinase I,pyridoxal kinase I,pdxK
Coenzyme transport and metabolism,PDXH-CPLX,pyridoxine/pyridoxamine 5'-phosphate oxidase,pyridoxine/pyridoxamine 5'-phosphate oxidase,pdxH
Coenzyme transport and metabolism,CPLX0-321,pyridoxine 5'-phosphate synthase,pyridoxine 5'-phosphate synthase,pdxJ
Nucleotide transport and metabolism,CPLX0-8280,pyrimidine-specific ribonucleoside hydrolase RihA,pyrimidine-specific ribonucleoside hydrolase RihA,rihA
Aminio acid transport and metabolism,PYRROLINECARBREDUCT-CPLX,pyrroline-5-carboxylate reductase,pyrroline-5-carboxylate reductase,proC
Energy production and conversion,E1P-CPLX,pyruvate dehydrogenase E1 component,pyruvate dehydrogenase E1 component,aceE
Energy production and conversion,PYRUVATEDEH-CPLX,pyruvate dehydrogenase E1 component,pyruvate dehydrogenase E1 component,aceE
Energy production and conversion,PYRUVATEDEH-CPLX,"AceF-dihydrolipoate // ""AceF-S-acetyldihydrolipoate"" // ""AceF-lipoate"" // ""pyruvate dehydrogenase, E2 subunit""","AceF-dihydrolipoate // ""AceF-S-acetyldihydrolipoate"" // ""AceF-lipoate"" // ""pyruvate dehydrogenase, E2 subunit""",aceF
Energy production and conversion,PYRUVATEDEH-CPLX,lipoamide dehydrogenase,lipoamide dehydrogenase,lpdA
Energy production and conversion,PYRUVFORMLY-INACTIVE-CPLX,pyruvate formate-lyase,pyruvate formate-lyase,pflB
Carbohydrate transport and metabolism,PKI-COMPLEX,pyruvate kinase I,pyruvate kinase I,pykF
Carbohydrate transport and metabolism,PKII-CPLX,pyruvate kinase II,pyruvate kinase II,pykA
Aminio acid transport and metabolism,PYRUVOXID-CPLX,pyruvate oxidase,pyruvate oxidase,poxB
Coenzyme transport and metabolism,QUINOPRIBOTRANS-CPLX,quinolinate phosphoribosyltransferase (decarboxylating),quinolinate phosphoribosyltransferase (decarboxylating),nadC
Coenzyme transport and metabolism,CPLX0-7719,quinolinate synthase,quinolinate synthase,nadA
Coenzyme transport and metabolism,CPLX0-1863,radiation resistance protein YbgI,radiation resistance protein YbgI,ybgI
"Translation, ribosomal structure, and biogenesis",CPLX0-8240,redox-responsive ATPase YchF,redox-responsive ATPase YchF,ychF
Energy production and conversion,CPLX0-1,anaerobic nitric oxide reductase flavorubredoxin,anaerobic nitric oxide reductase flavorubredoxin,norV
Signal transduction mechanisms,CPLX0-8245,regulator of CsrB and CsrC decay,regulator of CsrB and CsrC decay,csrD
General function prediction only,CPLX0-7939,regulator of KefC-mediated potassium transport and quinone oxidoreductase,regulator of KefC-mediated potassium transport and quinone oxidoreductase,kefF
No Specific COG Annotation,CPLX0-7623,"regulator of acid resistance, influenced by indole","regulator of acid resistance, influenced by indole",ariR
General function prediction only,CPLX0-3927,regulatory ATPase RavA,regulatory ATPase RavA,ravA
"Replication, recombination, and repair",CPLX0-3621,replicative DNA helicase,replicative DNA helicase,dnaB
"Replication, recombination, and repair",RUVABC-CPLX,Holliday junction branch migration complex subunit RuvA,Holliday junction branch migration complex subunit RuvA,ruvA
"Replication, recombination, and repair",RUVABC-CPLX,Holliday junction branch migration complex subunit RuvB,Holliday junction branch migration complex subunit RuvB,ruvB
"Replication, recombination, and repair",RUVABC-CPLX,crossover junction endodeoxyribonuclease RuvC,crossover junction endodeoxyribonuclease RuvC,ruvC
Carbohydrate transport and metabolism,RHAMNULPALDOL-CPLX,rhamnulose-1-phosphate aldolase,rhamnulose-1-phosphate aldolase,rhaD
Coenzyme transport and metabolism,CPLX0-3952,riboflavin synthase,riboflavin synthase,ribC
Carbohydrate transport and metabolism,CPLX0-7647,ribokinase,ribokinase,rbsK
"Translation, ribosomal structure, and biogenesis",CPLX0-3601,ribonuclease BN,ribonuclease BN,rbn
"Translation, ribosomal structure, and biogenesis",CPLX0-3461,ribonuclease E,ribonuclease E,rne
"Translation, ribosomal structure, and biogenesis",CPLX0-1642,ribonuclease E inhibitor protein A,ribonuclease E inhibitor protein A,rraA
"Translation, ribosomal structure, and biogenesis",CPLX0-8096,ribonuclease E inhibitor protein B,ribonuclease E inhibitor protein B,rraB
"Cell cycle control, cell division, chromosome partitioning",RIBONUCLEOSIDE-DIP-REDUCTI-CPLX,cell division protein FtsB,cell division protein FtsB,ftsB
Nucleotide transport and metabolism,RIBONUCLEOSIDE-DIP-REDUCTI-CPLX,ribonucleoside-diphosphate reductase 1 subunit α,ribonucleoside-diphosphate reductase 1 subunit α,nrdA
Nucleotide transport and metabolism,B1-CPLX,ribonucleoside-diphosphate reductase 1 subunit α,ribonucleoside-diphosphate reductase 1 subunit α,nrdA
"Cell cycle control, cell division, chromosome partitioning",B2-CPLX,cell division protein FtsB,cell division protein FtsB,ftsB
Nucleotide transport and metabolism,RIBONUCLEOSIDE-DIP-REDUCTII-CPLX,ribonucleoside-diphosphate reductase 2 subunit α,ribonucleoside-diphosphate reductase 2 subunit α,nrdE
Nucleotide transport and metabolism,RIBONUCLEOSIDE-DIP-REDUCTII-CPLX,ribonucleoside-diphosphate reductase 2 subunit β,ribonucleoside-diphosphate reductase 2 subunit β,nrdF
Nucleotide transport and metabolism,NRDE-CPLX,ribonucleoside-diphosphate reductase 2 subunit α,ribonucleoside-diphosphate reductase 2 subunit α,nrdE
Nucleotide transport and metabolism,NRDF-CPLX,ribonucleoside-diphosphate reductase 2 subunit β,ribonucleoside-diphosphate reductase 2 subunit β,nrdF
Carbohydrate transport and metabolism,ABC-28-CPLX,ribose ABC transporter ATP binding subunit,ribose ABC transporter ATP binding subunit,rbsA
Carbohydrate transport and metabolism,ABC-28-CPLX,ribose ABC transporter periplasmic binding protein,ribose ABC transporter periplasmic binding protein,rbsB
Carbohydrate transport and metabolism,ABC-28-CPLX,ribose ABC transporter membrane subunit,ribose ABC transporter membrane subunit,rbsC
Carbohydrate transport and metabolism,RIB5PISOMA-CPLX,ribose-5-phosphate isomerase A,ribose-5-phosphate isomerase A,rpiA
Aminio acid transport and metabolism,CPLX0-8299,ribose-phosphate diphosphokinase,ribose-phosphate diphosphokinase,prs
"Translation, ribosomal structure, and biogenesis",CPLX0-7946,ribosomal protein S6 modification protein,ribosomal protein S6 modification protein,rimK
"Translation, ribosomal structure, and biogenesis",CPLX0-8112,ribosomal protein-arginine oxygenase,ribosomal protein-arginine oxygenase,ycfD
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L1,50S ribosomal subunit protein L1,rplA
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L2,50S ribosomal subunit protein L2,rplB
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L3,50S ribosomal subunit protein L3,rplC
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L4,50S ribosomal subunit protein L4,rplD
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L5,50S ribosomal subunit protein L5,rplE
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L6,50S ribosomal subunit protein L6,rplF
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L9,50S ribosomal subunit protein L9,rplI
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L10,50S ribosomal subunit protein L10,rplJ
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L11,50S ribosomal subunit protein L11,rplK
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,"50S ribosomal subunit protein L7 // ""50S ribosomal subunit protein L12""","50S ribosomal subunit protein L7 // ""50S ribosomal subunit protein L12""",rplL
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L13,50S ribosomal subunit protein L13,rplM
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L14,50S ribosomal subunit protein L14,rplN
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L15,50S ribosomal subunit protein L15,rplO
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L16,50S ribosomal subunit protein L16,rplP
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L17,50S ribosomal subunit protein L17,rplQ
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L18,50S ribosomal subunit protein L18,rplR
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L19,50S ribosomal subunit protein L19,rplS
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L20,50S ribosomal subunit protein L20,rplT
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L21,50S ribosomal subunit protein L21,rplU
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L22,50S ribosomal subunit protein L22,rplV
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L23,50S ribosomal subunit protein L23,rplW
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L24,50S ribosomal subunit protein L24,rplX
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L25,50S ribosomal subunit protein L25,rplY
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L27,50S ribosomal subunit protein L27,rpmA
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L28,50S ribosomal subunit protein L28,rpmB
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L29,50S ribosomal subunit protein L29,rpmC
