cog_class,cog_class_letter,cog_desc,desc,gene,go_biological_process,go_id,uniprot
Poorly Characterized,General function prediction only,General function prediction only,Metal-binding protein ZinT ,zinT,cellular zinc ion homeostasis,GO:0006882,P76344
Poorly Characterized,Function unknown,Function unknown,Protein mtfA ,mtfA,negative regulation of DNA-binding transcription factor activity,GO:0043433,P76346
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Shikimate transporter ,shiA,shikimate transmembrane transport,GO:0015733,P76350
Not Assigned,Not Assigned,Not Assigned,Chain length determinant protein ,wzzB,lipopolysaccharide biosynthetic process,GO:0009103,P76372
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Tyrosine-protein kinase wzc ,wzc,colanic acid biosynthetic process,GO:0009242,P76387
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Tyrosine-protein kinase wzc ,wzc,extracellular polysaccharide biosynthetic process,GO:0045226,P76387
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Tyrosine-protein kinase wzc ,wzc,lipopolysaccharide biosynthetic process,GO:0009103,P76387
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Tyrosine-protein kinase wzc ,wzc,peptidyl-tyrosine autophosphorylation,GO:0038083,P76387
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Multidrug resistance protein mdtA ,mdtA,bile acid and bile salt transport,GO:0015721,P76397
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Multidrug resistance protein mdtA ,mdtA,drug transmembrane transport,GO:0006855,P76397
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Multidrug resistance protein mdtA ,mdtA,xenobiotic detoxification by transmembrane export across the plasma membrane,GO:1990961,P76397
Cellular Processes and Signaling,Defense mechanisms,Defense mechanisms,Multidrug resistance protein MdtB ,mdtB,bile acid and bile salt transport,GO:0015721,P76398
Cellular Processes and Signaling,Defense mechanisms,Defense mechanisms,Multidrug resistance protein MdtB ,mdtB,xenobiotic detoxification by transmembrane export across the plasma membrane,GO:1990961,P76398
Poorly Characterized,Function unknown,Function unknown,UPF0339 protein yegP ,yegP,double-strand break repair,GO:0006302,P76402
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Lipid kinase YegS ,yegS,phospholipid biosynthetic process,GO:0008654,P76407
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Uncharacterized oxidoreductase yeiT ,preT,pyrimidine nucleobase catabolic process,GO:0006208,P76440
Not Assigned,Not Assigned,Not Assigned,Inner membrane protein yeiU ,yeiU,Gram-negative-bacterium-type cell outer membrane assembly,GO:0043165,P76445
Not Assigned,Not Assigned,Not Assigned,Inner membrane protein yeiU ,yeiU,lipid A biosynthetic process,GO:0009245,P76445
Not Assigned,Not Assigned,Not Assigned,Inner membrane protein yeiU ,yeiU,lipopolysaccharide biosynthetic process,GO:0009103,P76445
Poorly Characterized,General function prediction only,General function prediction only,5'-nucleotidase yfbR ,yfbR,dUMP biosynthetic process,GO:0006226,P76491
Poorly Characterized,General function prediction only,General function prediction only,5'-nucleotidase yfbR ,yfbR,pyrimidine deoxyribonucleotide salvage,GO:0010139,P76491
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Phosphohistidine phosphatase sixA ,sixA,cellular protein modification process,GO:0006464,P76502
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Phosphohistidine phosphatase sixA ,sixA,peptidyl-histidine dephosphorylation,GO:0035971,P76502
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Phosphohistidine phosphatase sixA ,sixA,regulation of phosphorelay signal transduction system,GO:0070297,P76502
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,3-ketoacyl-CoA thiolase ,fadI,fatty acid beta-oxidation,GO:0006635,P76503
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,3-ketoacyl-CoA thiolase ,fadI,"fatty acid beta-oxidation, unsaturated, even number",GO:0033542,P76503
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Probable phospholipid-binding lipoprotein mlaA ,mlaA,intermembrane phospholipid transfer,GO:0120010,P76506
Poorly Characterized,General function prediction only,General function prediction only,N-acetylmuramic acid 6-phosphate etherase ,murQ,"1,6-anhydro-N-acetyl-beta-muramic acid catabolic process",GO:0097175,P76535
Poorly Characterized,General function prediction only,General function prediction only,N-acetylmuramic acid 6-phosphate etherase ,murQ,amino sugar catabolic process,GO:0046348,P76535
Poorly Characterized,General function prediction only,General function prediction only,N-acetylmuramic acid 6-phosphate etherase ,murQ,carbohydrate metabolic process,GO:0005975,P76535
Poorly Characterized,General function prediction only,General function prediction only,N-acetylmuramic acid 6-phosphate etherase ,murQ,N-acetylmuramic acid catabolic process,GO:0097173,P76535
Poorly Characterized,General function prediction only,General function prediction only,N-acetylmuramic acid 6-phosphate etherase ,murQ,peptidoglycan turnover,GO:0009254,P76535
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Ethanolamine utilization protein EutL ,eutL,ethanolamine catabolic process,GO:0046336,P76541
Metabolism,Energy production and conversion,Energy production and conversion,NADP-dependent malic enzyme ,maeB,malate metabolic process,GO:0006108,P76558
Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein yfgJ ,yfgJ,bacterial-type flagellum-dependent swarming motility,GO:0071978,P76575
Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized lipoprotein yfhM ,yfhM,negative regulation of endopeptidase activity,GO:0010951,P76578
Metabolism,Energy production and conversion,Energy production and conversion,Uncharacterized protein yfiQ ,yfiQ,internal peptidyl-lysine acetylation,GO:0018393,P76594
Metabolism,Energy production and conversion,Energy production and conversion,Uncharacterized protein yfiQ ,yfiQ,protein homotetramerization,GO:0051289,P76594
Metabolism,Energy production and conversion,Energy production and conversion,Uncharacterized protein yfiQ ,yfiQ,regulation of protein homooligomerization,GO:0032462,P76594
Metabolism,Energy production and conversion,Energy production and conversion,Uncharacterized protein yfiQ ,yfiQ,response to heat,GO:0009408,P76594
Metabolism,Energy production and conversion,Energy production and conversion,Uncharacterized protein yfiQ ,yfiQ,response to oxidative stress,GO:0006979,P76594
Not Assigned,Not Assigned,Not Assigned,Protein CsiD ,csiD,L-lysine catabolic process,GO:0019477,P76621
Not Assigned,Not Assigned,Not Assigned,Protein CsiD ,csiD,protein homotetramerization,GO:0051289,P76621
Not Assigned,Not Assigned,Not Assigned,Protein CsiD ,csiD,response to carbon starvation,GO:0090549,P76621
Not Assigned,Not Assigned,Not Assigned,Bifunctional protein hldE ,hldE,ADP-L-glycero-beta-D-manno-heptose biosynthetic process,GO:0097171,P76658
Not Assigned,Not Assigned,Not Assigned,Bifunctional protein hldE ,hldE,lipopolysaccharide core region biosynthetic process,GO:0009244,P76658
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Pyridoxamine kinase ,pdxY,pyridoxal 5'-phosphate salvage,GO:0009443,P77150
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Pyridoxamine kinase ,pdxY,pyridoxal metabolic process,GO:0042817,P77150
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Pyridoxamine kinase ,pdxY,vitamin B6 biosynthetic process,GO:0042819,P77150
Information Storage and Processing,Transcription,Transcription,Uncharacterized HTH-type transcriptional regulator ydcI ,ydcI,"negative regulation of transcription, DNA-templated",GO:0045892,P77171
Information Storage and Processing,Transcription,Transcription,Uncharacterized HTH-type transcriptional regulator ydcI ,ydcI,"transcription, DNA-templated",GO:0006351,P77171
Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning","Cell cycle control, cell division, chromosome partitioning",Cell division protein ZipA ,zipA,division septum assembly,GO:0000917,P77173
Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning","Cell cycle control, cell division, chromosome partitioning",Cell division protein ZipA ,zipA,FtsZ-dependent cytokinesis,GO:0043093,P77173
Poorly Characterized,General function prediction only,General function prediction only,Phenylacetic acid degradation protein paaY ,paaY,phenylacetate catabolic process,GO:0010124,P77181
Poorly Characterized,Function unknown,Function unknown,tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein mnmC ,mnmC,tRNA methylation,GO:0030488,P77182
Poorly Characterized,Function unknown,Function unknown,tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein mnmC ,mnmC,tRNA wobble uridine modification,GO:0002098,P77182
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Thiol:disulfide interchange protein DsbG ,dsbG,chaperone-mediated protein folding,GO:0061077,P77202
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Cation efflux system protein CusC ,cusC,cellular copper ion homeostasis,GO:0006878,P77211
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Cation efflux system protein CusC ,cusC,copper ion export,GO:0060003,P77211
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Cation efflux system protein CusC ,cusC,detoxification of copper ion,GO:0010273,P77211
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Cation efflux system protein CusC ,cusC,protein homotrimerization,GO:0070207,P77211
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Cation efflux system protein CusC ,cusC,protein palmitoylation,GO:0018345,P77211
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Cation efflux system protein CusC ,cusC,response to copper ion,GO:0046688,P77211
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Cation efflux system protein CusC ,cusC,response to silver ion,GO:0010272,P77211
Metabolism,Energy production and conversion,Energy production and conversion,Probable pyridine nucleotide-disulfide oxidoreductase ykgC ,rclA,cell redox homeostasis,GO:0045454,P77212
Metabolism,Energy production and conversion,Energy production and conversion,Probable pyridine nucleotide-disulfide oxidoreductase ykgC ,rclA,response to hypochlorite,GO:1901530,P77212
Poorly Characterized,Function unknown,Function unknown,Carboxylate-amine ligase YbdK ,ybdK,cellular modified amino acid biosynthetic process,GO:0042398,P77213
Poorly Characterized,Function unknown,Function unknown,Cation efflux system protein CusF ,cusF,cellular copper ion homeostasis,GO:0006878,P77214
Poorly Characterized,Function unknown,Function unknown,Cation efflux system protein CusF ,cusF,detoxification of copper ion,GO:0010273,P77214
Poorly Characterized,Function unknown,Function unknown,Cation efflux system protein CusF ,cusF,response to copper ion,GO:0046688,P77214
Poorly Characterized,Function unknown,Function unknown,Cation efflux system protein CusF ,cusF,response to silver ion,GO:0010272,P77214
Poorly Characterized,Function unknown,Function unknown,Cation efflux system protein CusF ,cusF,response to zinc ion,GO:0010043,P77214
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Cation efflux system protein CusB ,cusB,cellular copper ion homeostasis,GO:0006878,P77239
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Cation efflux system protein CusB ,cusB,copper ion export,GO:0060003,P77239
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Cation efflux system protein CusB ,cusB,detoxification of copper ion,GO:0010273,P77239
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Cation efflux system protein CusB ,cusB,plasma membrane copper ion transport,GO:0015679,P77239
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Cation efflux system protein CusB ,cusB,response to copper ion,GO:0046688,P77239
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Cation efflux system protein CusB ,cusB,response to silver ion,GO:0010272,P77239
Poorly Characterized,General function prediction only,General function prediction only,2-methylcitrate dehydratase ,prpD,"propionate catabolic process, 2-methylcitrate cycle",GO:0019629,P77243
Poorly Characterized,General function prediction only,General function prediction only,2-methylcitrate dehydratase ,prpD,"propionate metabolic process, methylcitrate cycle",GO:0019679,P77243
Poorly Characterized,General function prediction only,General function prediction only,2-methylcitrate dehydratase ,prpD,tricarboxylic acid cycle,GO:0006099,P77243
Poorly Characterized,General function prediction only,General function prediction only,Phosphatase YniC ,yniC,carbohydrate metabolic process,GO:0005975,P77247
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Autoinducer 2 import ATP-binding protein LsrA ,lsrA,autoinducer AI-2 transmembrane transport,GO:1905887,P77257
Metabolism,Energy production and conversion,Energy production and conversion,N-ethylmaleimide reductase ,nemA,"2,4,6-trinitrotoluene catabolic process",GO:0046256,P77258
Metabolism,Energy production and conversion,Energy production and conversion,N-ethylmaleimide reductase ,nemA,nitroglycerin metabolic process,GO:0018937,P77258
Metabolism,Energy production and conversion,Energy production and conversion,N-ethylmaleimide reductase ,nemA,xenobiotic metabolic process,GO:0006805,P77258
Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized ABC transporter ATP-binding protein YbbL ,fetA,cellular iron ion homeostasis,GO:0006879,P77279
Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized ABC transporter ATP-binding protein YbbL ,fetA,ion transport,GO:0006811,P77279
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Probable diguanylate cyclase YdaM ,ydaM,cell adhesion involved in single-species biofilm formation,GO:0043709,P77302
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Probable diguanylate cyclase YdaM ,ydaM,negative regulation of bacterial-type flagellum-dependent cell motility,GO:1902201,P77302
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Probable diguanylate cyclase YdaM ,ydaM,positive regulation of DNA-binding transcription factor activity,GO:0051091,P77302
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Probable diguanylate cyclase YdaM ,ydaM,positive regulation of single-species biofilm formation on inanimate substrate,GO:1900233,P77302
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Dipeptide and tripeptide permease A ,dtpA,dipeptide transmembrane transport,GO:0035442,P77304
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Dipeptide and tripeptide permease A ,dtpA,oligopeptide transport,GO:0006857,P77304
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Dipeptide and tripeptide permease A ,dtpA,protein transport,GO:0015031,P77304
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Dipeptide and tripeptide permease A ,dtpA,proton transmembrane transport,GO:1902600,P77304
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Dipeptide and tripeptide permease A ,dtpA,tripeptide transmembrane transport,GO:0035443,P77304
Not Assigned,Not Assigned,Not Assigned,Lipoprotein bor homolog from lambdoid prophage DLP12 ,borD,cellular response to magnesium ion,GO:0071286,P77330
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Potassium efflux system KefA ,mscK,cellular water homeostasis,GO:0009992,P77338
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Potassium efflux system KefA ,mscK,potassium ion transport,GO:0006813,P77338
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Potassium efflux system KefA ,mscK,transmembrane transport,GO:0055085,P77338
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Periplasmic murein peptide-binding protein ,mppA,protein transport,GO:0015031,P77348
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Periplasmic murein peptide-binding protein ,mppA,tripeptide transport,GO:0042939,P77348
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Uncharacterized protein ybbN ,ybbN,cell redox homeostasis,GO:0045454,P77395
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Uncharacterized protein ybbN ,ybbN,cellular response to oxidative stress,GO:0034599,P77395
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Uncharacterized protein ybbN ,ybbN,chaperone-mediated protein folding,GO:0061077,P77395
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Uncharacterized protein ybbN ,ybbN,maintenance of unfolded protein,GO:0036506,P77395
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Uncharacterized protein ybbN ,ybbN,protein refolding,GO:0042026,P77395
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Bifunctional polymyxin resistance protein ArnA ,arnA,lipid A biosynthetic process,GO:0009245,P77398
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Bifunctional polymyxin resistance protein ArnA ,arnA,lipopolysaccharide biosynthetic process,GO:0009103,P77398
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Bifunctional polymyxin resistance protein ArnA ,arnA,protein hexamerization,GO:0034214,P77398
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Bifunctional polymyxin resistance protein ArnA ,arnA,response to antibiotic,GO:0046677,P77398
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Bifunctional polymyxin resistance protein ArnA ,arnA,UDP-4-deoxy-4-formamido-beta-L-arabinopyranose biosynthetic process,GO:2001315,P77398
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Bifunctional polymyxin resistance protein ArnA ,arnA,UDP-D-xylose biosynthetic process,GO:0033320,P77398
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Fatty acid oxidation complex subunit alpha ,fadJ,fatty acid beta-oxidation,GO:0006635,P77399
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Autoinducer 2 kinase LsrK ,lsrK,carbohydrate metabolic process,GO:0005975,P77432
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Autoinducer 2 kinase LsrK ,lsrK,quorum sensing,GO:0009372,P77432
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Autoinducer 2 kinase LsrK ,lsrK,single-species biofilm formation,GO:0044010,P77432
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Uncharacterized aminotransferase YfdZ ,alaC,alanine biosynthetic process,GO:0006523,P77434
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Uncharacterized aminotransferase YfdZ ,alaC,D-alanine biosynthetic process,GO:0030632,P77434
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Uncharacterized aminotransferase YfdZ ,alaC,L-alanine biosynthetic process from pyruvate,GO:0019272,P77434
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Cysteine desulfurase ,sufS,cysteine metabolic process,GO:0006534,P77444
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Cysteine desulfurase ,sufS,iron-sulfur cluster assembly,GO:0016226,P77444
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Cysteine desulfurase ,sufS,selenium compound metabolic process,GO:0001887,P77444
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Cysteine desulfurase ,sufS,sulfur compound metabolic process,GO:0006790,P77444
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Cysteine desulfurase ,sufS,sulfur incorporation into metallo-sulfur cluster,GO:0031162,P77444
Not Assigned,Not Assigned,Not Assigned,Glutaminase 1 ,glsA,glutamate biosynthetic process,GO:0006537,P77454
Not Assigned,Not Assigned,Not Assigned,Glutaminase 1 ,glsA,glutamine catabolic process,GO:0006543,P77454
Not Assigned,Not Assigned,Not Assigned,Glutaminase 1 ,glsA,negative regulation of growth,GO:0045926,P77454
Not Assigned,Not Assigned,Not Assigned,Glutaminase 1 ,glsA,protein homotetramerization,GO:0051289,P77454
Not Assigned,Not Assigned,Not Assigned,Glutaminase 1 ,glsA,response to acidic pH,GO:0010447,P77454
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Sensor kinase CusS ,cusS,cellular response to copper ion,GO:0071280,P77485
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Sensor kinase CusS ,cusS,cellular response to silver ion,GO:0071292,P77485
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Sensor kinase CusS ,cusS,peptidyl-histidine phosphorylation,GO:0018106,P77485
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Sensor kinase CusS ,cusS,phosphorelay signal transduction system,GO:0000160,P77485
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Sensor kinase CusS ,cusS,phosphorylation,GO:0016310,P77485
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Sensor kinase CusS ,cusS,signal transduction by protein phosphorylation,GO:0023014,P77485
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,1-deoxy-D-xylulose-5-phosphate synthase ,dxs,1-deoxy-D-xylulose 5-phosphate biosynthetic process,GO:0052865,P77488
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,1-deoxy-D-xylulose-5-phosphate synthase ,dxs,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",GO:0019288,P77488
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,1-deoxy-D-xylulose-5-phosphate synthase ,dxs,isoprenoid biosynthetic process,GO:0008299,P77488
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,1-deoxy-D-xylulose-5-phosphate synthase ,dxs,pyridoxine biosynthetic process,GO:0008615,P77488
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,1-deoxy-D-xylulose-5-phosphate synthase ,dxs,terpenoid biosynthetic process,GO:0016114,P77488
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,1-deoxy-D-xylulose-5-phosphate synthase ,dxs,thiamine biosynthetic process,GO:0009228,P77488
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,1-deoxy-D-xylulose-5-phosphate synthase ,dxs,ubiquinone biosynthetic process,GO:0006744,P77488
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Probable ATP-dependent transporter SufC ,sufC,iron-sulfur cluster assembly,GO:0016226,P77499
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Probable ATP-dependent transporter SufC ,sufC,response to radiation,GO:0009314,P77499
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",FeS cluster assembly protein sufB ,sufB,iron-sulfur cluster assembly,GO:0016226,P77522
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Probable disulfide bond reductase yfcG ,yfcG,response to oxidative stress,GO:0006979,P77526
Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized symporter ydjN ,ydjN,L-cystine transport,GO:0015811,P77529
Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized symporter ydjN ,ydjN,sulfur amino acid transport,GO:0000101,P77529
Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized symporter ydjN ,ydjN,sulfur utilization,GO:0006791,P77529
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Methylisocitrate lyase ,prpB,"propionate catabolic process, 2-methylcitrate cycle",GO:0019629,P77541
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Uncharacterized GST-like protein yfcF ,yfcF,glutathione metabolic process,GO:0006749,P77544
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Uncharacterized GST-like protein yfcF ,yfcF,response to hydrogen peroxide,GO:0042542,P77544
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Uncharacterized protein ydhQ ,ydhQ,cellular response to DNA damage stimulus,GO:0006974,P77552
Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein yaiW ,yaiW,response to peptide,GO:1901652,P77562
Information Storage and Processing,Transcription,Transcription,Mhp operon transcriptional activator ,mhpR,aromatic compound catabolic process,GO:0019439,P77569
Information Storage and Processing,Transcription,Transcription,Mhp operon transcriptional activator ,mhpR,"negative regulation of transcription, DNA-templated",GO:0045892,P77569
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Anhydro-N-acetylmuramic acid kinase ,anmK,"1,6-anhydro-N-acetyl-beta-muramic acid catabolic process",GO:0097175,P77570
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Anhydro-N-acetylmuramic acid kinase ,anmK,amino sugar metabolic process,GO:0006040,P77570
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Anhydro-N-acetylmuramic acid kinase ,anmK,carbohydrate metabolic process,GO:0005975,P77570
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Anhydro-N-acetylmuramic acid kinase ,anmK,peptidoglycan turnover,GO:0009254,P77570
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Succinylornithine transaminase ,astC,arginine biosynthetic process via ornithine,GO:0042450,P77581
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Succinylornithine transaminase ,astC,arginine catabolic process,GO:0006527,P77581
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Succinylornithine transaminase ,astC,arginine catabolic process to glutamate,GO:0019544,P77581
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Succinylornithine transaminase ,astC,arginine catabolic process to succinate,GO:0019545,P77581
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Succinylornithine transaminase ,astC,ornithine catabolic process,GO:0006593,P77581
Information Storage and Processing,Transcription,Transcription,Uncharacterized HTH-type transcriptional regulator ycjW ,ycjW,cellular response to DNA damage stimulus,GO:0006974,P77615
Information Storage and Processing,Transcription,Transcription,Uncharacterized HTH-type transcriptional regulator ycjW ,ycjW,"regulation of transcription, DNA-templated",GO:0006355,P77615
Information Storage and Processing,Transcription,Transcription,Uncharacterized HTH-type transcriptional regulator ycjW ,ycjW,"transcription, DNA-templated",GO:0006351,P77615
Poorly Characterized,General function prediction only,General function prediction only,Phosphatase YfbT ,yfbT,carbohydrate metabolic process,GO:0005975,P77625
Poorly Characterized,Function unknown,Function unknown,Protein sufA ,sufA,iron-sulfur cluster assembly,GO:0016226,P77667
Poorly Characterized,Function unknown,Function unknown,Protein sufA ,sufA,protein maturation by iron-sulfur cluster transfer,GO:0097428,P77667
Poorly Characterized,Function unknown,Function unknown,Protein sufA ,sufA,response to oxidative stress,GO:0006979,P77667
