"Complexes_Proteins"	"Genes"	"Object_ID"
"aldehyde dehydrogenase A, NAD-linked"	"aldA"	"ALD-CPLX"
"glutaminase 1"	"glsA"	"CPLX0-7694"
"D-erythrose-4-phosphate dehydrogenase"	"epd"	"ERYTH4PDEHYDROG-CPLX"
"<i>N</i>-acetylneuraminate lyase"	"nanA"	"ACNEULY-CPLX"
"DNA-binding transcriptional dual regulator ArgP"	"argP"	"CPLX0-7669"
"protein disulfide isomerase DsbC"	"dsbC"	"DSBC-CPLX"
"lipoprotein release complex"	"lolE" // "lolD" // "lolC"	"ABC-62-CPLX"
"D-ribose pyranase"	"rbsD"	"CPLX0-7646"
"D-cysteine desulfhydrase"	"dcyD"	"DCYSDESULF-CPLX"
"intermembrane phospholipid transport system"	"mlaB" // "mlaD" // "mlaE" // "mlaF"	"ABC-45-CPLX"
"L-serine deaminase III"	"tdcG"	"CPLX0-7622"
"putative 4-oxalocrotonate tautomerase (4-OT)"	"pptA"	"CPLX0-902"
"spermidine preferential ABC transporter"	"potA" // "potB" // "potC" // "potD"	"ABC-24-CPLX"
"outer membrane porin F"	"ompF"	"CPLX0-7534"
"5-keto-D-gluconate 5-reductase"	"idnO"	"CPLX0-8292"
"7-&alpha;-hydroxysteroid dehydrogenase"	"hdhA"	"7-ALPHA-HYDROXYSTEROID-DEH-CPLX"
"<i>all-trans</i>-octaprenyl-diphosphate synthase"	"ispB"	"CPLX0-7426"
"guanidinium exporter"	"gdx"	"CPLX0-8263"
"murein tripeptide ABC transporter"	"oppB" // "oppC" // "oppD" // "oppF" // "mppA"	"CPLX0-3970"
"Grx4-IbaG complex"	"ibaG" // "grxD"	"CPLX0-8239"
"universal stress protein G"	"uspG"	"CPLX0-3939"
"periplasmic protein-L-methionine sulfoxide reducing system"	"msrQ" // "msrP"	"CPLX0-8213"
"xylose isomerase"	"xylA"	"XYLISOM-CPLX"
"&alpha;-D-xyloside xylohydrolase"	"yicI"	"CPLX0-3901"
"chaperone protein DnaJ"	"dnaJ"	"CPLX0-8191"
"trans-2-enoyl-CoA reductase (NADPH)"	""	"TRANSENOYLCOARED-CPLX"
"fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase"	"hldE"	"CPLX0-3661"
"CRISPR-associated endoribonuclease Cas2"	"cas2"	"CPLX0-8173"
"acyl-CoA thioesterase II"	"tesB"	"THIOESTERII-CPLX"
"holocytochrome <I>c</I> synthetase"	"ccmE" // "ccmF" // "ccmG" // "ccmH"	"CPLX0-3323"
"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase"	"paaY"	"CPLX0-8127"
"serine&mdash;tRNA ligase"	"serS"	"SERS-CPLX"
"Sec Holo-Translocon"	"secD" // "secF" // "yajC" // "yidC" // "secY" // "secG" // "secE"	"SEC-SECRETION-CPLX"
"peptidase T"	"pepT"	"CPLX0-3041"
"methyl-accepting chemotaxis protein - dipeptide-sensing"	"tap"	"CPLX0-8104"
"pyruvate oxidase"	"poxB"	"PYRUVOXID-CPLX"
"isoaspartyl dipeptidase / asparaginase III"	"iaaA"	"CPLX0-263"
"acetylesterase"	"aes"	"CPLX0-8033"
"pyruvate kinase I"	"pykF"	"PKI-COMPLEX"
"NADPH-dependent nitroreductase NfsA"	"nfsA"	"CPLX0-244"
"RNase adaptor protein"	"rapZ"	"CPLX0-7998"
"sensor histidine kinase PhoR"	"phoR"	"PHOR-CPLX"
"galactitol-specific PTS enzyme II"	"gatC" // "gatB" // "gatA"	"CPLX0-231"
"16S rRNA m<sup>4</sup>C1402 methyltransferase"	"rsmH"	"CPLX0-7977"
"DNA-binding transcriptional repressor TrpR"	"trpR"	"PC00007"
"ferrichrome outer membrane transport complex"	"exbD" // "exbB" // "tonB" // "fhuA"	"CPLX0-1942"
"ferric coprogen outer membrane transport complex"	"fhuE" // "exbD" // "exbB" // "tonB"	"CPLX0-7952"
"periplasmic nitrite reductase NrfAB"	"nrfA" // "nrfB"	"NRFMULTI-CPLX"
"stationary phase nucleoid component that sequesters iron and protects DNA from damage"	"dps"	"CPLX0-1521"
"antitoxin/DNA-binding transcriptional repressor YefM"	"yefM"	"CPLX0-7929"
"MutHLS complex, methyl-directed mismatch repair"	"mutL" // "mutS" // "mutH"	"MUTHLS-CPLX"
"selenocysteine synthase"	"selA"	"CPLX0-1141"
"EF-P-lysine lysyltransferase"	"epmA"	"CPLX0-7889"
"lysine&mdash;tRNA ligase, constitutive"	"lysS"	"LYSS-CPLX"
"hydroxypyruvate isomerase"	"hyi"	"CPLX-171"
"formate channel FocA"	"focA"	"CPLX0-7843"
"catalase/hydroperoxidase HPI"	"katG"	"HYDROPEROXIDI-CPLX"
"pantetheine-phosphate adenylyltransferase"	"coaD"	"COADTRI-CPLX"
"putative nucleoid-associated protein YbaB"	"ybaB"	"CPLX0-7816"
"xanthine-guanine phosphoribosyltransferase"	"gpt"	"GPT-CPLX"
"betaine aldehyde dehydrogenase"	"betB"	"BADH-CPLX"
"DinJ-YafQ antitoxin/toxin complex / DNA-binding transcriptional repressor"	"yafQ" // "dinJ"	"CPLX0-7787"
"glutathione synthetase"	"gshB"	"GLUTATHIONE-SYN-CPLX"
"aspartate carbamoyltransferase, regulatory subunit"	"pyrI"	"ASPCARBREG-DIMER"
"DNA-binding transcriptional repressor ArsR"	"arsR"	"CPLX0-7734"
"galactose-1-phosphate uridylyltransferase"	"galT"	"GALACTURIDYLYLTRANS-CPLX"
"L-arabinose isomerase"	"araA"	"ARABISOM-CPLX"
"DNA-binding transcriptional dual regulator DsdC"	"dsdC"	"CPLX0-7713"
"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase"	"folD"	"FOLD-CPLX"
"phosphoribosylformylglycinamide cyclo-ligase"	"purM"	"AIRS-CPLX"
"isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor"	"aidB"	"CPLX0-7691"
"2,3-dihydroxybenzoate-[aryl-carrier protein] ligase"	"entE"	"ENTE-CPLX"
"acetylglutamate kinase"	"argB"	"ACETYLGLUTKIN-CPLX"
"DNA-binding transcriptional activator CaiF"	"caiF"	"CPLX0-7666"
"dimethyl sulfoxide reductase subunit A" // "dimethyl sulfoxide reductase subunit B" // "dimethyl sulfoxide reductase subunit C"	"dmsA" // "dmsB" // "dmsC"	"DIMESULFREDUCT-CPLX"
"glutathione / L-cysteine ABC exporter CydDC"	"cydD" // "cydC"	"ABC-6-CPLX"
"osmolyte:H<sup>+</sup> symporter ProP"	"proP"	"CPLX0-7642"
"D-amino acid dehydrogenase"	"dadA"	"DALADEHYDROG-CPLX"
"glycine betaine ABC transporter, non-osmoregulatory"	"osmF" // "yehY" // "yehX" // "yehW"	"ABC-40-CPLX"
"&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase"	"garL"	"CPLX0-7615"
"protein/nucleic acid deglycase 1"	"hchA"	"CPLX0-861"
"putative transport complex, ABC superfamily"	"yadG" // "yadH"	"ABC-21-CPLX"
"outer membrane porin PhoE"	"phoE"	"CPLX0-7530"
"sensor histidine kinase CusS"	"cusS"	"CPLX0-8288"
"6-phosphofructokinase 1"	"pfkA"	"6PFK-1-CPX"
"predicted rRNA methyltransferase"	"yjtD"	"CPLX0-7422"
"dTMP kinase"	"tmk"	"CPLX0-8260"
"Xer site-specific recombination system"	"xerC" // "xerD"	"CPLX0-3959"
"DNA-binding transcriptional repressor FrmR"	"frmR"	"CPLX0-8234"
"dihydroneopterin aldolase"	"folB"	"CPLX0-3936"
"fructoselysine 6-phosphate deglycase"	"frlB"	"CPLX0-821"
"uridine phosphorylase"	"udp"	"URPHOS-CPLX"
"4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase"	"ispE"	"CPLX0-3841"
"Z-ring inhibitor complex MinCD"	"minD" // "minC"	"CPLX0-8188"
"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - periplasmic binding protein" // "2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit" // "2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit"	"yiaO" // "yiaN" // "yiaM"	"TRANS-CPLX-203"
"RNase T"	"rnt"	"CPLX0-3602"
"ssDNA-binding protein"	"ssb"	"CPLX0-8165"
"ubiquinol&mdash;[NapC cytochrome <i>c</i>] reductase NapGH"	"napG" // "napH"	"CPLX0-3241"
"6-carboxy-5,6,7,8-tetrahydropterin synthase"	"queD"	"CPLX0-8123"
"putative ABC transporter ArtPQMI"	"artI" // "artM" // "artQ" // "artP"	"CPLX0-8120"
"methionine adenosyltransferase"	"metK"	"S-ADENMETSYN-CPLX"
"3-octaprenyl-4-hydroxybenzoate decarboxylase"	"ubiD"	"CPLX0-301"
"UDP-glucose 6-dehydrogenase"	"ugd"	"CPLX0-8098"
"pyridine nucleotide transhydrogenase subunit &beta;" // "pyridine nucleotide transhydrogenase subunit &alpha;"	"pntB" // "pntA"	"PYRNUTRANSHYDROGEN-CPLX"
"phenylhydantoinase"	"hyuA"	"CPLX0-255"
"UDP-3-<i>O</i>-(3-hydroxymyristoyl)glucosamine <i>N</i>-acyltransferase"	"lpxD"	"CPLX0-8016"
"DNA topoisomerase IV"	"parE" // "parC"	"CPLX0-2424"
"ureidoglycolate dehydrogenase"	"allD"	"CPLX0-7993"
"phosphoglycerate dehydrogenase"	"serA"	"PGLYCDEHYDROG-CPLX"
"&alpha;-ketoglutarate-dependent taurine dioxygenase"	"tauD"	"CPLX0-227"
"RNA decapping hydrolase"	"nudC"	"CPLX0-7974"
"DNA-binding transcriptional dual regulator AraC"	"araC"	"PC00003"
"energy transducing Ton complex"	"tonB" // "exbB" // "exbD"	"CPLX0-1923"
"<i>N</i>-succinylarginine dihydrolase"	"astB"	"CPLX0-7947"
"anaerobic nucleoside-triphosphate reductase activating system"	"nrdD" // "nrdG"	"NRDACTMULTI-CPLX"
"bacterioferritin"	"bfr"	"CPLX0-1421"
"ATP-independent periplasmic chaperone"	"spy"	"CPLX0-7923"
"L-methionine/D-methionine ABC transporter"	"metN" // "metI" // "metQ"	"METNIQ-METHIONINE-ABC-CPLX"
"2-methylisocitrate lyase"	"prpB"	"CPLX0-1021"
"glutathione hydrolase"	"ggt"	"CPLX0-7885"
"L(+)-tartrate dehydratase subunit &alpha;" // "L(+)-tartrate dehydratase subunit &beta;"	"ttdA" // "ttdB"	"LTARTDEHYDRA-CPLX"
"trehalose-specific PTS enzyme II"	"treB" // "crr"	"CPLX-168"
"cysteine sulfinate desulfinase"	"csdA"	"CPLX0-7838"
"homoserine kinase"	"thrB"	"HOMOSERKIN-CPLX"
"citrate synthase"	"gltA"	"CITRATE-SI-SYNTHASE"
"coproporphyrinogen III oxidase"	"hemF"	"CPLX0-7808"
"glycine&mdash;tRNA ligase"	"glyS" // "glyQ"	"GLYS-CPLX"
"ATP synthase F<sub>0</sub> complex" // "ATP synthase F<sub>1</sub> complex"	"atpB" // "atpF" // "atpE" // "atpD" // "atpG" // "atpA" // "atpH" // "atpC"	"ATPSYN-CPLX"
"aconitate hydratase A"	"acnA"	"CPLX0-7760"
"imidazole glycerol phosphate synthase subunit HisH" // "imidazole glycerol phosphate synthase subunit HisF"	"hisH" // "hisF"	"GLUTAMIDOTRANS-CPLX"
"aspartate aminotransferase"	"aspC"	"ASPAMINOTRANS-DIMER"
"DNA-binding transcriptional repressor PaaX"	"paaX"	"CPLX0-7731"
"fumarate reductase flavoprotein subunit" // "fumarate reductase iron-sulfur protein" // "fumarate reductase membrane protein FrdC" // "fumarate reductase membrane protein FrdD"	"frdA" // "frdB" // "frdC" // "frdD"	"FUMARATE-REDUCTASE"
"acid phosphatase / phosphotransferase"	"aphA"	"APHA-CPLX"
"DNA-binding transcriptional repressor MarR"	"marR"	"CPLX0-7710"
"aerobic fatty acid oxidation complex"	"fadB" // "fadA"	"FAO-CPLX"
"alcohol dehydrogenase/aldehyde-dehydrogenase"	"adhE"	"ADHE-CPLX"
"cell division factor ZapB"	"zapB"	"CPLX0-7686"
"putative PTS enzyme II SgcBCA"	"sgcB" // "sgcC" // "sgcA"	"EIISGC"
"acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit" // "acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit"	"ilvI" // "ilvH"	"ACETOLACTSYNIII-CPLX"
"fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase"	"ribD"	"CPLX0-7659"
"4-hydroxy-tetrahydrodipicolinate reductase"	"dapB"	"DIHYDROPICRED-CPLX"
"putative ABC exporter YbhFSR"	"ybhS" // "ybhR" // "ybhF"	"ABC-57-CPLX"
"NAD(P)H:quinone oxidoreductase"	"wrbA"	"CPLX0-7632"
"cytochrome <i>bo<sub>3</sub></i> ubiquinol oxidase"	"cyoD" // "cyoA" // "cyoB" // "cyoC"	"CYT-O-UBIOX-CPLX"
"<i>sn</i>-glycerol 3-phosphate / glycerophosphodiester ABC transporter"	"ugpC" // "ugpA" // "ugpE" // "ugpB"	"ABC-34-CPLX"
"<I>N</I>-acetyl-D-galactosamine specific PTS (cryptic)"	"agaV" // "agaW"	"CPLX0-7610"
"ribosome-dependent mRNA interferase toxin YoeB"	"yoeB"	"CPLX0-8311"
"molybdate ABC transporter"	"modC" // "modB" // "modA"	"ABC-19-CPLX"
"carbonic anhydrase 2"	"can"	"CPLX0-7521"
"pyrimidine-specific ribonucleoside hydrolase RihA"	"rihA"	"CPLX0-8280"
"3-isopropylmalate dehydratase"	"leuC" // "leuD"	"3-ISOPROPYLMALISOM-CPLX"
"DNA-binding transcriptional repressor MprA"	"mprA"	"CPLX0-7418"
"Mlc-PtsG"	"ptsG" // "mlc"	"CPLX0-8255"
"50S ribosomal protein complex L8"	"rplJ" // "rplL"	"CPLX0-3956"
"16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase"	"rsmI"	"CPLX0-8231"
"multidrug efflux pump AcrAD-TolC"	"tolC" // "acrD" // "acrA"	"CPLX0-3932"
"dihydroxyacetone kinase, phosphotransferase component"	"dhaM"	"CPLX0-8206"
"UMP kinase"	"pyrH"	"UMPKI-CPLX"
"DNA polymerase III, &tau; subunit dimer"	"dnaX"	"CPLX0-3802"
"PF10636 family protein YdiE"	"ydiE"	"CPLX0-8185"
"ABC-type tripartite efflux pump"	"tolC" // "macB" // "macA"	"TRANS-200-CPLX"
"hydrogenase isozymes nickel incorporation protein HypB"	"hypB"	"CPLX0-3561"
"succinate:quinone oxidoreductase subcomplex"	"sdhD" // "sdhC" // "sdhB" // "sdhA"	"CPLX0-8160"
"superoxide dismutase (Fe)"	"sodB"	"SUPEROX-DISMUTFE-CPLX"
"pyridoxine 5'-phosphate synthase"	"pdxJ"	"CPLX0-321"
"succinyl-diaminopimelate desuccinylase"	"dapE"	"CPLX0-3161"
"ribulokinase"	"araB"	"RIBULOKIN-CPLX"
"FtsH/HflKC protease complex"	"hflC" // "hflK" // "ftsH"	"CPLX0-2982"
"CP4-57 prophage; RNase LS, toxin of the RnlAB toxin-antitoxin system"	"rnlA"	"CPLX0-8095"
