uniprot,desc,gene,cog_class_letter,cog_desc,cog_class
P23003,tRNA (uracil-5-)-methyltransferase OS=Escherichia coli (strain K12) GN=trmA PE=1 SV=1,trmA,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P0A8I5,tRNA (guanine-N(7)-)-methyltransferase OS=Escherichia coli (strain K12) GN=trmB PE=1 SV=1,trmB,Not Assigned,Not Assigned,Not Assigned
P0A873,tRNA (guanine-N(1)-)-methyltransferase OS=Escherichia coli (strain K12) GN=trmD PE=1 SV=1,trmD,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P0AGJ2,tRNA guanosine-2'-O-methyltransferase OS=Escherichia coli (strain K12) GN=trmH PE=1 SV=1,trmH,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P0AE01,tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ OS=Escherichia coli (strain K12) GN=trmJ PE=1 SV=1,trmJ,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P0AGJ7,tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmL OS=Escherichia coli (strain K12) GN=trmL PE=1 SV=1,trmL,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P0A877,Tryptophan synthase alpha chain OS=Escherichia coli (strain K12) GN=trpA PE=1 SV=1,trpA,E,Amino acid transport and metabolism,Metabolism
P0A879,Tryptophan synthase beta chain OS=Escherichia coli (strain K12) GN=trpB PE=1 SV=2,trpB,E,Amino acid transport and metabolism,Metabolism
P00909,Tryptophan biosynthesis protein trpCF OS=Escherichia coli (strain K12) GN=trpC PE=1 SV=3,trpC,E,Amino acid transport and metabolism,Metabolism
P00895,Anthranilate synthase component 1 OS=Escherichia coli (strain K12) GN=trpE PE=1 SV=2,trpE,EH,Amino acid transport and metabolism,Metabolism
P00904,Anthranilate synthase component II OS=Escherichia coli (strain K12) GN=trpD PE=1 SV=3,trpG,E,Amino acid transport and metabolism,Metabolism
P0A881,Trp operon repressor OS=Escherichia coli (strain K12) GN=trpR PE=1 SV=2,trpR,K,Transcription,Information Storage and Processing
P00954,Tryptophanyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=trpS PE=1 SV=3,trpS,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P60340,tRNA pseudouridine synthase B OS=Escherichia coli (strain K12) GN=truB PE=1 SV=1,truB,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
Q57261,tRNA pseudouridine synthase D OS=Escherichia coli (strain K12) GN=truD PE=1 SV=1,truD,S,Function unknown,Poorly Characterized
P0AA25,Thioredoxin-1 OS=Escherichia coli (strain K12) GN=trxA PE=1 SV=2,trxA,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P0A9P4,Thioredoxin reductase OS=Escherichia coli (strain K12) GN=trxB PE=1 SV=2,trxB,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P0AGG4,Thioredoxin-2 OS=Escherichia coli (strain K12) GN=trxC PE=1 SV=1,trxC,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P28634,UPF0066 protein yaeB OS=Escherichia coli (strain K12) GN=yaeB PE=1 SV=2,tsaA,S,Function unknown,Poorly Characterized
P76256,M22 peptidase homolog yeaZ OS=Escherichia coli (strain K12) GN=yeaZ PE=1 SV=1,tsaB,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P45748,tRNA threonylcarbamoyladenosine biosynthesis protein RimN OS=Escherichia coli (strain K12) GN=rimN PE=1 SV=2,tsaC,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P05852,Probable O-sialoglycoprotein endopeptidase OS=Escherichia coli (strain K12) GN=gcp PE=3 SV=2,tsaD,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P0AF67,UPF0079 ATP-binding protein yjeE OS=Escherichia coli (strain K12) GN=yjeE PE=3 SV=1,tsaE,R,General function prediction only,Poorly Characterized
P0A6P1,Elongation factor Ts OS=Escherichia coli (strain K12) GN=tsf PE=1 SV=2,tsf,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P02942,Methyl-accepting chemotaxis protein I OS=Escherichia coli (strain K12) GN=tsr PE=1 SV=2,tsr,NT,Cell motility,Cellular Processes and Signaling
P0A927,Nucleoside-specific channel-forming protein tsx OS=Escherichia coli (strain K12) GN=tsx PE=1 SV=1,tsx,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P76055,tRNA 2-thiocytidine biosynthesis protein TtcA OS=Escherichia coli (strain K12) GN=ttcA PE=1 SV=1,ttcA,D,"Cell cycle control, cell division, chromosome partitioning",Cellular Processes and Signaling
P0CE47,Elongation factor Tu 1 OS=Escherichia coli (strain K12) GN=tufA PE=1 SV=1,tufA,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P0A890,Sulfurtransferase tusA OS=Escherichia coli (strain K12) GN=tusA PE=1 SV=1,tusA,Not Assigned,Not Assigned,Not Assigned
P45531,Protein tusC OS=Escherichia coli (strain K12) GN=tusC PE=1 SV=1,tusC,Not Assigned,Not Assigned,Not Assigned
P32132,GTP-binding protein typA/BipA OS=Escherichia coli (strain K12) GN=typA PE=1 SV=2,typA,T,Signal transduction mechanisms,Cellular Processes and Signaling
P07023,T-protein OS=Escherichia coli (strain K12) GN=tyrA PE=1 SV=1,tyrA,E,Amino acid transport and metabolism,Metabolism
P04693,Aromatic-amino-acid aminotransferase OS=Escherichia coli (strain K12) GN=tyrB PE=1 SV=1,tyrB,E,Amino acid transport and metabolism,Metabolism
P07604,Transcriptional regulatory protein tyrR OS=Escherichia coli (strain K12) GN=tyrR PE=1 SV=2,tyrR,KE,Transcription,Information Storage and Processing
P0AGJ9,Tyrosyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=tyrS PE=1 SV=2,tyrS,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P0A6A0,Probable ubiquinone biosynthesis protein UbiB OS=Escherichia coli (strain K12) GN=ubiB PE=1 SV=1,ubiB,R,General function prediction only,Poorly Characterized
P26602,Chorismate--pyruvate lyase OS=Escherichia coli (strain K12) GN=ubiC PE=1 SV=2,ubiC,H,Coenzyme transport and metabolism,Metabolism
P0AAB4,3-octaprenyl-4-hydroxybenzoate carboxy-lyase OS=Escherichia coli (strain K12) GN=ubiD PE=1 SV=1,ubiD,H,Coenzyme transport and metabolism,Metabolism
P0A887,Ubiquinone/menaquinone biosynthesis methyltransferase ubiE OS=Escherichia coli (strain K12) GN=ubiE PE=1 SV=1,ubiE,H,Coenzyme transport and metabolism,Metabolism
P75728,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase OS=Escherichia coli (strain K12) GN=ubiF PE=1 SV=1",ubiF,HC,Coenzyme transport and metabolism,Metabolism
P17993,3-demethylubiquinone-9 3-methyltransferase OS=Escherichia coli (strain K12) GN=ubiG PE=1 SV=1,ubiG,H,Coenzyme transport and metabolism,Metabolism
P25535,Protein visC OS=Escherichia coli (strain K12) GN=visC PE=3 SV=2,ubiI,HC,Coenzyme transport and metabolism,Metabolism
P0AG03,3-octaprenyl-4-hydroxybenzoate carboxy-lyase OS=Escherichia coli (strain K12) GN=ubiX PE=3 SV=1,ubiX,H,Coenzyme transport and metabolism,Metabolism
P37440,Oxidoreductase ucpA OS=Escherichia coli (strain K12) GN=ucpA PE=1 SV=3,ucpA,IQR,Lipid transport and metabolism,Metabolism
P0A8F4,Uridine kinase OS=Escherichia coli (strain K12) GN=udk PE=3 SV=1,udk,F,Nucleotide transport and metabolism,Metabolism
P12758,Uridine phosphorylase OS=Escherichia coli (strain K12) GN=udp PE=1 SV=3,udp,F,Nucleotide transport and metabolism,Metabolism
P0AG80,sn-glycerol-3-phosphate-binding periplasmic protein ugpB OS=Escherichia coli (strain K12) GN=ugpB PE=1 SV=1,ugpB,G,Carbohydrate transport and metabolism,Metabolism
P10907,sn-glycerol-3-phosphate import ATP-binding protein UgpC OS=Escherichia coli (strain K12) GN=ugpC PE=1 SV=3,ugpC,G,Carbohydrate transport and metabolism,Metabolism
P10908,Glycerophosphoryl diester phosphodiesterase OS=Escherichia coli (strain K12) GN=ugpQ PE=1 SV=1,ugpQ,C,Energy production and conversion,Metabolism
P0AGA6,Transcriptional regulatory protein uhpA OS=Escherichia coli (strain K12) GN=uhpA PE=1 SV=1,uhpA,TK,Signal transduction mechanisms,Cellular Processes and Signaling
P0AGC0,Hexose phosphate transport protein OS=Escherichia coli (strain K12) GN=uhpT PE=1 SV=1,uhpT,G,Carbohydrate transport and metabolism,Metabolism
P05804,Beta-glucuronidase OS=Escherichia coli (strain K12) GN=uidA PE=1 SV=2,uidA,G,Carbohydrate transport and metabolism,Metabolism
P0A9W0,HTH-type transcriptional regulator ulaR OS=Escherichia coli (strain K12) GN=ulaR PE=1 SV=1,ulaR,KG,Transcription,Information Storage and Processing
P12295,Uracil-DNA glycosylase OS=Escherichia coli (strain K12) GN=ung PE=1 SV=2,ung,L,"Replication, recombination and repair",Information Storage and Processing
P0A8F0,Uracil phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=upp PE=1 SV=1,upp,F,Nucleotide transport and metabolism,Metabolism
P08390,USG-1 protein OS=Escherichia coli (strain K12) GN=usg PE=1 SV=1,usg,E,Amino acid transport and metabolism,Metabolism
P07024,Protein UshA OS=Escherichia coli (strain K12) GN=ushA PE=1 SV=2,ushA,F,Nucleotide transport and metabolism,Metabolism
P0AED0,Universal stress protein A OS=Escherichia coli (strain K12) GN=uspA PE=1 SV=2,uspA,T,Signal transduction mechanisms,Cellular Processes and Signaling
P0AAB8,Universal stress protein D OS=Escherichia coli (strain K12) GN=uspD PE=2 SV=1,uspD,T,Signal transduction mechanisms,Cellular Processes and Signaling
P0AAC0,Universal stress protein E OS=Escherichia coli (strain K12) GN=uspE PE=1 SV=2,uspE,T,Signal transduction mechanisms,Cellular Processes and Signaling
P37903,Universal stress protein F OS=Escherichia coli (strain K12) GN=uspF PE=1 SV=2,uspF,T,Signal transduction mechanisms,Cellular Processes and Signaling
P39177,Universal stress protein G OS=Escherichia coli (strain K12) GN=uspG PE=1 SV=2,uspG,T,Signal transduction mechanisms,Cellular Processes and Signaling
P43672,ABC transporter ATP-binding protein uup OS=Escherichia coli (strain K12) GN=uup PE=1 SV=2,uup,R,General function prediction only,Poorly Characterized
P0A698,UvrABC system protein A OS=Escherichia coli (strain K12) GN=uvrA PE=1 SV=1,uvrA,L,"Replication, recombination and repair",Information Storage and Processing
P0A8F8,UvrABC system protein B OS=Escherichia coli (strain K12) GN=uvrB PE=1 SV=2,uvrB,L,"Replication, recombination and repair",Information Storage and Processing
P0A8G0,UvrABC system protein C OS=Escherichia coli (strain K12) GN=uvrC PE=1 SV=1,uvrC,L,"Replication, recombination and repair",Information Storage and Processing
P03018,DNA helicase II OS=Escherichia coli (strain K12) GN=uvrD PE=1 SV=1,uvrD,L,"Replication, recombination and repair",Information Storage and Processing
P0AED5,Response regulator uvrY OS=Escherichia coli (strain K12) GN=uvrY PE=1 SV=1,uvrY,TK,Signal transduction mechanisms,Cellular Processes and Signaling
P0A6L7,Altronate oxidoreductase OS=Escherichia coli (strain K12) GN=uxaB PE=1 SV=1,uxaB,G,Carbohydrate transport and metabolism,Metabolism
P0A8G3,Uronate isomerase OS=Escherichia coli (strain K12) GN=uxaC PE=3 SV=1,uxaC,G,Carbohydrate transport and metabolism,Metabolism
P24215,Mannonate dehydratase OS=Escherichia coli (strain K12) GN=uxuA PE=1 SV=2,uxuA,G,Carbohydrate transport and metabolism,Metabolism
P39160,D-mannonate oxidoreductase OS=Escherichia coli (strain K12) GN=uxuB PE=3 SV=1,uxuB,G,Carbohydrate transport and metabolism,Metabolism
P39161,Uxu operon transcriptional regulator OS=Escherichia coli (strain K12) GN=uxuR PE=4 SV=1,uxuR,K,Transcription,Information Storage and Processing
P07118,Valyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=valS PE=1 SV=2,valS,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P0AC75,3-deoxy-D-manno-octulosonic-acid transferase OS=Escherichia coli (strain K12) GN=waaA PE=3 SV=1,waaA,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P27242,"Lipopolysaccharide 1,2-N-acetylglucosaminetransferase OS=Escherichia coli (strain K12) GN=waaU PE=4 SV=2",waaU,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P37749,Uncharacterized protein yefG OS=Escherichia coli (strain K12) GN=yefG PE=4 SV=1,wbbI,Not Assigned,Not Assigned,Not Assigned
P37750,Putative lipopolysaccharide biosynthesis O-acetyl transferase wbbJ OS=Escherichia coli (strain K12) GN=wbbJ PE=3 SV=2,wbbJ,R,General function prediction only,Poorly Characterized
P37751,Uncharacterized protein yefI OS=Escherichia coli (strain K12) GN=yefI PE=4 SV=1,wbbK,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P0AC78,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase OS=Escherichia coli (strain K12) GN=wecA PE=1 SV=1,wecA,Not Assigned,Not Assigned,Not Assigned
P27828,UDP-N-acetylglucosamine 2-epimerase OS=Escherichia coli (strain K12) GN=wecB PE=1 SV=2,wecB,Not Assigned,Not Assigned,Not Assigned
P27829,UDP-N-acetyl-D-mannosamine dehydrogenase OS=Escherichia coli (strain K12) GN=wecC PE=3 SV=4,wecC,Not Assigned,Not Assigned,Not Assigned
P56258,4-alpha-L-fucosyltransferase OS=Escherichia coli (strain K12) GN=wecF PE=1 SV=2,wecF,Not Assigned,Not Assigned,Not Assigned
P0A8G6,Flavoprotein wrbA OS=Escherichia coli (strain K12) GN=wrbA PE=1 SV=2,wrbA,R,General function prediction only,Poorly Characterized
P76387,Tyrosine-protein kinase wzc OS=Escherichia coli (strain K12) GN=wzc PE=1 SV=2,wzc,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P76372,Chain length determinant protein OS=Escherichia coli (strain K12) GN=wzzB PE=1 SV=2,wzzB,Not Assigned,Not Assigned,Not Assigned
P0AG00,Lipopolysaccharide biosynthesis protein wzzE OS=Escherichia coli (strain K12) GN=wzzE PE=1 SV=2,wzzE,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P0A8P6,Tyrosine recombinase xerC OS=Escherichia coli (strain K12) GN=xerC PE=1 SV=1,xerC,L,"Replication, recombination and repair",Information Storage and Processing
P0A8P8,Tyrosine recombinase xerD OS=Escherichia coli (strain K12) GN=xerD PE=1 SV=1,xerD,L,"Replication, recombination and repair",Information Storage and Processing
P04994,Exodeoxyribonuclease 7 large subunit OS=Escherichia coli (strain K12) GN=xseA PE=1 SV=2,xseA,L,"Replication, recombination and repair",Information Storage and Processing
P0A8G9,Exodeoxyribonuclease 7 small subunit OS=Escherichia coli (strain K12) GN=xseB PE=1 SV=2,xseB,L,"Replication, recombination and repair",Information Storage and Processing
P09030,Exodeoxyribonuclease III OS=Escherichia coli (strain K12) GN=xthA PE=1 SV=4,xthA,L,"Replication, recombination and repair",Information Storage and Processing
P00944,Xylose isomerase OS=Escherichia coli (strain K12) GN=xylA PE=3 SV=1,xylA,G,Carbohydrate transport and metabolism,Metabolism
P09099,Xylulose kinase OS=Escherichia coli (strain K12) GN=xylB PE=1 SV=1,xylB,G,Carbohydrate transport and metabolism,Metabolism
P0AGF4,D-xylose-proton symporter OS=Escherichia coli (strain K12) GN=xylE PE=1 SV=1,xylE,Not Assigned,Not Assigned,Not Assigned
P37387,D-xylose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=xylF PE=1 SV=1,xylF,G,Carbohydrate transport and metabolism,Metabolism
P37388,Xylose import ATP-binding protein XylG OS=Escherichia coli (strain K12) GN=xylG PE=1 SV=1,xylG,G,Carbohydrate transport and metabolism,Metabolism
P0AGI4,Xylose transport system permease protein xylH OS=Escherichia coli (strain K12) GN=xylH PE=1 SV=1,xylH,G,Carbohydrate transport and metabolism,Metabolism
P0ACI3,Xylose operon regulatory protein OS=Escherichia coli (strain K12) GN=xylR PE=4 SV=1,xylR,K,Transcription,Information Storage and Processing
P0A8I3,UPF0246 protein yaaA OS=Escherichia coli (strain K12) GN=yaaA PE=1 SV=1,yaaA,S,Function unknown,Poorly Characterized
P0A8H8,UPF0243 zinc-binding protein yacG OS=Escherichia coli (strain K12) GN=yacG PE=1 SV=1,yacG,S,Function unknown,Poorly Characterized
P36879,Uncharacterized ABC transporter ATP-binding protein YadG OS=Escherichia coli (strain K12) GN=yadG PE=1 SV=1,yadG,V,Defense mechanisms,Cellular Processes and Signaling
P62768,UPF0325 protein yaeH OS=Escherichia coli (strain K12) GN=yaeH PE=3 SV=1,yaeH,Not Assigned,Not Assigned,Not Assigned
P0A8K5,UPF0253 protein yaeP OS=Escherichia coli (strain K12) GN=yaeP PE=1 SV=1,yaeP,Not Assigned,Not Assigned,Not Assigned
P0AA97,Uncharacterized protein yaeQ OS=Escherichia coli (strain K12) GN=yaeQ PE=1 SV=1,yaeQ,S,Function unknown,Poorly Characterized
P52096,Uncharacterized protein yaeR OS=Escherichia coli (strain K12) GN=yaeR PE=4 SV=1,yaeR,E,Amino acid transport and metabolism,Metabolism
P30864,Uncharacterized HTH-type transcriptional regulator yafC OS=Escherichia coli (strain K12) GN=yafC PE=1 SV=1,yafC,K,Transcription,Information Storage and Processing
Q47147,Putative glutamine amidotransferase yafJ OS=Escherichia coli (strain K12) GN=yafJ PE=4 SV=1,yafJ,R,General function prediction only,Poorly Characterized
P0AA99,"Putative L,D-transpeptidase YafK OS=Escherichia coli (strain K12) GN=yafK PE=3 SV=1",yafK,S,Function unknown,Poorly Characterized
P75682,Uncharacterized protein yagE OS=Escherichia coli (strain K12) GN=yagE PE=1 SV=1,yagE,EM,Amino acid transport and metabolism,Metabolism
P77713,Putative beta-xylosidase OS=Escherichia coli (strain K12) GN=yagH PE=3 SV=1,yagH,G,Carbohydrate transport and metabolism,Metabolism
P0AAA1,Inner membrane protein yagU OS=Escherichia coli (strain K12) GN=yagU PE=1 SV=1,yagU,S,Function unknown,Poorly Characterized
P77554,Uncharacterized protein yahJ OS=Escherichia coli (strain K12) GN=yahJ PE=4 SV=1,yahJ,FR,Nucleotide transport and metabolism,Metabolism
P75691,Uncharacterized zinc-type alcohol dehydrogenase-like protein YahK OS=Escherichia coli (strain K12) GN=yahK PE=1 SV=1,yahK,R,General function prediction only,Poorly Characterized
P75694,Uncharacterized protein YahO OS=Escherichia coli (strain K12) GN=yahO PE=3 SV=1,yahO,Not Assigned,Not Assigned,Not Assigned
P0AAN5,Uncharacterized protein yaiA OS=Escherichia coli (strain K12) GN=yaiA PE=1 SV=1,yaiA,Not Assigned,Not Assigned,Not Assigned
P0C037,UPF0345 protein yaiE OS=Escherichia coli (strain K12) GN=yaiE PE=3 SV=1,yaiE,S,Function unknown,Poorly Characterized
P0A8D3,UPF0178 protein yaiI OS=Escherichia coli (strain K12) GN=yaiI PE=1 SV=1,yaiI,S,Function unknown,Poorly Characterized
P51024,Uncharacterized protein yaiL OS=Escherichia coli (strain K12) GN=yaiL PE=4 SV=2,yaiL,S,Function unknown,Poorly Characterized
P77562,Uncharacterized protein yaiW OS=Escherichia coli (strain K12) GN=yaiW PE=4 SV=1,yaiW,Not Assigned,Not Assigned,Not Assigned
P0ADZ7,UPF0092 membrane protein yajC OS=Escherichia coli (strain K12) GN=yajC PE=1 SV=1,yajC,U,"Intracellular trafficking, secretion, and vesicular transport",Cellular Processes and Signaling
P0AAQ2,Uncharacterized protein yajD OS=Escherichia coli (strain K12) GN=yajD PE=4 SV=1,yajD,Not Assigned,Not Assigned,Not Assigned
P0ADA5,Uncharacterized lipoprotein yajG OS=Escherichia coli (strain K12) GN=yajG PE=4 SV=1,yajG,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
Q46948,Chaperone protein YajL OS=Escherichia coli (strain K12) GN=yajL PE=1 SV=2,yajL,R,General function prediction only,Poorly Characterized
P77735,Uncharacterized oxidoreductase YajO OS=Escherichia coli (strain K12) GN=yajO PE=3 SV=2,yajO,C,Energy production and conversion,Metabolism
P0A8E7,UPF0234 protein yajQ OS=Escherichia coli (strain K12) GN=yajQ PE=1 SV=2,yajQ,S,Function unknown,Poorly Characterized
P0A8B5,UPF0133 protein ybaB OS=Escherichia coli (strain K12) GN=ybaB PE=1 SV=1,ybaB,S,Function unknown,Poorly Characterized
P0AAR3,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase ybaK OS=Escherichia coli (strain K12) GN=ybaK PE=1 SV=1,ybaK,S,Function unknown,Poorly Characterized
P39830,Inner membrane protein ybaL OS=Escherichia coli (strain K12) GN=ybaL PE=1 SV=2,ybaL,P,Inorganic ion transport and metabolism,Metabolism
P0A9T6,Uncharacterized HTH-type transcriptional regulator ybaQ OS=Escherichia coli (strain K12) GN=ybaQ PE=1 SV=1,ybaQ,R,General function prediction only,Poorly Characterized
P77717,Uncharacterized lipoprotein ybaY OS=Escherichia coli (strain K12) GN=ybaY PE=1 SV=1,ybaY,S,Function unknown,Poorly Characterized
P0A9T8,Uncharacterized ABC transporter ATP-binding protein YbbA OS=Escherichia coli (strain K12) GN=ybbA PE=3 SV=1,ybbA,Q,"Secondary metabolites biosynthesis, transport and catabolism",Metabolism
P77395,Uncharacterized protein ybbN OS=Escherichia coli (strain K12) GN=ybbN PE=1 SV=2,ybbN,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P0AFP4,Uncharacterized oxidoreductase ybbO OS=Escherichia coli (strain K12) GN=ybbO PE=3 SV=1,ybbO,R,General function prediction only,Poorly Characterized
P77504,Uncharacterized ABC transporter permease ybbP OS=Escherichia coli (strain K12) GN=ybbP PE=3 SV=1,ybbP,Q,"Secondary metabolites biosynthesis, transport and catabolism",Metabolism
P0AAS7,Uncharacterized protein ybcJ OS=Escherichia coli (strain K12) GN=ybcJ PE=1 SV=1,ybcJ,S,Function unknown,Poorly Characterized
P0AAS9,Uncharacterized protein ybdD OS=Escherichia coli (strain K12) GN=ybdD PE=4 SV=1,ybdD,S,Function unknown,Poorly Characterized
P45579,Uncharacterized oxidoreductase YbdH OS=Escherichia coli (strain K12) GN=ybdH PE=3 SV=2,ybdH,C,Energy production and conversion,Metabolism
P77213,Carboxylate-amine ligase YbdK OS=Escherichia coli (strain K12) GN=ybdK PE=1 SV=1,ybdK,S,Function unknown,Poorly Characterized
P77806,Aminotransferase YbdL OS=Escherichia coli (strain K12) GN=ybdL PE=1 SV=1,ybdL,E,Amino acid transport and metabolism,Metabolism
P18393,Uncharacterized protein ybdZ OS=Escherichia coli (strain K12) GN=ybdZ PE=4 SV=1,ybdZ,S,Function unknown,Poorly Characterized
P0A8J4,UPF0250 protein ybeD OS=Escherichia coli (strain K12) GN=ybeD PE=1 SV=1,ybeD,S,Function unknown,Poorly Characterized
P0AAT9,Uncharacterized protein ybeL OS=Escherichia coli (strain K12) GN=ybeL PE=4 SV=1,ybeL,Not Assigned,Not Assigned,Not Assigned
P0A898,Probable rRNA maturation factor YbeY OS=Escherichia coli (strain K12) GN=ybeY PE=1 SV=1,ybeY,R,General function prediction only,Poorly Characterized
P0A9K3,PhoH-like protein OS=Escherichia coli (strain K12) GN=ybeZ PE=1 SV=2,ybeZ,T,Signal transduction mechanisms,Cellular Processes and Signaling
P75736,Esterase ybfF OS=Escherichia coli (strain K12) GN=ybfF PE=1 SV=1,ybfF,R,General function prediction only,Poorly Characterized
P24252,Uncharacterized protein ybgA OS=Escherichia coli (strain K12) GN=ybgA PE=4 SV=1,ybgA,S,Function unknown,Poorly Characterized
P45955,Uncharacterized protein YbgF OS=Escherichia coli (strain K12) GN=ybgF PE=1 SV=2,ybgF,S,Function unknown,Poorly Characterized
P0AFP6,UPF0135 protein ybgI OS=Escherichia coli (strain K12) GN=ybgI PE=1 SV=1,ybgI,S,Function unknown,Poorly Characterized
P0AAV4,Uncharacterized protein ybgJ OS=Escherichia coli (strain K12) GN=ybgJ PE=4 SV=1,ybgJ,E,Amino acid transport and metabolism,Metabolism
P75745,Uncharacterized protein ybgK OS=Escherichia coli (strain K12) GN=ybgK PE=4 SV=1,ybgK,E,Amino acid transport and metabolism,Metabolism
P75746,UPF0271 protein ybgL OS=Escherichia coli (strain K12) GN=ybgL PE=1 SV=1,ybgL,R,General function prediction only,Poorly Characterized
P0AAV6,Uncharacterized protein ybgS OS=Escherichia coli (strain K12) GN=ybgS PE=4 SV=1,ybgS,Not Assigned,Not Assigned,Not Assigned
P21829,Phosphatase YbhA OS=Escherichia coli (strain K12) GN=ybhA PE=3 SV=3,ybhA,R,General function prediction only,Poorly Characterized
P12994,UPF0098 protein ybhB OS=Escherichia coli (strain K12) GN=ybhB PE=1 SV=2,ybhB,R,General function prediction only,Poorly Characterized
P46130,Putative acyl-CoA thioester hydrolase ybhC OS=Escherichia coli (strain K12) GN=ybhC PE=1 SV=2,ybhC,G,Carbohydrate transport and metabolism,Metabolism
P75777,UPF0194 membrane protein ybhG OS=Escherichia coli (strain K12) GN=ybhG PE=3 SV=1,ybhG,V,Defense mechanisms,Cellular Processes and Signaling
P75767,UPF0052 protein ybhK OS=Escherichia coli (strain K12) GN=ybhK PE=3 SV=1,ybhK,S,Function unknown,Poorly Characterized
P0AAC4,Inner membrane protein YbhL OS=Escherichia coli (strain K12) GN=ybhL PE=1 SV=1,ybhL,R,General function prediction only,Poorly Characterized
P0AAW1,Uncharacterized protein ybhP OS=Escherichia coli (strain K12) GN=ybhP PE=4 SV=1,ybhP,R,General function prediction only,Poorly Characterized
P30177,Uncharacterized protein ybiB OS=Escherichia coli (strain K12) GN=ybiB PE=3 SV=1,ybiB,E,Amino acid transport and metabolism,Metabolism
P30178,Uncharacterized oxidoreductase ybiC OS=Escherichia coli (strain K12) GN=ybiC PE=1 SV=2,ybiC,C,Energy production and conversion,Metabolism
P41039,Uncharacterized protein ybiI OS=Escherichia coli (strain K12) GN=ybiI PE=1 SV=1,ybiI,T,Signal transduction mechanisms,Cellular Processes and Signaling
P0AAX3,Uncharacterized protein YbiJ OS=Escherichia coli (strain K12) GN=ybiJ PE=3 SV=1,ybiJ,Not Assigned,Not Assigned,Not Assigned
P0AAX8,"Probable L,D-transpeptidase YbiS OS=Escherichia coli (strain K12) GN=ybiS PE=1 SV=1",ybiS,S,Function unknown,Poorly Characterized
P0A9U3,Uncharacterized ABC transporter ATP-binding protein YbiT OS=Escherichia coli (strain K12) GN=ybiT PE=1 SV=1,ybiT,R,General function prediction only,Poorly Characterized
P75791,Uncharacterized protein ybiU OS=Escherichia coli (strain K12) GN=ybiU PE=1 SV=1,ybiU,Not Assigned,Not Assigned,Not Assigned
P75792,Sugar phosphatase SupH OS=Escherichia coli (strain K12) GN=supH PE=1 SV=1,ybiV,R,General function prediction only,Poorly Characterized
P75779,PKHD-type hydroxylase ybiX OS=Escherichia coli (strain K12) GN=ybiX PE=3 SV=2,ybiX,S,Function unknown,Poorly Characterized
P75828,Uncharacterized protein ybjD OS=Escherichia coli (strain K12) GN=ybjD PE=4 SV=1,ybjD,L,"Replication, recombination and repair",Information Storage and Processing
P75809,Phosphatase YbjI OS=Escherichia coli (strain K12) GN=ybjI PE=1 SV=3,ybjI,R,General function prediction only,Poorly Characterized
P60869,Putative transport protein YbjL OS=Escherichia coli (strain K12) GN=ybjL PE=3 SV=1,ybjL,R,General function prediction only,Poorly Characterized
P0AAY6,Uncharacterized protein ybjN OS=Escherichia coli (strain K12) GN=ybjN PE=4 SV=1,ybjN,Not Assigned,Not Assigned,Not Assigned
