cofactor,cofactor_desc,cog_class,cog_class_letter,cog_desc,desc,gene,uniprot
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Capsular synthesis regulator component B ,rcsB,P69407
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Protein rcsF ,rcsF,P69411
None,No known associated cofactor,Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Sec-independent protein translocase protein tatC ,tatC,P69423
None,No known associated cofactor,Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Sec-independent protein translocase protein tatB ,tatB,P69425
None,No known associated cofactor,Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Sec-independent protein translocase protein tatA ,tatA,P69428
None,No known associated cofactor,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Adenylate kinase ,adk,P69441
Cu cation,Binds 1 copper ion per subunit,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Divalent-cation tolerance protein CutA ,cutA,P69488
None,No known associated cofactor,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Adenine phosphoribosyltransferase ,apt,P69503
None,No known associated cofactor,Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning","Cell cycle control, cell division, chromosome partitioning",Iron-sulfur cluster repair protein YtfE ,ytfE,P69506
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Ammonia channel ,amtB,P69681
[3Fe-4S] cluster,Binds 1 [3Fe-4S] cluster,Metabolism,Energy production and conversion,Energy production and conversion,Hydrogenase-1 small chain ,hyaA,P69739
[4Fe-4S] cluster,Binds 2 [4Fe-4S] clusters,Metabolism,Energy production and conversion,Energy production and conversion,Hydrogenase-1 small chain ,hyaA,P69739
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Major outer membrane lipoprotein Lpp ,lpp,P69776
Zn(2+),Binds 1 zinc ion per glycerol kinase EIIA-Glc dimer. The zinc ion is important for dimerization,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Glucose-specific phosphotransferase enzyme IIA component ,crr,P69783
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,PTS system glucose-specific EIICB component ,ptsG,P69786
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,"N,N'-diacetylchitobiose-specific phosphotransferase enzyme IIB component ",chbB,P69795
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,PTS system mannose-specific EIIAB component ,manX,P69797
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Mannose permease IIC component ,manY,P69801
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Mannose permease IID component ,manZ,P69805
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Multiphosphoryl transfer protein ,fruB,P69811
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Galactitol-specific phosphotransferase enzyme IIA component ,gatA,P69828
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Nitrogen regulatory protein ,ptsN,P69829
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Galactitol permease IIC component ,gatC,P69831
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Twin-arginine leader-binding protein dmsD ,dmsD,P69853
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Spermidine/putrescine import ATP-binding protein PotA ,potA,P69874
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Carbon storage regulator ,csrA,P69913
Fe cation,Binds 2 iron ions per subuni,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Ribonucleoside-diphosphate reductase 1 subunit beta ,nrdB,P69924
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Putative prophage CP4-6 integrase ,intF,P71298
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Uncharacterized protein yagE ,yagE,P75682
Zn(2+),Binds 2 Zn(2+) ions per subunit,Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized zinc-type alcohol dehydrogenase-like protein YahK ,yahK,P75691
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein YahO ,yahO,P75694
Mn(2+),Also able to use Co(2+)),Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized protein ylbA ,ylbA,P75713
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Esterase ybfF ,ybfF,P75736
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Uncharacterized protein ybgK ,ybgK,P75745
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,UPF0271 protein ybgL ,ybgL,P75746
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0052 protein ybhK ,ybhK,P75767
None,No known associated cofactor,Cellular Processes and Signaling,Defense mechanisms,Defense mechanisms,UPF0194 membrane protein ybhG ,ybhG,P75777
Fe(2+),Binds 1 Fe(2+) ion per subunit,Poorly Characterized,Function unknown,Function unknown,PKHD-type hydroxylase ybiX ,ybiX,P75779
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Catecholate siderophore receptor fiu ,fiu,P75780
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Ribosomal RNA large subunit methyltransferase F ,rlmF,P75782
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein ybiU ,ybiU,P75791
Mg(2+),"Magnesium. Can also use other divalent metal cations as manganese, cobalt or zinc",Poorly Characterized,General function prediction only,General function prediction only,Sugar phosphatase SupH ,ybiV,P75792
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Glutathione import ATP-binding protein GsiA ,gsiA,P75796
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Glutathione transport system permease protein gsiC ,gsiC,P75798
Ca(2+),Binds 2 calcium ions per monomer,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Soluble aldose sugar dehydrogenase yliI ,yliI,P75804
Mg(2+),"Magnesium. Can also use other divalent metal cations as manganese, cobalt or zinc",Poorly Characterized,General function prediction only,General function prediction only,Phosphatase YbjI ,ybjI,P75809
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized lipoprotein ybjP ,ybjP,P75818
Zn(2+),Binds 1 zinc ion per subunit,Cellular Processes and Signaling,Defense mechanisms,Defense mechanisms,N-acetylmuramoyl-L-alanine amidase AmiD ,amiD,P75820
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Uncharacterized protein ybjS ,ybjS,P75821
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Uncharacterized protein ybjT ,ybjT,P75822
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Uncharacterized protein ybjD ,ybjD,P75828
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Uncharacterized protein ybjX ,ybjX,P75829
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Macrolide-specific efflux protein macA ,macA,P75830
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0142 protein ycaO ,ycaO,P75838
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0702 transmembrane protein ycaP ,ycaP,P75839
Zn(2+),Binds 2 Zn(2+) ions per subunit,Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized protein ycbL ,ycbL,P75849
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized protein ycbX ,ycbX,P75863
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Ribosomal RNA large subunit methyltransferase L ,rlmL,P75864
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Putative Lon protease homolog ,ycbZ,P75867
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized protein yccU ,yccU,P75874
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Ribosomal RNA large subunit methyltransferase I ,rlmI,P75876
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,"Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase ",pgaB,P75906
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Glyoxylate/hydroxypyruvate reductase A ,ghrA,P75913
Zn(2+),Binds 3 Zn(2+) ions per subunit,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Putative hydrolase ycdX ,ycdX,P75914
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized protein ycdY ,ycdY,P75915
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Virulence factor mviM homolog ,yceM,P75931
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Uncharacterized HTH-type transcriptional regulator ycfQ ,comR,P75952
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,"Probable L,D-transpeptidase YcfS ",ycfS,P75954
None,No known associated cofactor,Cellular Processes and Signaling,Defense mechanisms,Defense mechanisms,Lipoprotein-releasing system ATP-binding protein LolD ,lolD,P75957
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Lipoprotein-releasing system transmembrane protein lolE ,lolE,P75958
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,N-acetyl-D-glucosamine kinase ,nagK,P75959
Zn(2+),Binds 1 zinc ion per subunit,Information Storage and Processing,Transcription,Transcription,NAD-dependent deacetylase ,cobB,P75960
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Putative lambdoid prophage e14 repressor protein C2 ,cohE,P75974
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,HTH-type transcriptional repressor YcgE ,ycgE,P75989
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein ycgJ ,ycgJ,P76001
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein ycgK ,pliG,P76002
None,No known associated cofactor,Metabolism,"Secondary metabolites biosynthesis, transport and catabolism","Secondary metabolites biosynthesis, transport and catabolism",Uncharacterized protein ycgM ,ycgM,P76004
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Cell volume regulation protein A ,cvrA,P76007
None,No known associated cofactor,Cellular Processes and Signaling,Defense mechanisms,Defense mechanisms,Murein tetrapeptide carboxypeptidase ,ldcA,P76008
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,"PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit dhaK ",dhaK,P76015
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Oligopeptide transport ATP-binding protein OppD ,oppD,P76027
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Uncharacterized HTH-type transcriptional regulator yciT ,yciT,P76034
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Uncharacterized protein yciW ,yciW,P76035
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized protein ycjX ,ycjX,P76046
[4Fe-4S] cluster,"Binds 1 [4Fe-4S] cluster per subunit. The cluster is chelated by three Cys residues, the fourth Fe has a free coordination site that may bind a sulfur atom transferred from the persulfide of IscS. The [4Fe-4S] cluster is highly sensitive to oxygen and prone to decompose into the [2Fe-2S] form and further degraded forms",Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning","Cell cycle control, cell division, chromosome partitioning",tRNA 2-thiocytidine biosynthesis protein TtcA ,ttcA,P76055
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Rac prophage repressor ,racR,P76062
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Uncharacterized protein ydbL ,ydbL,P76076
None,No known associated cofactor,Metabolism,"Secondary metabolites biosynthesis, transport and catabolism","Secondary metabolites biosynthesis, transport and catabolism",Phenylacetic acid degradation protein paaB ,paaB,P76078
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Phenylacetic acid degradation protein paaC ,paaC,P76079
[2Fe-2S] cluster,Binds 1 [2Fe-2S] cluster,Metabolism,Energy production and conversion,Energy production and conversion,Probable phenylacetic acid degradation NADH oxidoreductase paaE ,paaE,P76081
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Phenylacetate-coenzyme A ligase ,paaK,P76085
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Phenylacetic acid degradation operon negative regulatory protein paaX ,paaX,P76086
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Uncharacterized protein ydcJ ,ydcJ,P76097
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Putative ABC transporter periplasmic-binding protein ydcS ,ydcS,P76108
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Uncharacterized N-acetyltransferase YncA ,mnaT,P76112
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Putative NADP-dependent oxidoreductase yncB ,curA,P76113
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Probable tonB-dependent receptor yncD ,yncD,P76115
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Uncharacterized protein YncE ,yncE,P76116
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,"Probable D,D-dipeptide-binding periplasmic protein ddpA ",ddpA,P76128
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Autoinducer 2-binding protein lsrB ,lsrB,P76142
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Uncharacterized aldolase lsrF ,lsrF,P76143
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Trans-aconitate 2-methyltransferase ,tam,P76145
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,Aldehyde dehydrogenase-like protein yneI ,sad,P76149
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein ydfW in Qin prophage region ,ydfW,P76164
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,UPF0482 protein ynfB ,ynfB,P76170
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein ynfD ,ynfD,P76172
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Protein ydgH ,ydgH,P76177
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Oxidoreductase YdhF ,ydhF,P76187
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,"Probable L,D-transpeptidase YnhG ",ynhG,P76193
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Cysteine desulfuration protein sufE ,sufE,P76194
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,N-succinylglutamate 5-semialdehyde dehydrogenase ,astD,P76217
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein ydjY ,ydjY,P76220
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Protein ynjB ,ynjB,P76223
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Uncharacterized protein yeaC ,yeaC,P76231
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0229 protein yeaH ,yeaH,P76235
Mg(2+),Binds 1 Mg(2+) ion per monomer,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Putative diguanylate cylase YeaJ ,yeaJ,P76237
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Uncharacterized protein yeaO ,yeaO,P76243
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",M22 peptidase homolog yeaZ ,tsaB,P76256
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Transcriptional regulator kdgR ,kdgR,P76268
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Protein yebR ,msrC,P76270
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized protein yebT ,yebT,P76272
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Ribosomal RNA small subunit methyltransferase F ,rsmF,P76273
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,tRNA (cmo5U34)-methyltransferase ,cmoA,P76290
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,tRNA (mo5U34)-methyltransferase ,cmoB,P76291
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Uncharacterized protein yedK ,yedK,P76318
Mg(2+),Binds 1 Mg(2+) ion per monomer,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Probable diguanylate cyclase YedQ ,yedQ,P76330
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Putative sensor-like histidine kinase yedV ,yedV,P76339
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,5-hydroxyisourate hydrolase ,hiuH,P76341
Mo-molybdopterin,Binds 1 Mo-molybdopterin (Mo-MPT) cofactor per subunit. The oxidation state of Mo is +5. Is inactive in the presence of the tungsten-substituted form (W-MPT) of the cofactor,Poorly Characterized,General function prediction only,General function prediction only,Sulfoxide reductase catalytic subunit yedY ,yedY,P76342
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Metal-binding protein ZinT ,zinT,P76344
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Protein mtfA ,mtfA,P76346
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Shikimate transporter ,shiA,P76350
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Chain length determinant protein ,wzzB,P76372
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Tyrosine-protein kinase wzc ,wzc,P76387
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,UPF0053 protein yegH ,yegH,P76389
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Multidrug resistance protein mdtA ,mdtA,P76397
None,No known associated cofactor,Cellular Processes and Signaling,Defense mechanisms,Defense mechanisms,Multidrug resistance protein MdtB ,mdtB,P76398
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0339 protein yegP ,yegP,P76402
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Uncharacterized protease yegQ ,yegQ,P76403
Mg(2+),Binds 1 Mg(2+) ion per subunit. Ca(2+) may be able to substitute,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Lipid kinase YegS ,yegS,P76407
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Uncharacterized oxidoreductase yeiT ,preT,P76440
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Inner membrane protein yeiU ,yeiU,P76445
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Protein Rtn ,rtn,P76446
Co(2+),"A divalent metal cation. Highest activity with Co(2+), followed by Mn(2+) and Cu(2+)",Poorly Characterized,General function prediction only,General function prediction only,5'-nucleotidase yfbR ,yfbR,P76491
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Phosphohistidine phosphatase sixA ,sixA,P76502
None,No known associated cofactor,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,3-ketoacyl-CoA thiolase ,fadI,P76503
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Probable phospholipid-binding lipoprotein mlaA ,mlaA,P76506
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein yfdI ,yfdI,P76507
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,N-acetylmuramic acid 6-phosphate etherase ,murQ,P76535
heme b,Binds 1 heme b (iron(II)-protoporphyrin IX) group non-covalently,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Uncharacterized protein yfeX ,yfeX,P76536
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein yfeY ,yfeY,P76537
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Acetyltransferase YpeA ,ypeA,P76539
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Ethanolamine utilization protein EutL ,eutL,P76541
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein yffS ,yffS,P76550
Mg(2+),Divalent metal cations. Prefers magnesium or manganese,Metabolism,Energy production and conversion,Energy production and conversion,NADP-dependent malic enzyme ,maeB,P76558
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Esterase YpfH ,ypfH,P76561
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Uncharacterized protein YfgD ,yfgD,P76569
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein yfgJ ,yfgJ,P76575
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0070 protein yfgM ,yfgM,P76576
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized lipoprotein yfhM ,yfhM,P76578
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,Uncharacterized protein yfiQ ,yfiQ,P76594
Fe(2+),Binds 1 Fe(2+) ion per subunit,Not Assigned,Not Assigned,Not Assigned,Protein CsiD ,csiD,P76621
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Bifunctional protein hldE ,hldE,P76658
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Uncharacterized protein ydhS ,ydhS,P77148
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Uncharacterized HTH-type transcriptional regulator ydcI ,ydcI,P77171
None,No known associated cofactor,Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning","Cell cycle control, cell division, chromosome partitioning",Cell division protein ZipA ,zipA,P77173
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Phenylacetic acid degradation protein paaY ,paaY,P77181
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Thiol:disulfide interchange protein DsbG ,dsbG,P77202
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Cation efflux system protein CusC ,cusC,P77211
FAD,Binds 1 FAD per subunit,Metabolism,Energy production and conversion,Energy production and conversion,Probable pyridine nucleotide-disulfide oxidoreductase ykgC ,rclA,P77212
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Carboxylate-amine ligase YbdK ,ybdK,P77213
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Cation efflux system protein CusF ,cusF,P77214
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Cation efflux system protein CusB ,cusB,P77239
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,2-methylcitrate dehydratase ,prpD,P77243
Mg(2+),"Requires the presence of a divalent metal cation for activity. Can use zinc, manganese, cobalt or magnesium",Poorly Characterized,General function prediction only,General function prediction only,Phosphatase YniC ,yniC,P77247
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,Uncharacterized protein ykgE ,ykgE,P77252
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Autoinducer 2 import ATP-binding protein LsrA ,lsrA,P77257
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized ABC transporter ATP-binding protein YbbL ,fetA,P77279
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Bactoprenol glucosyl transferase homolog from prophage CPS-53 ,yfdH,P77293
Mg(2+),Binds 1 Mg(2+) ion per monomer,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Probable diguanylate cyclase YdaM ,ydaM,P77302
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Dipeptide and tripeptide permease A ,dtpA,P77304
Ca(2+),Binds 1 Ca(2+) ion per subunit,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Uncharacterized sulfatase ydeN ,ydeN,P77318
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Lipoprotein bor homolog from lambdoid prophage DLP12 ,borD,P77330
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Potassium efflux system KefA ,mscK,P77338
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Periplasmic murein peptide-binding protein ,mppA,P77348
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized oxidoreductase ydgJ ,ydgJ,P77376
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Uncharacterized protein ybbN ,ybbN,P77395
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Bifunctional polymyxin resistance protein ArnA ,arnA,P77398
None,No known associated cofactor,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Fatty acid oxidation complex subunit alpha ,fadJ,P77399
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Autoinducer 2 kinase LsrK ,lsrK,P77432
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Uncharacterized protein ykgG ,ykgG,P77433
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Glutaminase 1 ,glsA,P77454
Mg(2+),"Magnesium. Can also use other divalent metal cations as manganese, cobalt or zinc",Poorly Characterized,General function prediction only,General function prediction only,Phosphatase YqaB ,yqaB,P77475
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Sensor kinase CusS ,cusS,P77485
Mg(2+),Binds 1 Mg(2+) ion per subunit,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,1-deoxy-D-xylulose-5-phosphate synthase ,dxs,P77488
