annotation,cog_category,cog_class,cog_id,cog_letter,gene_name,uniprot,go_ids,refseq_id,uniprot_kw_ids,mass_da
Antitoxin of toxin-antitoxin stability system,Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning",COG2161,D,yafN,Q47156,GO:0006974; GO:0009432; GO:0006281; GO:0003677; GO:0006355; GO:0044092,YP_003043454.1,KW-0227; KW-0234; KW-0238; KW-0678; KW-0742; KW-0804; KW-0805; KW-1185; KW-1277,11234.0
Antitoxin of toxin-antitoxin stability system,Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning",COG2161,D,yefM,P69346,GO:0044010; GO:0003677; GO:0043565; GO:0045892; GO:0015643,,KW-0002; KW-0238; KW-0678; KW-0804; KW-0805; KW-1185; KW-1277,9308.0
Arylamine N-acetyltransferase,Metabolism,"Secondary metabolites biosynthesis, transport and catabolism",COG2162,Q,nhoA,P77567,GO:0008080; GO:0005737; GO:0004060; GO:0016407; GO:0016740; GO:0016746; GO:0046990,YP_003044630.1,KW-0007; KW-0012; KW-0808; KW-0963; KW-1185,32275.0
"Type II secretory pathway, pseudopilin PulG",Cellular Processes and Signaling,Cell motility,COG2165,N,gspI,P45760,GO:0005887; GO:0015628; GO:0015627; GO:0015031,YP_003046366.1,KW-0488; KW-0653; KW-0813; KW-1185,13901.0
"Type II secretory pathway, pseudopilin PulG",Cellular Processes and Signaling,Cell motility,COG2165,N,ppdA,P33554,GO:0005887,YP_003045862.1,KW-0488; KW-1185,17865.0
"Type II secretory pathway, pseudopilin PulG",Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport",COG2165,U,gspI,P45760,GO:0005887; GO:0015628; GO:0015627; GO:0015031,YP_003046366.1,KW-0488; KW-0653; KW-0813; KW-1185,13901.0
"Type II secretory pathway, pseudopilin PulG",Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport",COG2165,U,ppdA,P33554,GO:0005887,YP_003045862.1,KW-0488; KW-1185,17865.0
Adenosine deaminase,Metabolism,Nucleotide transport and metabolism,COG2169,F,ada,P06134,GO:0008270; GO:0003908; GO:0080111; GO:0006307; GO:0018125; GO:0045893; GO:0045892; GO:0005515; GO:0016740; GO:0008168; GO:0008152; GO:0046872; GO:0043565; GO:0003700; GO:0006355; GO:0032259; GO:0006974; GO:0003824; GO:0003677; GO:0006281,YP_003045333.1,KW-0002; KW-0010; KW-0227; KW-0234; KW-0238; KW-0479; KW-0489; KW-0511; KW-0804; KW-0805; KW-0808; KW-0862; KW-0903; KW-1185,39324.0
Uncharacterized conserved protein,Poorly Characterized,Function unknown,COG2170,S,ybdK,P77213,GO:0003824; GO:0042398; GO:0016874; GO:0000166; GO:0004357; GO:0016879; GO:0005524,YP_003043765.1,KW-0002; KW-0067; KW-0436; KW-0547; KW-1185,41688.0
Tetrahydrodipicolinate N-succinyltransferase,Metabolism,Amino acid transport and metabolism,COG2171,E,dapD,P0A9D8,GO:0005829; GO:0016746; GO:0016740; GO:0008652; GO:0009089; GO:0019877; GO:0009085; GO:0008666; GO:0005737,YP_003043393.1,KW-0012; KW-0028; KW-0220; KW-0457; KW-0677; KW-0808; KW-0903; KW-0963; KW-1185,29892.0
D-alanyl-D-alanine dipeptidase,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,COG2173,M,ddpX,P77790,GO:0008270; GO:0071555; GO:0046872; GO:0005737; GO:0016787; GO:0008237; GO:0008233; GO:0016805; GO:0009046; GO:0042594; GO:0006508,YP_003044654.1,KW-0224; KW-0378; KW-0479; KW-0482; KW-0645; KW-0862; KW-0961; KW-0963; KW-1185,21213.0
Probable taurine catabolism dioxygenase,Metabolism,"Secondary metabolites biosynthesis, transport and catabolism",COG2175,Q,tauD,P37610,GO:0005737; GO:0000908; GO:0006790; GO:0008198; GO:0051289; GO:0051213; GO:0016491; GO:0046872; GO:0055114; GO:0031418; GO:0000907; GO:0044273,YP_003043545.1,KW-0002; KW-0223; KW-0379; KW-0408; KW-0479; KW-0560; KW-0847; KW-0903; KW-1185,32410.0
Cell division protein,Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning",COG2177,D,ftsX,P0AC30,GO:0016021; GO:0051301; GO:0032153; GO:0016020; GO:0009276; GO:0005515; GO:0005886,YP_003046494.1,KW-0131; KW-0132; KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185,38544.0
Nitrate reductase delta subunit,Metabolism,Energy production and conversion,COG2180,C,narJ,P0AF26,GO:0051082; GO:0042128; GO:0016530; GO:0005737; GO:0005515; GO:0051131,YP_003044419.1,KW-0143; KW-0534; KW-0963; KW-1185,26449.0
Nitrate reductase delta subunit,Metabolism,Energy production and conversion,COG2180,C,narW,P19317,GO:0005515; GO:0051131; GO:0051082; GO:0042128; GO:0005737; GO:0016530,YP_003044632.1,KW-0143; KW-0534; KW-0963; KW-1185,26161.0
Nitrate reductase gamma subunit,Metabolism,Energy production and conversion,COG2181,C,narI,P11350,GO:0005887; GO:0044799; GO:0020037; GO:0055114; GO:0046872; GO:0016020; GO:0009325; GO:0042128; GO:0016021; GO:0016491; GO:0005886; GO:0008940; GO:0009061; GO:0009055; GO:0019645,YP_003044420.1,KW-0002; KW-0249; KW-0291; KW-0349; KW-0408; KW-0472; KW-0479; KW-0534; KW-0560; KW-0812; KW-0813; KW-0903; KW-0997; KW-1003; KW-1133; KW-1185,25497.0
Nitrate reductase gamma subunit,Metabolism,Energy production and conversion,COG2181,C,narV,P0AF32,GO:0019645; GO:0009061; GO:0020037; GO:0055114; GO:0009325; GO:0042128; GO:0016020; GO:0016491; GO:0046872; GO:0005886; GO:0016021; GO:0008940; GO:0009055,YP_003044631.1,KW-0249; KW-0349; KW-0408; KW-0472; KW-0479; KW-0534; KW-0560; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185,26018.0
Maltose-binding periplasmic proteins/domains,Metabolism,Carbohydrate transport and metabolism,COG2182,G,malE,P0AEX9,GO:0006974; GO:0015768; GO:0042597; GO:0006810; GO:0008643; GO:0005215; GO:0055052; GO:0043190; GO:0055085; GO:0034219; GO:0015144; GO:1901982; GO:0060326; GO:0034289; GO:0030288; GO:0005515; GO:0042956,YP_003047078.1,KW-0002; KW-0574; KW-0732; KW-0762; KW-0813; KW-0903; KW-1185,43388.0
Transcriptional accessory protein,Information Storage and Processing,Transcription,COG2183,K,yhgF,P46837,GO:0010212; GO:0005829; GO:0003676; GO:0006139; GO:0003723; GO:0003729; GO:0003735; GO:0006412,YP_003046443.1,KW-0694; KW-1185,85120.0
Protein involved in cell division,Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning",COG2184,D,fic,P20605,GO:0005515; GO:0051302; GO:0005524; GO:0000166; GO:0016779; GO:0016740,YP_003046397.1,KW-0002; KW-0067; KW-0547; KW-0548; KW-0808; KW-1185,22960.0
Transcriptional regulators,Information Storage and Processing,Transcription,COG2186,K,exuR,P0ACL2,GO:0006355; GO:0003700; GO:0045892; GO:0003677,YP_003046148.1,KW-0238; KW-0678; KW-0804; KW-0805; KW-1185,29836.0
Transcriptional regulators,Information Storage and Processing,Transcription,COG2186,K,fadR,P0A8V6,GO:0045723; GO:0006631; GO:0006629; GO:0019217; GO:0000062; GO:0005829; GO:0019395; GO:0045892; GO:0045893; GO:0006355; GO:0003700; GO:0003677; GO:0005737,YP_003044377.1,KW-0002; KW-0010; KW-0238; KW-0276; KW-0443; KW-0678; KW-0804; KW-0805; KW-0903; KW-0963; KW-1185,26969.0
Transcriptional regulators,Information Storage and Processing,Transcription,COG2186,K,glcC,P0ACL5,GO:0005515; GO:0003700; GO:0006355; GO:0003677,YP_003046035.1,KW-0010; KW-0238; KW-0804; KW-0805; KW-1185,28826.0
Transcriptional regulators,Information Storage and Processing,Transcription,COG2186,K,lldR,P0ACL7,GO:0006974; GO:0006355; GO:0003677; GO:0003700; GO:0042710; GO:0043565,YP_003046642.1,KW-0238; KW-0804; KW-0805; KW-1185,29166.0
Transcriptional regulators,Information Storage and Processing,Transcription,COG2186,K,nanR,P0A8W0,GO:0045892; GO:0003700; GO:0006355; GO:0003677; GO:0006351,YP_003046271.1,KW-0238; KW-0678; KW-0804; KW-0805; KW-1185,29524.0
Transcriptional regulators,Information Storage and Processing,Transcription,COG2186,K,pdhR,P0ACL9,GO:0043565; GO:0032993; GO:0006355; GO:0003677; GO:0045892; GO:0045893; GO:0003700,YP_003043341.1,KW-0002; KW-0238; KW-0678; KW-0804; KW-0805; KW-1185,29425.0
Transcriptional regulators,Information Storage and Processing,Transcription,COG2188,K,phnF,P16684,GO:0006355; GO:0015716; GO:0003700; GO:0003677,YP_003047145.1,KW-0002; KW-0019; KW-0238; KW-0804; KW-0805; KW-1185,27621.0
Transcriptional regulators,Information Storage and Processing,Transcription,COG2188,K,yegW,P0ACM5,GO:0003700; GO:0006355; GO:0003677; GO:0045892,YP_003045222.1,KW-0238; KW-0804; KW-0805; KW-1185,28277.0
Transcriptional regulators,Information Storage and Processing,Transcription,COG2188,K,yidP,P31453,GO:0003700; GO:0006355; GO:0003677; GO:0006351; GO:0045892,,KW-0238; KW-0804; KW-0805; KW-1185,27328.0
Transcriptional regulators,Information Storage and Processing,Transcription,COG2188,K,yihL,P0ACM9,GO:0003700; GO:0006355; GO:0003677; GO:0006351; GO:0045892,YP_003046931.1,KW-0238; KW-0804; KW-0805; KW-1185,26939.0
Phosphotransferase system IIA components,Metabolism,Carbohydrate transport and metabolism,COG2190,G,bglF,P08722,GO:0016310; GO:0016301; GO:0005886; GO:0016740; GO:0016021; GO:0016020; GO:0008982; GO:0008643; GO:0009401; GO:0034219; GO:0090563,YP_003046782.1,KW-0418; KW-0472; KW-0598; KW-0762; KW-0808; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185,66483.0
Phosphotransferase system IIA components,Metabolism,Carbohydrate transport and metabolism,COG2190,G,crr,P69783,GO:0005515; GO:0043610; GO:0045912; GO:0005737; GO:0031234; GO:0016310; GO:0005829; GO:0046872; GO:0016740; GO:0016301; GO:0008643; GO:0009401,YP_003045508.1,KW-0002; KW-0418; KW-0479; KW-0597; KW-0598; KW-0762; KW-0808; KW-0813; KW-0862; KW-0903; KW-0963; KW-1185,18251.0
Phosphotransferase system IIA components,Metabolism,Carbohydrate transport and metabolism,COG2190,G,nagE,P09323,GO:0006974; GO:0046872; GO:0034219; GO:0090587; GO:0090586; GO:0019866; GO:0008643; GO:0015764; GO:0005887; GO:0009254; GO:0015572; GO:0016310; GO:0016301; GO:0005886; GO:0016740; GO:0016021; GO:0016020; GO:0008982; GO:0009401; GO:0090563,YP_003043855.1,KW-0418; KW-0472; KW-0479; KW-0597; KW-0598; KW-0762; KW-0808; KW-0812; KW-0813; KW-0862; KW-0997; KW-1003; KW-1133; KW-1185,68347.0
Bacterioferritin (cytochrome b1),Metabolism,Inorganic ion transport and metabolism,COG2193,P,bfr,P0ABD3,GO:0016491; GO:0005515; GO:0020037; GO:0042802; GO:0046872; GO:0006879; GO:0008199; GO:0006826; GO:0055114; GO:0005506; GO:0006880; GO:0004322; GO:0005829,YP_003046372.1,KW-0002; KW-0349; KW-0408; KW-0409; KW-0479; KW-0560; KW-0903; KW-1185,18495.0
"Predicted membrane-associated, metal-dependent hydrolase",Poorly Characterized,General function prediction only,COG2194,R,yhbX,P42640,GO:0016772; GO:0008484; GO:0003824; GO:0016740; GO:0005886; GO:0016021; GO:0016020; GO:0016776; GO:0009244,YP_003046224.1,KW-0472; KW-0808; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185,60753.0
"Predicted membrane-associated, metal-dependent hydrolase",Poorly Characterized,General function prediction only,COG2194,R,yjgX,P39349,GO:0009244; GO:0016776; GO:0005886,,KW-0472; KW-0808; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185,13956.0
Di- and tripeptidases,Metabolism,Amino acid transport and metabolism,COG2195,E,pepD,P15288,GO:0043171; GO:0005515; GO:0103046; GO:0102008; GO:0070573; GO:0008270; GO:0005829; GO:0046872; GO:0016805; GO:0016787; GO:0008237; GO:0008233; GO:0006508,YP_003043459.1,KW-0007; KW-0170; KW-0224; KW-0378; KW-0479; KW-0482; KW-0645; KW-0862; KW-0903; KW-1185,52915.0
Di- and tripeptidases,Metabolism,Amino acid transport and metabolism,COG2195,E,pepT,P29745,GO:0043171; GO:0005829; GO:0005515; GO:0016787; GO:0008233; GO:0004177; GO:0008270; GO:0046872; GO:0008237; GO:0006518; GO:0005737; GO:0045148; GO:0006508,YP_003044342.1,KW-0002; KW-0031; KW-0378; KW-0479; KW-0482; KW-0645; KW-0862; KW-0963; KW-1185,44923.0
Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain,Cellular Processes and Signaling,Signal transduction mechanisms,COG2197,T,bglJ,P39404,GO:0009314; GO:0006355; GO:0005515; GO:0003677; GO:0045893; GO:0003700,YP_003047403.1,KW-0010; KW-0238; KW-0804; KW-0805; KW-1185,25622.0
Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain,Cellular Processes and Signaling,Signal transduction mechanisms,COG2197,T,evgA,P0ACZ4,GO:0005515; GO:0003677; GO:0005829; GO:0043565; GO:0006355; GO:0005737; GO:0000160,YP_003045470.1,KW-0002; KW-0010; KW-0238; KW-0597; KW-0804; KW-0805; KW-0902; KW-0963; KW-1185,22690.0
Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain,Cellular Processes and Signaling,Signal transduction mechanisms,COG2197,T,fimZ,P0AEL8,GO:0006355; GO:0005737; GO:0003677; GO:0000160,YP_003043711.1,KW-0238; KW-0597; KW-0804; KW-0805; KW-0902; KW-0963; KW-1185,23664.0
Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain,Cellular Processes and Signaling,Signal transduction mechanisms,COG2197,T,narL,P0AF28,GO:0005515; GO:0045892; GO:0032993; GO:0001217; GO:0000976; GO:0042128; GO:0005829; GO:0006355; GO:0005524; GO:0003677; GO:0000166; GO:0000160; GO:0010468; GO:0090352,YP_003044414.1,KW-0002; KW-0010; KW-0067; KW-0238; KW-0534; KW-0547; KW-0597; KW-0678; KW-0804; KW-0805; KW-0902; KW-1185,23927.0
Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain,Cellular Processes and Signaling,Signal transduction mechanisms,COG2197,T,narP,P31802,GO:0042128; GO:0006355; GO:0005524; GO:0003677; GO:0000166; GO:0000160,YP_003045313.1,KW-0010; KW-0067; KW-0238; KW-0534; KW-0547; KW-0597; KW-0678; KW-0804; KW-0805; KW-0902; KW-1185,23575.0
Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain,Cellular Processes and Signaling,Signal transduction mechanisms,COG2197,T,rcsB,P0DMC7,GO:0046677; GO:0044011; GO:0031346; GO:0005515; GO:0045893; GO:0045892; GO:0001216; GO:0001217; GO:0006355; GO:0003677; GO:0000160; GO:0005829; GO:0006351,,KW-0002; KW-0010; KW-0238; KW-0597; KW-0804; KW-0805; KW-0902; KW-0972; KW-1185,23671.0
Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain,Cellular Processes and Signaling,Signal transduction mechanisms,COG2197,T,uhpA,P0AGA6,GO:0006355; GO:0005737; GO:0003677; GO:0000160,YP_003046730.1,KW-0010; KW-0238; KW-0597; KW-0804; KW-0805; KW-0902; KW-0903; KW-0963; KW-1185,20889.0
Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain,Information Storage and Processing,Transcription,COG2197,K,bglJ,P39404,GO:0009314; GO:0006355; GO:0005515; GO:0003677; GO:0045893; GO:0003700,YP_003047403.1,KW-0010; KW-0238; KW-0804; KW-0805; KW-1185,25622.0
Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain,Information Storage and Processing,Transcription,COG2197,K,evgA,P0ACZ4,GO:0005515; GO:0003677; GO:0005829; GO:0043565; GO:0006355; GO:0005737; GO:0000160,YP_003045470.1,KW-0002; KW-0010; KW-0238; KW-0597; KW-0804; KW-0805; KW-0902; KW-0963; KW-1185,22690.0
Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain,Information Storage and Processing,Transcription,COG2197,K,fimZ,P0AEL8,GO:0006355; GO:0005737; GO:0003677; GO:0000160,YP_003043711.1,KW-0238; KW-0597; KW-0804; KW-0805; KW-0902; KW-0963; KW-1185,23664.0
Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain,Information Storage and Processing,Transcription,COG2197,K,narL,P0AF28,GO:0005515; GO:0045892; GO:0032993; GO:0001217; GO:0000976; GO:0042128; GO:0005829; GO:0006355; GO:0005524; GO:0003677; GO:0000166; GO:0000160; GO:0010468; GO:0090352,YP_003044414.1,KW-0002; KW-0010; KW-0067; KW-0238; KW-0534; KW-0547; KW-0597; KW-0678; KW-0804; KW-0805; KW-0902; KW-1185,23927.0
Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain,Information Storage and Processing,Transcription,COG2197,K,narP,P31802,GO:0042128; GO:0006355; GO:0005524; GO:0003677; GO:0000166; GO:0000160,YP_003045313.1,KW-0010; KW-0067; KW-0238; KW-0534; KW-0547; KW-0597; KW-0678; KW-0804; KW-0805; KW-0902; KW-1185,23575.0
Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain,Information Storage and Processing,Transcription,COG2197,K,rcsB,P0DMC7,GO:0046677; GO:0044011; GO:0031346; GO:0005515; GO:0045893; GO:0045892; GO:0001216; GO:0001217; GO:0006355; GO:0003677; GO:0000160; GO:0005829; GO:0006351,,KW-0002; KW-0010; KW-0238; KW-0597; KW-0804; KW-0805; KW-0902; KW-0972; KW-1185,23671.0
Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain,Information Storage and Processing,Transcription,COG2197,K,uhpA,P0AGA6,GO:0006355; GO:0005737; GO:0003677; GO:0000160,YP_003046730.1,KW-0010; KW-0238; KW-0597; KW-0804; KW-0805; KW-0902; KW-0903; KW-0963; KW-1185,20889.0
FOG: HPt domain,Cellular Processes and Signaling,Signal transduction mechanisms,COG2198,T,arcB,P0AEC3,GO:0000160; GO:0023014; GO:0018106; GO:0016772; GO:0016740; GO:0016310; GO:0016301; GO:0016020; GO:0007165; GO:0004673; GO:0006355; GO:0009927; GO:0046777; GO:0000166; GO:0005886; GO:0016021; GO:0005524; GO:0000155,YP_003046260.1,KW-0002; KW-0067; KW-0418; KW-0472; KW-0547; KW-0597; KW-0804; KW-0805; KW-0808; KW-0812; KW-0902; KW-0997; KW-1003; KW-1133; KW-1185,87983.0
FOG: HPt domain,Cellular Processes and Signaling,Signal transduction mechanisms,COG2198,T,barA,P0AEC5,GO:0009927; GO:0046777; GO:0006468; GO:0042542; GO:0005515; GO:0023014; GO:0018106; GO:0016772; GO:0016740; GO:0016310; GO:0016301; GO:0007165; GO:0004673; GO:0071310; GO:0016868; GO:0005887; GO:0000166; GO:0005886; GO:0016021; GO:0016020; GO:0005524; GO:0000160; GO:0000155,YP_003045820.1,KW-0067; KW-0418; KW-0472; KW-0547; KW-0597; KW-0804; KW-0805; KW-0808; KW-0812; KW-0902; KW-0997; KW-1003; KW-1133; KW-1185,102453.0
FOG: HPt domain,Cellular Processes and Signaling,Signal transduction mechanisms,COG2198,T,evgS,P30855,GO:0007165; GO:0023014; GO:0018106; GO:0010447; GO:0010038; GO:0016772; GO:0016740; GO:0016310; GO:0016301; GO:0004673; GO:0000166; GO:0046777; GO:0009927; GO:0005886; GO:0016021; GO:0016020; GO:0005524; GO:0000160; GO:0000155,YP_003045471.1,KW-0067; KW-0418; KW-0472; KW-0547; KW-0597; KW-0732; KW-0808; KW-0812; KW-0902; KW-0997; KW-1003; KW-1133; KW-1185,134743.0
FOG: HPt domain,Cellular Processes and Signaling,Signal transduction mechanisms,COG2198,T,torS,P39453,GO:0005515; GO:0042802; GO:0006470; GO:0023014; GO:0018106; GO:0016740; GO:0016310; GO:0016301; GO:0007165; GO:0004673; GO:0046777; GO:0071310; GO:0009061; GO:0004721; GO:0005887; GO:0000166; GO:0005886; GO:0016772; GO:0016021; GO:0016020; GO:0005524; GO:0000160; GO:0000155,YP_003044214.1,KW-0002; KW-0067; KW-0418; KW-0472; KW-0547; KW-0597; KW-0808; KW-0812; KW-0902; KW-0997; KW-1003; KW-1133; KW-1185,101024.0
FOG: EAL domain,Cellular Processes and Signaling,Signal transduction mechanisms,COG2200,T,ydiV,P76204,GO:1902201; GO:2000678; GO:0043433; GO:0008134,YP_003044875.1,KW-0002; KW-0678; KW-0804; KW-0805; KW-1185,27046.0
Chemotaxis response regulator containing a CheY-like receiver domain and a methylesterase domain,Cellular Processes and Signaling,Cell motility,COG2201,N,cheB,P07330,GO:0006935; GO:0007165; GO:1990827; GO:0018277; GO:0023014; GO:0050568; GO:0005515; GO:0006482; GO:0005886; GO:0000160; GO:0000156; GO:0005829; GO:0016787; GO:0005737; GO:0008984,YP_003045051.1,KW-0145; KW-0378; KW-0597; KW-0963; KW-1185,37468.0
Chemotaxis response regulator containing a CheY-like receiver domain and a methylesterase domain,Cellular Processes and Signaling,Signal transduction mechanisms,COG2201,T,cheB,P07330,GO:0006935; GO:0007165; GO:1990827; GO:0018277; GO:0023014; GO:0050568; GO:0005515; GO:0006482; GO:0005886; GO:0000160; GO:0000156; GO:0005829; GO:0016787; GO:0005737; GO:0008984,YP_003045051.1,KW-0145; KW-0378; KW-0597; KW-0963; KW-1185,37468.0
FOG: PAS/PAC domain,Cellular Processes and Signaling,Signal transduction mechanisms,COG2202,T,aer,P50466,GO:0004888; GO:0006935; GO:0042802; GO:0052131; GO:0005886; GO:0016021; GO:0016020; GO:0007165; GO:0005887,YP_003046126.1,KW-0145; KW-0274; KW-0285; KW-0472; KW-0488; KW-0807; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185,55066.0
FOG: PAS/PAC domain,Cellular Processes and Signaling,Signal transduction mechanisms,COG2202,T,atoS,Q06067,GO:0000160; GO:0023014; GO:0018106; GO:0016772; GO:0016740; GO:0016310; GO:0016301; GO:0007165; GO:0004673; GO:0000166; GO:0006355; GO:0046777; GO:0005886; GO:0016021; GO:0016020; GO:0005524; GO:0000155,YP_003045339.1,KW-0067; KW-0418; KW-0472; KW-0547; KW-0597; KW-0808; KW-0812; KW-0902; KW-0997; KW-1003; KW-1133; KW-1185,67790.0
"Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains",Cellular Processes and Signaling,Signal transduction mechanisms,COG2204,T,atoC,Q06065,GO:0043086; GO:0006355; GO:0043565; GO:0008134; GO:0003677; GO:0045893; GO:0005737; GO:0005524; GO:0003700; GO:0000166; GO:0000160; GO:0010967; GO:0008073,YP_003045340.1,KW-0010; KW-0067; KW-0238; KW-0547; KW-0597; KW-0804; KW-0805; KW-0902; KW-0963; KW-1185,52176.0
"Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains",Cellular Processes and Signaling,Signal transduction mechanisms,COG2204,T,glnG,P0AFB8,GO:0005737; GO:0005515; GO:0043565; GO:0006808; GO:0008134; GO:0000156; GO:0006355; GO:0005829; GO:0009399; GO:0005524; GO:0003677; GO:0000166; GO:0000160,YP_003046927.1,KW-0010; KW-0067; KW-0238; KW-0535; KW-0547; KW-0597; KW-0678; KW-0804; KW-0805; KW-0902; KW-0963; KW-1185,52255.0
Osmosensitive K+ channel histidine kinase,Cellular Processes and Signaling,Signal transduction mechanisms,COG2205,T,kdpD,P21865,GO:0016311; GO:0000160; GO:0008134; GO:0071472; GO:0031668; GO:0016791; GO:0005887; GO:0023014; GO:0018106; GO:0016772; GO:0016740; GO:0016310; GO:0016301; GO:0016020; GO:0007165; GO:0005886; GO:0004673; GO:0005515; GO:0046777; GO:0000166; GO:0016021; GO:0005524; GO:0009593; GO:0000155,YP_003043871.1,KW-0002; KW-0067; KW-0418; KW-0472; KW-0547; KW-0597; KW-0808; KW-0812; KW-0902; KW-0997; KW-1003; KW-1133; KW-1185,98718.0
AraC-type DNA-binding domain-containing proteins,Information Storage and Processing,Transcription,COG2207,K,adiY,P33234,GO:0006355; GO:0043565; GO:0003677; GO:0045893; GO:0003700,YP_003047158.1,KW-0238; KW-0804; KW-0805; KW-1185,29007.0
AraC-type DNA-binding domain-containing proteins,Information Storage and Processing,Transcription,COG2207,K,appY,P05052,GO:0010165; GO:0006355; GO:0043565; GO:0003677; GO:0016036; GO:0045893; GO:0003700,YP_003043742.1,KW-0238; KW-0678; KW-0804; KW-0805; KW-1185,28763.0
AraC-type DNA-binding domain-containing proteins,Information Storage and Processing,Transcription,COG2207,K,araC,P0A9E0,GO:0019568; GO:0042802; GO:0045893; GO:0045892; GO:0032993; GO:0001217; GO:0001216; GO:0000976; GO:0005515; GO:0005975; GO:0043565; GO:0003700; GO:0005829; GO:0006355; GO:0003677; GO:0005737,YP_003043295.1,KW-0002; KW-0010; KW-0054; KW-0119; KW-0238; KW-0678; KW-0804; KW-0805; KW-0963; KW-1185,33384.0
AraC-type DNA-binding domain-containing proteins,Information Storage and Processing,Transcription,COG2207,K,envY,P10805,GO:0043565; GO:0003700; GO:0009266; GO:0016020; GO:0006355; GO:0003677,YP_003043744.1,KW-0010; KW-0238; KW-0804; KW-0805; KW-1185,29019.0
AraC-type DNA-binding domain-containing proteins,Information Storage and Processing,Transcription,COG2207,K,eutR,P36547,GO:0043565; GO:0003700; GO:0006355; GO:0003677; GO:0006351,,KW-0010; KW-0238; KW-0804; KW-0805; KW-1185,40160.0
AraC-type DNA-binding domain-containing proteins,Information Storage and Processing,Transcription,COG2207,K,feaR,Q47129,GO:0000986; GO:0006355; GO:0043565; GO:0003677; GO:0045893; GO:0003700,YP_003044566.1,KW-0010; KW-0238; KW-0804; KW-0805; KW-0903; KW-1185,34620.0
Na+/melibiose symporter and related transporters,Metabolism,Carbohydrate transport and metabolism,COG2211,G,melB,P02921,GO:0005515; GO:0055085; GO:0035725; GO:0034219; GO:0016021; GO:0015293; GO:0008643; GO:0005886; GO:0005215; GO:0006814; GO:0015769; GO:0015765; GO:0015592; GO:0043887; GO:0005887; GO:0015486; GO:0015487; GO:0016020; GO:0071702,YP_003047162.1,KW-0472; KW-0762; KW-0769; KW-0812; KW-0813; KW-0903; KW-0997; KW-1003; KW-1133; KW-1185,52636.0
Na+/melibiose symporter and related transporters,Metabolism,Carbohydrate transport and metabolism,COG2211,G,uidB,P0CE44,GO:0055085; GO:0015293; GO:0008643; GO:0005215; GO:0006814; GO:0016021; GO:0016020; GO:0005886; GO:0005887; GO:0071702,YP_003044785.1,KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185,49908.0
Na+/melibiose symporter and related transporters,Metabolism,Carbohydrate transport and metabolism,COG2211,G,yagG,P75683,GO:0008643; GO:0055085; GO:0006814; GO:0005215; GO:0005886; GO:0016021; GO:0016020; GO:0015293; GO:0005887; GO:0071702,,KW-0472; KW-0769; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185,50632.0
Na+/melibiose symporter and related transporters,Metabolism,Carbohydrate transport and metabolism,COG2211,G,yicJ,P31435,GO:0008643; GO:0055085; GO:0006814; GO:0005215; GO:0005886; GO:0016021; GO:0016020; GO:0015293; GO:0071702; GO:0005887,YP_003046694.1,KW-0472; KW-0769; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185,50948.0
Na+/melibiose symporter and related transporters,Metabolism,Carbohydrate transport and metabolism,COG2211,G,yihO,P32136,GO:0008643; GO:0098655; GO:0055085; GO:0015294; GO:0005887; GO:1901682; GO:0072348; GO:0006814; GO:0005215; GO:0005886; GO:0016021; GO:0016020; GO:0015293; GO:0071702,YP_003046935.1,KW-0472; KW-0769; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185,51574.0
