gene_name,b_number,gene_product,mw_fg,go_terms,cog_class,cog_letter,cog_category,cog_desc
slyx,b3348,protein SlyX,1.363524e-05,GO:0005829,poorly characterized,S,function unknown,protein required for phi X174 lysis
smf,b4473,protein Smf,6.79853e-05,GO:0005829; GO:0009294,information storage and processing,L,"Replication, recombination, and repair",DNA protecting protein DprA
smg,b3284,DUF494 domain-containing protein Smg,3.0726600000000005e-05,GO:0005829,poorly characterized,S,function unknown,conserved protein
smpb,b2620,SsrA-binding protein,3.0326539999999998e-05,GO:0070929; GO:0005829; GO:0070930; GO:0005737; GO:0003723,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",SsrA-binding protein
smqb,b2620,SsrA-binding protein,3.0326539999999998e-05,GO:0070929; GO:0005829; GO:0070930; GO:0005737; GO:0003723,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",SsrA-binding protein
small protein b,b2620,SsrA-binding protein,3.0326539999999998e-05,GO:0070929; GO:0005829; GO:0070930; GO:0005737; GO:0003723,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",SsrA-binding protein
smra,b1340,DNA endonuclease SmrA,3.570992e-05,GO:0006259; GO:0090305; GO:0005829; GO:0016787; GO:0004519; GO:0004518; GO:0003677; GO:0004520,information storage and processing,L,"Replication, recombination, and repair",conserved protein
ydal,b1340,DNA endonuclease SmrA,3.570992e-05,GO:0006259; GO:0090305; GO:0005829; GO:0016787; GO:0004519; GO:0004518; GO:0003677; GO:0004520,information storage and processing,L,"Replication, recombination, and repair",conserved protein
conserved protein with endonuclease activity smra,b1340,DNA endonuclease SmrA,3.570992e-05,GO:0006259; GO:0090305; GO:0005829; GO:0016787; GO:0004519; GO:0004518; GO:0003677; GO:0004520,information storage and processing,L,"Replication, recombination, and repair",conserved protein
smrb,b2331,putative endonuclease SmrB,3.488158e-05,GO:0005829,information storage and processing,L,"Replication, recombination, and repair",conserved protein
yfcn,b2331,putative endonuclease SmrB,3.488158e-05,GO:0005829,information storage and processing,L,"Replication, recombination, and repair",conserved protein
soda,b3908,superoxide dismutase (Mn),3.834102e-05,GO:0005829; GO:0016491; GO:0042803; GO:0010447; GO:0003677; GO:0006979; GO:0009408; GO:0071291; GO:0019430; GO:0016209; GO:0055114; GO:0046872; GO:0030145; GO:0006801; GO:0004784; GO:0005737,metabolism,P,inorganic ion transport and metabolism,"superoxide dismutase, Mn"
mnsod,b3908,superoxide dismutase (Mn),3.834102e-05,GO:0005829; GO:0016491; GO:0042803; GO:0010447; GO:0003677; GO:0006979; GO:0009408; GO:0071291; GO:0019430; GO:0016209; GO:0055114; GO:0046872; GO:0030145; GO:0006801; GO:0004784; GO:0005737,metabolism,P,inorganic ion transport and metabolism,"superoxide dismutase, Mn"
sodb,b1656,superoxide dismutase (Fe),3.530156e-05,GO:0005829; GO:0046872; GO:0016491; GO:0005506; GO:0019430; GO:0000303; GO:0055114; GO:0006801; GO:0004784; GO:0005737,metabolism,P,inorganic ion transport and metabolism,"superoxide dismutase, Fe"
sodc,b1646,superoxide dismutase (Cu-Zn),2.935046e-05,GO:0019430; GO:0046872; GO:0016491; GO:0016209; GO:0030288; GO:0055114; GO:0042597; GO:0008270; GO:0006801; GO:0005507; GO:0004784,metabolism,P,inorganic ion transport and metabolism,"superoxide dismutase, Cu, Zn"
bacteriocuprein,b1646,superoxide dismutase (Cu-Zn),2.935046e-05,GO:0019430; GO:0046872; GO:0016491; GO:0016209; GO:0030288; GO:0055114; GO:0042597; GO:0008270; GO:0006801; GO:0005507; GO:0004784,metabolism,P,inorganic ion transport and metabolism,"superoxide dismutase, Cu, Zn"
sohb,b1272,S49 peptidase family protein,6.534756e-05,GO:0005887; GO:0004252; GO:0008236; GO:0005886; GO:0016787; GO:0016021; GO:0016020; GO:0008233; GO:0006508,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",inner membrane peptidase. Serine peptidase. MEROPS family S49
soka,b4614,,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
sokb,b4429,putative small regulatory RNA SokB,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
antisense rna blocking mokb and hokb translation,b4429,putative small regulatory RNA SokB,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
sokc,b4413,antisense RNA blocking mokC and hokC translation,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
sof,b4413,antisense RNA blocking mokC and hokC translation,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
soke,b4700,small RNA SokE,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
sokx,b4701,small RNA SokX,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
sola,b1059,SARCOX-MONOMER,6.789732e-05,GO:0016647; GO:0008115; GO:0005829; GO:0016491; GO:0006974; GO:0050660; GO:0055114; GO:0050131,metabolism,E,amino acid transport and metabolism,"N-methyltryptophan oxidase, FAD-binding"
soxr,b4063,DNA-binding transcriptional dual regulator SoxR,2.8468999999999998e-05,GO:0051536; GO:0006355; GO:0051537; GO:0046872; GO:0003677; GO:0006979; GO:0005737,information storage and processing,K,transcription,"DNA-binding transcriptional dual regulator, Fe-S center for redox-sensing"
marc,b4063,DNA-binding transcriptional dual regulator SoxR,2.8468999999999998e-05,GO:0051536; GO:0006355; GO:0051537; GO:0046872; GO:0003677; GO:0006979; GO:0005737,information storage and processing,K,transcription,"DNA-binding transcriptional dual regulator, Fe-S center for redox-sensing"
soxs,b4062,DNA-binding transcriptional dual regulator SoxS,2.143226e-05,GO:0000986; GO:0003677; GO:0043565; GO:0003700; GO:0005829; GO:0001108; GO:0006355; GO:0006355; GO:0005737,information storage and processing,K,transcription,"transcriptional regulator, AraC family"
regulation of superoxide response regulon,b4062,DNA-binding transcriptional dual regulator SoxS,2.143226e-05,GO:0000986; GO:0003677; GO:0043565; GO:0003700; GO:0005829; GO:0001108; GO:0006355; GO:0006355; GO:0005737,information storage and processing,K,transcription,"transcriptional regulator, AraC family"
spea,b2938,"arginine decarboxylase, biosynthetic",0.00012267067999999998,GO:0033388; GO:0016831; GO:0016829; GO:0006596; GO:0003824; GO:0030288; GO:0046872; GO:0042597; GO:0009446; GO:0008295; GO:0006527; GO:0008792,metabolism,E,amino acid transport and metabolism,arginine decarboxylase (EC 4.1.1.19)
speb,b2937,agmatinase,5.570462e-05,GO:0033389; GO:0005829; GO:0046872; GO:0016813; GO:0016787; GO:0006596; GO:0033388; GO:0030145; GO:0009446; GO:0008295; GO:0008783,metabolism,E,amino acid transport and metabolism,agmatinase (EC 3.5.3.11)
spec,b2965,"ornithine decarboxylase, biosynthetic",0.00013183056,GO:0005829; GO:0016831; GO:0016829; GO:0003824; GO:0006520; GO:0005737; GO:0033387; GO:0042803; GO:0030170; GO:0008295; GO:0004586,metabolism,E,amino acid transport and metabolism,ornithine decarboxylase (EC 4.1.1.17)
sped,b0120,"S-adenosylmethionine decarboxylase proenzyme // ""&beta; cleavage product of SpeD"" // ""&alpha; cleavage product of SpeD""",5.043843932e-05,GO:0005829; GO:0016831; GO:0016829; GO:0008152; GO:0006596; GO:0003824; GO:0006557; GO:0008295; GO:0004014,metabolism,E,amino acid transport and metabolism,adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50)
spee,b0121,spermidine synthase,5.365285999999999e-05,GO:0043918; GO:0016768; GO:0010487; GO:0005737; GO:0016740; GO:0006596; GO:0003824; GO:0042803; GO:0005829; GO:0008295; GO:0004766,metabolism,E,amino acid transport and metabolism,spermidine synthase (EC 2.5.1.16)
spef,b0693,"ornithine decarboxylase, degradative",0.00013681056,GO:0005829; GO:0001101; GO:0030170; GO:0006520; GO:0005737; GO:0003824; GO:0033387; GO:0016831; GO:0016829; GO:0008295; GO:0004586,metabolism,E,amino acid transport and metabolism,ornithine decarboxylase (EC 4.1.1.17)
speg,b1584,spermidine N-acetyltransferase,3.633242e-05,GO:0008080; GO:0032991; GO:0042802; GO:0046872; GO:0006598; GO:0000287; GO:0016740; GO:0016746; GO:0005737; GO:0004145,information storage and processing,J,"translation, ribosomal structure and biogenesis",spermine/spermidine N-acetyltransferase (EC 2.3.1.-)
spf,b3864,small regulatory RNA Spot 42,,GO:0070928; GO:0003729; GO:0045974; GO:0005515,Not Assigned,Not Assigned,Not Assigned,Not Assigned
spf rna,b3864,small regulatory RNA Spot 42,,GO:0070928; GO:0003729; GO:0045974; GO:0005515,Not Assigned,Not Assigned,Not Assigned,Not Assigned
is197,b3864,small regulatory RNA Spot 42,,GO:0070928; GO:0003729; GO:0045974; GO:0005515,Not Assigned,Not Assigned,Not Assigned,Not Assigned
spot,b3650,bifunctional (p)ppGpp synthase/hydrolase SpoT,0.00013170772,GO:0016787; GO:0005515; GO:0015970; GO:0005829; GO:0016310; GO:0016740; GO:0016301; GO:0015969; GO:0008728; GO:0008893; GO:0042594; GO:0015949; GO:0005737,information storage and processing,K,transcription,"bifunctional (p)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase"
sppa,b1766,"protease IV, a signal peptide peptidase",0.00011158353999999999,GO:0016787; GO:0016021; GO:0008233; GO:0005886; GO:0006465; GO:0005887; GO:0004175; GO:0008236; GO:0016020; GO:0006508,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",protease IV (signal peptide peptidase)
spy,b1743,ATP-independent periplasmic chaperone,3.0210340000000004e-05,GO:0005515; GO:0014070; GO:0051082; GO:1990507; GO:0061077; GO:0042803; GO:0030288; GO:0042597,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",envelope stress induced periplasmic protein
sra,b1480,30S ribosomal subunit protein S22,8.45936e-06,GO:0005737; GO:0022627; GO:0005829; GO:0006412; GO:0005840; GO:0003735,Not Assigned,Not Assigned,Not Assigned,Not Assigned
rpsv,b1480,30S ribosomal subunit protein S22,8.45936e-06,GO:0005737; GO:0022627; GO:0005829; GO:0006412; GO:0005840; GO:0003735,Not Assigned,Not Assigned,Not Assigned,Not Assigned
protein d,b1480,30S ribosomal subunit protein S22,8.45936e-06,GO:0005737; GO:0022627; GO:0005829; GO:0006412; GO:0005840; GO:0003735,Not Assigned,Not Assigned,Not Assigned,Not Assigned
sraa,,small RNA SraA,,no ontology,,,,
psra3,,small RNA SraA,,no ontology,,,,
t15,,small RNA SraA,,no ontology,,,,
srab,b4418,small RNA SraB,,GO:0005515,Not Assigned,Not Assigned,Not Assigned,Not Assigned
psra4,b4418,small RNA SraB,,GO:0005515,Not Assigned,Not Assigned,Not Assigned,Not Assigned
pke20,b4418,small RNA SraB,,GO:0005515,Not Assigned,Not Assigned,Not Assigned,Not Assigned
psrd,b4418,small RNA SraB,,GO:0005515,Not Assigned,Not Assigned,Not Assigned,Not Assigned
sraf,b4448,,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
srag,b4449,small regulatory RNA SraG,,GO:0048027; GO:0003729; GO:0070928; GO:0098787,Not Assigned,Not Assigned,Not Assigned,Not Assigned
psra15,b4449,small regulatory RNA SraG,,GO:0048027; GO:0003729; GO:0070928; GO:0098787,Not Assigned,Not Assigned,Not Assigned,Not Assigned
p3,b4449,small regulatory RNA SraG,,GO:0048027; GO:0003729; GO:0070928; GO:0098787,Not Assigned,Not Assigned,Not Assigned,Not Assigned
psro,b4449,small regulatory RNA SraG,,GO:0048027; GO:0003729; GO:0070928; GO:0098787,Not Assigned,Not Assigned,Not Assigned,Not Assigned
srka,b3859,stress response kinase A,6.327919999999999e-05,GO:0000287; GO:0006950; GO:0046872; GO:0016740; GO:0016310; GO:0016301; GO:0005524; GO:0000166; GO:0006468; GO:0005829; GO:0004674; GO:0005737,cellular processes and signaling,T,signal transduction mechanisms,Thr/Ser kinase implicated in Cpx stress response
orfa,b3859,stress response kinase A,6.327919999999999e-05,GO:0000287; GO:0006950; GO:0046872; GO:0016740; GO:0016310; GO:0016301; GO:0005524; GO:0000166; GO:0006468; GO:0005829; GO:0004674; GO:0005737,cellular processes and signaling,T,signal transduction mechanisms,Thr/Ser kinase implicated in Cpx stress response
yihe,b3859,stress response kinase A,6.327919999999999e-05,GO:0000287; GO:0006950; GO:0046872; GO:0016740; GO:0016310; GO:0016301; GO:0005524; GO:0000166; GO:0006468; GO:0005829; GO:0004674; GO:0005737,cellular processes and signaling,T,signal transduction mechanisms,Thr/Ser kinase implicated in Cpx stress response
serine/threonine protein kinase,b3859,stress response kinase A,6.327919999999999e-05,GO:0000287; GO:0006950; GO:0046872; GO:0016740; GO:0016310; GO:0016301; GO:0005524; GO:0000166; GO:0006468; GO:0005829; GO:0004674; GO:0005737,cellular processes and signaling,T,signal transduction mechanisms,Thr/Ser kinase implicated in Cpx stress response
srla,b2702,sorbitol-specific PTS enzyme IIC2 component,3.41628e-05,GO:0005887; GO:0005886; GO:0016021; GO:0016020; GO:0008643; GO:0009401,metabolism,G,carbohydrate transport and metabolism,"PTS system D-sorbitol-specific IIC component, Gut family (TC 4.A.4.1.1)"
sbl,b2702,sorbitol-specific PTS enzyme IIC2 component,3.41628e-05,GO:0005887; GO:0005886; GO:0016021; GO:0016020; GO:0008643; GO:0009401,metabolism,G,carbohydrate transport and metabolism,"PTS system D-sorbitol-specific IIC component, Gut family (TC 4.A.4.1.1)"
guta,b2702,sorbitol-specific PTS enzyme IIC2 component,3.41628e-05,GO:0005887; GO:0005886; GO:0016021; GO:0016020; GO:0008643; GO:0009401,metabolism,G,carbohydrate transport and metabolism,"PTS system D-sorbitol-specific IIC component, Gut family (TC 4.A.4.1.1)"
enzyme iic component of sorbitol pts,b2702,sorbitol-specific PTS enzyme IIC2 component,3.41628e-05,GO:0005887; GO:0005886; GO:0016021; GO:0016020; GO:0008643; GO:0009401,metabolism,G,carbohydrate transport and metabolism,"PTS system D-sorbitol-specific IIC component, Gut family (TC 4.A.4.1.1)"
enzyme iic sorbitol,b2702,sorbitol-specific PTS enzyme IIC2 component,3.41628e-05,GO:0005887; GO:0005886; GO:0016021; GO:0016020; GO:0008643; GO:0009401,metabolism,G,carbohydrate transport and metabolism,"PTS system D-sorbitol-specific IIC component, Gut family (TC 4.A.4.1.1)"
srlb,b2704,sorbitol-specific PTS enzyme IIA component,2.208464e-05,GO:0016773; GO:0034219; GO:0005829; GO:0008982; GO:0016310; GO:0016740; GO:0016301; GO:0008643; GO:0005737; GO:0009401,metabolism,G,carbohydrate transport and metabolism,"PTS system D-sorbitol-specific IIA component, Gut family (TC 4.A.4.1.1)"
gutb,b2704,sorbitol-specific PTS enzyme IIA component,2.208464e-05,GO:0016773; GO:0034219; GO:0005829; GO:0008982; GO:0016310; GO:0016740; GO:0016301; GO:0008643; GO:0005737; GO:0009401,metabolism,G,carbohydrate transport and metabolism,"PTS system D-sorbitol-specific IIA component, Gut family (TC 4.A.4.1.1)"
enzyme iia component of sorbitol pts,b2704,sorbitol-specific PTS enzyme IIA component,2.208464e-05,GO:0016773; GO:0034219; GO:0005829; GO:0008982; GO:0016310; GO:0016740; GO:0016301; GO:0008643; GO:0005737; GO:0009401,metabolism,G,carbohydrate transport and metabolism,"PTS system D-sorbitol-specific IIA component, Gut family (TC 4.A.4.1.1)"
enzyme iiisorbitol,b2704,sorbitol-specific PTS enzyme IIA component,2.208464e-05,GO:0016773; GO:0034219; GO:0005829; GO:0008982; GO:0016310; GO:0016740; GO:0016301; GO:0008643; GO:0005737; GO:0009401,metabolism,G,carbohydrate transport and metabolism,"PTS system D-sorbitol-specific IIA component, Gut family (TC 4.A.4.1.1)"
srld,b2705,sorbitol-6-phosphate 2-dehydrogenase,4.624428e-05,GO:0016616; GO:0051289; GO:0042802; GO:0005829; GO:0006062; GO:0055114; GO:0016491; GO:0009010,metabolism,Q,"secondary metabolites biosynthesis, transport, and catabolism",sorbitol-6-phosphate dehydrogenase
gutd,b2705,sorbitol-6-phosphate 2-dehydrogenase,4.624428e-05,GO:0016616; GO:0051289; GO:0042802; GO:0005829; GO:0006062; GO:0055114; GO:0016491; GO:0009010,metabolism,Q,"secondary metabolites biosynthesis, transport, and catabolism",sorbitol-6-phosphate dehydrogenase
srle,b2703,sorbitol-specific PTS enzyme IIBC1 component,5.533112e-05,GO:0034219; GO:0090563; GO:0005887; GO:0016310; GO:0005886; GO:0016740; GO:0016301; GO:0016021; GO:0016020; GO:0008982; GO:0008643; GO:0009401,metabolism,G,carbohydrate transport and metabolism,"PTS system D-sorbitol-specific IIB component, Gut family (TC 4.A.4.1.1)/PTS system D-sorbitol-specific IIC component, Gut family (TC 4.A.4.1.1)"
srla,b2703,sorbitol-specific PTS enzyme IIBC1 component,5.533112e-05,GO:0034219; GO:0090563; GO:0005887; GO:0016310; GO:0005886; GO:0016740; GO:0016301; GO:0016021; GO:0016020; GO:0008982; GO:0008643; GO:0009401,metabolism,G,carbohydrate transport and metabolism,"PTS system D-sorbitol-specific IIB component, Gut family (TC 4.A.4.1.1)/PTS system D-sorbitol-specific IIC component, Gut family (TC 4.A.4.1.1)"
guta,b2703,sorbitol-specific PTS enzyme IIBC1 component,5.533112e-05,GO:0034219; GO:0090563; GO:0005887; GO:0016310; GO:0005886; GO:0016740; GO:0016301; GO:0016021; GO:0016020; GO:0008982; GO:0008643; GO:0009401,metabolism,G,carbohydrate transport and metabolism,"PTS system D-sorbitol-specific IIB component, Gut family (TC 4.A.4.1.1)/PTS system D-sorbitol-specific IIC component, Gut family (TC 4.A.4.1.1)"
sbl,b2703,sorbitol-specific PTS enzyme IIBC1 component,5.533112e-05,GO:0034219; GO:0090563; GO:0005887; GO:0016310; GO:0005886; GO:0016740; GO:0016301; GO:0016021; GO:0016020; GO:0008982; GO:0008643; GO:0009401,metabolism,G,carbohydrate transport and metabolism,"PTS system D-sorbitol-specific IIB component, Gut family (TC 4.A.4.1.1)/PTS system D-sorbitol-specific IIC component, Gut family (TC 4.A.4.1.1)"
gute,b2703,sorbitol-specific PTS enzyme IIBC1 component,5.533112e-05,GO:0034219; GO:0090563; GO:0005887; GO:0016310; GO:0005886; GO:0016740; GO:0016301; GO:0016021; GO:0016020; GO:0008982; GO:0008643; GO:0009401,metabolism,G,carbohydrate transport and metabolism,"PTS system D-sorbitol-specific IIB component, Gut family (TC 4.A.4.1.1)/PTS system D-sorbitol-specific IIC component, Gut family (TC 4.A.4.1.1)"
enzyme iib component of sorbitol pts,b2703,sorbitol-specific PTS enzyme IIBC1 component,5.533112e-05,GO:0034219; GO:0090563; GO:0005887; GO:0016310; GO:0005886; GO:0016740; GO:0016301; GO:0016021; GO:0016020; GO:0008982; GO:0008643; GO:0009401,metabolism,G,carbohydrate transport and metabolism,"PTS system D-sorbitol-specific IIB component, Gut family (TC 4.A.4.1.1)/PTS system D-sorbitol-specific IIC component, Gut family (TC 4.A.4.1.1)"
enzyme iib sorbitol,b2703,sorbitol-specific PTS enzyme IIBC1 component,5.533112e-05,GO:0034219; GO:0090563; GO:0005887; GO:0016310; GO:0005886; GO:0016740; GO:0016301; GO:0016021; GO:0016020; GO:0008982; GO:0008643; GO:0009401,metabolism,G,carbohydrate transport and metabolism,"PTS system D-sorbitol-specific IIB component, Gut family (TC 4.A.4.1.1)/PTS system D-sorbitol-specific IIC component, Gut family (TC 4.A.4.1.1)"
srlr,b2707,DNA-binding transcriptional repressor SrlR,4.687176e-05,GO:0005515; GO:0005829; GO:0006355; GO:0003700; GO:0045892; GO:0009401; GO:0003677,information storage and processing,K,transcription,"transcriptional regulator, DeoR family"
gutr,b2707,DNA-binding transcriptional repressor SrlR,4.687176e-05,GO:0005515; GO:0005829; GO:0006355; GO:0003700; GO:0045892; GO:0009401; GO:0003677,information storage and processing,K,transcription,"transcriptional regulator, DeoR family"
srmb,b2576,ATP-dependent RNA helicase SrmB,8.285724e-05,GO:0016887; GO:0042254; GO:0008186; GO:0008143; GO:0005737; GO:0016787; GO:0004386; GO:0003723; GO:0003676; GO:0005829; GO:0033592; GO:0003724; GO:0000027; GO:0005524; GO:0005515; GO:0000166,information storage and processing,L,"Replication, recombination, and repair",ATP-dependent RNA helicase
rhla,b2576,ATP-dependent RNA helicase SrmB,8.285724e-05,GO:0016887; GO:0042254; GO:0008186; GO:0008143; GO:0005737; GO:0016787; GO:0004386; GO:0003723; GO:0003676; GO:0005829; GO:0033592; GO:0003724; GO:0000027; GO:0005524; GO:0005515; GO:0000166,information storage and processing,L,"Replication, recombination, and repair",ATP-dependent RNA helicase
rbab,b2576,ATP-dependent RNA helicase SrmB,8.285724e-05,GO:0016887; GO:0042254; GO:0008186; GO:0008143; GO:0005737; GO:0016787; GO:0004386; GO:0003723; GO:0003676; GO:0005829; GO:0033592; GO:0003724; GO:0000027; GO:0005524; GO:0005515; GO:0000166,information storage and processing,L,"Replication, recombination, and repair",ATP-dependent RNA helicase
dead-box rna helicase,b2576,ATP-dependent RNA helicase SrmB,8.285724e-05,GO:0016887; GO:0042254; GO:0008186; GO:0008143; GO:0005737; GO:0016787; GO:0004386; GO:0003723; GO:0003676; GO:0005829; GO:0033592; GO:0003724; GO:0000027; GO:0005524; GO:0005515; GO:0000166,information storage and processing,L,"Replication, recombination, and repair",ATP-dependent RNA helicase
sroa,b4762,small RNA SroA,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
sroc,b4763,small regulatory RNA SroC,,GO:1900191,Not Assigned,Not Assigned,Not Assigned,Not Assigned
hb_314,b4763,small regulatory RNA SroC,,GO:1900191,Not Assigned,Not Assigned,Not Assigned,Not Assigned
srod,,,,no ontology,,,,
sroe,b4761,small RNA SroE,,GO:0003729,Not Assigned,Not Assigned,Not Assigned,Not Assigned
k20,b4761,small RNA SroE,,GO:0003729,Not Assigned,Not Assigned,Not Assigned,Not Assigned
srog,,,,no ontology,,,,
sroh,b4691,small RNA SroH,,GO:0003729,Not Assigned,Not Assigned,Not Assigned,Not Assigned
ssb,b4059,ssDNA-binding protein,3.1498500000000003e-05,GO:0051096; GO:0043085; GO:0008047; GO:0042802; GO:0006310; GO:0005515; GO:0003677; GO:0006974; GO:0006281; GO:0005829; GO:0000725; GO:0006298; GO:0006260; GO:0003697; GO:0009432,information storage and processing,L,"Replication, recombination, and repair",single-strand binding protein
lexc,b4059,ssDNA-binding protein,3.1498500000000003e-05,GO:0051096; GO:0043085; GO:0008047; GO:0042802; GO:0006310; GO:0005515; GO:0003677; GO:0006974; GO:0006281; GO:0005829; GO:0000725; GO:0006298; GO:0006260; GO:0003697; GO:0009432,information storage and processing,L,"Replication, recombination, and repair",single-strand binding protein
exrb,b4059,ssDNA-binding protein,3.1498500000000003e-05,GO:0051096; GO:0043085; GO:0008047; GO:0042802; GO:0006310; GO:0005515; GO:0003677; GO:0006974; GO:0006281; GO:0005829; GO:0000725; GO:0006298; GO:0006260; GO:0003697; GO:0009432,information storage and processing,L,"Replication, recombination, and repair",single-strand binding protein
ssea,b2521,3-mercaptopyruvate sulfurtransferase,5.114792e-05,GO:0019346; GO:0006979; GO:0042262; GO:0005829; GO:0016740; GO:0046677; GO:0005737; GO:0004792; GO:0016784,metabolism,P,inorganic ion transport and metabolism,3-mercaptopyruvate sulfurtransferase
msta,b2521,3-mercaptopyruvate sulfurtransferase,5.114792e-05,GO:0019346; GO:0006979; GO:0042262; GO:0005829; GO:0016740; GO:0046677; GO:0005737; GO:0004792; GO:0016784,metabolism,P,inorganic ion transport and metabolism,3-mercaptopyruvate sulfurtransferase
sseb,b2522,protein SseB,4.7545719999999996e-05,GO:0005829,Not Assigned,Not Assigned,Not Assigned,Not Assigned
ssna,b2879,putative aminohydrolase SsnA,8.107771999999999e-05,GO:0050270; GO:0004000; GO:0005829; GO:0016810; GO:0046872; GO:0016787,poorly characterized,R,general function prediction only,predicted chlorohydrolase/aminohydrolase
ygfl,b2879,putative aminohydrolase SsnA,8.107771999999999e-05,GO:0050270; GO:0004000; GO:0005829; GO:0016810; GO:0046872; GO:0016787,poorly characterized,R,general function prediction only,predicted chlorohydrolase/aminohydrolase
sspa,b3229,stringent starvation protein A,4.03463e-05,GO:0005829; GO:0005515; GO:0042594; GO:0001000; GO:0045893; GO:0006950,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",stringent starvation protein A
pog,b3229,stringent starvation protein A,4.03463e-05,GO:0005829; GO:0005515; GO:0042594; GO:0001000; GO:0045893; GO:0006950,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",stringent starvation protein A
ssp,b3229,stringent starvation protein A,4.03463e-05,GO:0005829; GO:0005515; GO:0042594; GO:0001000; GO:0045893; GO:0006950,cellular processes and signaling,O,"posttranslational modification, protein turnover, chaperones",stringent starvation protein A
sspb,b3228,ClpXP protease specificity-enhancing factor,3.031492e-05,GO:0051117; GO:0042803; GO:0032781; GO:0009376; GO:0003723; GO:0005829; GO:0005840; GO:0045732; GO:0005515,poorly characterized,R,general function prediction only,ClpXP protease specificity-enhancing factor
ssra,b2621,tmRNA,,GO:0005515; GO:0043022; GO:0072344; GO:0070930; GO:0070929,Not Assigned,Not Assigned,Not Assigned,Not Assigned
10sa rna,b2621,tmRNA,,GO:0005515; GO:0043022; GO:0072344; GO:0070930; GO:0070929,Not Assigned,Not Assigned,Not Assigned,Not Assigned
transfer-messenger rna,b2621,tmRNA,,GO:0005515; GO:0043022; GO:0072344; GO:0070930; GO:0070929,Not Assigned,Not Assigned,Not Assigned,Not Assigned
sipb,b2621,tmRNA,,GO:0005515; GO:0043022; GO:0072344; GO:0070930; GO:0070929,Not Assigned,Not Assigned,Not Assigned,Not Assigned
ssrs,b2911,6S RNA,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
ssr,b2911,6S RNA,,no ontology,Not Assigned,Not Assigned,Not Assigned,Not Assigned
sstt,b3089,YGJU-MONOMER,7.217348000000001e-05,GO:0022857; GO:0015171; GO:0003333; GO:0055085; GO:0016020; GO:0015293; GO:0015175; GO:0006865; GO:0015826; GO:0032329; GO:0005295; GO:0005886; GO:0016021,metabolism,E,amino acid transport and metabolism,sodium:serine/threonine symporter
ygju,b3089,YGJU-MONOMER,7.217348000000001e-05,GO:0022857; GO:0015171; GO:0003333; GO:0055085; GO:0016020; GO:0015293; GO:0015175; GO:0006865; GO:0015826; GO:0032329; GO:0005295; GO:0005886; GO:0016021,metabolism,E,amino acid transport and metabolism,sodium:serine/threonine symporter
sstt daacs transporter,b3089,YGJU-MONOMER,7.217348000000001e-05,GO:0022857; GO:0015171; GO:0003333; GO:0055085; GO:0016020; GO:0015293; GO:0015175; GO:0006865; GO:0015826; GO:0032329; GO:0005295; GO:0005886; GO:0016021,metabolism,E,amino acid transport and metabolism,sodium:serine/threonine symporter
ssua,b0936,aliphatic sulfonate ABC transporter periplasmic binding protein,5.736628e-05,GO:0055085; GO:0042626; GO:0016020; GO:0030288; GO:0006790; GO:0042918; GO:0042959; GO:0042597,metabolism,P,inorganic ion transport and metabolism,putative aliphatic sulphonate binding protein
ycbo,b0936,aliphatic sulfonate ABC transporter periplasmic binding protein,5.736628e-05,GO:0055085; GO:0042626; GO:0016020; GO:0030288; GO:0006790; GO:0042918; GO:0042959; GO:0042597,metabolism,P,inorganic ion transport and metabolism,putative aliphatic sulphonate binding protein
ssub,b0933,aliphatic sulfonate ABC transporter ATP binding subunit,4.6045079999999996e-05,GO:0055085; GO:0022857; GO:0098656; GO:0008509; GO:0006820; GO:0055052; GO:0006790; GO:0043190; GO:0042959; GO:0016887; GO:0005829; GO:0042918; GO:0005886; GO:0016787; GO:0016020; GO:0005524; GO:0000166,metabolism,P,inorganic ion transport and metabolism,alkanesulfonate transporter subunit
