"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Component-Of"	"GO terms (biological process)"	"GO terms (cellular component)"	"GO terms (molecular function)"
"ybhC"	"b0772"	805998	807281	"outer membrane lipoprotein YhbC"	"Chromosome Region 17, 790064->839442" // "ybhCp" // "ybhC"	"cell wall modification"	"membrane" // "cell outer membrane"	"pectinesterase activity" // "aspartyl esterase activity" // "hydrolase activity"
"ppk"	"b2501"	2623044	2625110	"polyphosphate kinase"	"Chromosome Region 54, 2617087->2666465" // "ppk-ppx" // "ppk-ppx"	"protein autophosphorylation" // "ATP generation from ADP" // "polyphosphate biosynthetic process" // "phosphorylation"	"periplasmic side of cell outer membrane" // "polyphosphate kinase complex" // "plasma membrane" // "membrane"	"metal ion binding" // "protein binding" // "diphosphotransferase activity" // "polyphosphate:AMP phosphotransferase activity" // "phosphotransferase activity, phosphate group as acceptor" // "protein homodimerization activity" // "catalytic activity" // "ATP binding" // "nucleotide binding" // "transferase activity" // "kinase activity" // "polyphosphate kinase activity"
"yjjJ"	"b4385"	4621769	4623100	"toxin YjjJ"	"Chromosome Region 94, 4592247->4641625" // "yjjJ"	"protein phosphorylation" // "pathogenesis" // "phosphorylation"	"cytosol"	"protein serine/threonine kinase activity" // "toxin activity" // "DNA binding" // "transferase activity" // "kinase activity"
"phoA"	"b0383"	401747	403162	"alkaline phosphatase"	"Chromosome Region 9, 395032->444410" // "phoA-psiF"	"protein dephosphorylation" // "oxidation-reduction process" // "dephosphorylation"	"outer membrane-bounded periplasmic space" // "periplasmic space"	"phosphoprotein phosphatase activity" // "metal ion binding" // "phosphatase activity" // "hydrolase activity" // "catalytic activity" // "oxidoreductase activity, acting on phosphorus or arsenic in donors" // "hydrogenase (acceptor) activity" // "zinc ion binding" // "protein binding" // "magnesium ion binding" // "alkaline phosphatase activity"
"yhiI"	"b3487"	3629535	3630602	"putative membrane fusion protein YhiI"	"Chromosome Region 74, 3604667->3654045" // "yhiI" // "rbbA" // "yhhJ"	""	"integral component of plasma membrane" // "plasma membrane"	""
"phnJ"	"b4098"	4318761	4319606	"carbon-phosphorus lyase core complex subunit PhnJ"	"Chromosome Region 88, 4295973->4345351" // "phnCDEEFGHIJKLMNOP"	"organic phosphonate catabolic process"	"carbon phosphorus lyase complex" // "cytosol"	"alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase activity" // "protein binding" // "iron-sulfur cluster binding" // "metal ion binding" // "lyase activity" // "4 iron, 4 sulfur cluster binding"
"yjcO"	"b4078"	4296436	4297125	"Sel1 repeat-containing protein YjcO"	"Chromosome Region 88, 4295973->4345351" // "yjcO"	"positive regulation of catalytic activity"	""	"enzyme activator activity"
"phnG"	"b4101"	4321244	4321696	"carbon-phosphorus lyase core complex subunit PhnG"	"Chromosome Region 88, 4295973->4345351" // "phnCDEEFGHIJKLMNOP"	"organic phosphonate metabolic process" // "organic phosphonate catabolic process" // "organic phosphonate transport"	"carbon phosphorus lyase complex" // "alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase complex" // "cytosol"	"alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase activity" // "protein binding" // "transferase activity"
"yihM"	"b3873"	4061165	4062145	"putative TIM barrel domain-containing protein YihM"	"Chromosome Region 83, 4049078->4098456" // "yihM" // "yihL"	""	"cytosol"	""
"phoU"	"b3724"	3906853	3907578	"negative regulator of the <i>pho</i> regulon"	"Chromosome Region 80, 3900941->3950319" // "phoU" // "pstB-phoU" // "pstCAB-phoU" // "pstB-phoU" // "pstSCAB-phoU"	"cellular response to pH" // "pathogenesis" // "negative regulation of phosphate transmembrane transport" // "cellular response to antibiotic" // "cellular response to heat" // "negative regulation of ion transmembrane transporter activity" // "cellular phosphate ion homeostasis" // "cellular response to phosphate starvation" // "negative regulation of gene expression" // "cellular response to starvation" // "regulation of cell growth" // "negative regulation of phosphate metabolic process" // "phosphate ion transport"	"cell" // "cytosol" // "cytoplasm" // "extrinsic component of plasma membrane"	"protein binding" // "magnesium ion binding" // "manganese ion binding" // "protein homodimerization activity"
"yicH"	"b3655"	3830457	3832166	"AsmA famly protein YicH"	"Chromosome Region 78, 3802183->3851561" // "yicHp" // "yicH"	""	"integral component of plasma membrane" // "cytosol"	""
"phoB"	"b0399"	417142	417831	"Phosphorylated DNA-binding transcriptional dual regulator PhoB" // "DNA-binding transcriptional dual regulator PhoB"	"Chromosome Region 9, 395032->444410" // "phoBR"	"positive regulation of transcription, DNA-templated" // "regulation of transcription, DNA-templated" // "regulation of DNA-templated transcription, initiation" // "phosphate ion transport" // "phosphorelay signal transduction system"	"protein-DNA complex" // "cytosol" // "cytoplasm"	"DNA-binding transcription factor activity" // "DNA-binding transcription activator activity" // "transcription regulatory region sequence-specific DNA binding" // "identical protein binding" // "phosphorelay response regulator activity" // "bacterial-type RNA polymerase holo enzyme binding" // "DNA binding"
"rmuC"	"b3832"	4017333	4018760	"putative recombination limiting protein RmuC"	"Chromosome Region 82, 3999699->4049077" // "rmuC"	"DNA recombination"	"integral component of plasma membrane"	""
"psiF"	"b0384"	403281	403601	"PsiF family protein"	"psiF" // "Chromosome Region 9, 395032->444410" // "phoA-psiF"	""	""	""
"sgcQ"	"b4303"	4528111	4528917	"KpLE2 phage-like element; putative nucleoside triphosphatase"	"Chromosome Region 92, 4493489->4542867" // "sgcX" // "sgcB" // "sgcC" // "sgcQ" // "sgcA" // "sgcE" // "sgcR"	""	"cytosol"	"catalytic activity"
"phnN"	"b4094"	4315525	4316082	EG10723-MONOMER	"Chromosome Region 88, 4295973->4345351" // "phnLMNOP" // "phnCDEEFGHIJKLMNOP"	"carbohydrate phosphorylation" // "organic phosphonate metabolic process" // "5-phosphoribose 1-diphosphate biosynthetic process" // "NAD biosynthetic process"	"cytosol"	"transferase activity" // "ribose 1,5-bisphosphate phosphokinase activity" // "ATP binding" // "nucleotide binding"
"yjjA"	"b4360"	4599695	4600189	"DUF2501 domain-containing protein YjjA"	"Chromosome Region 94, 4592247->4641625" // "yjjB-dnaTC-yjjA" // "dnaTC-yjjA"	""	"cytosol"	""
"yjcS"	"b4083"	4304612	4306597	"linear primary-alkylsulfatase"	"Chromosome Region 88, 4295973->4345351" // "yjcS"	"dodecyl sulfate metabolic process"	"outer membrane-bounded periplasmic space"	"protein dimerization activity" // "alkyl sulfatase activity" // "hydrolase activity"
"yhhW"	"b3439"	3578950	3579645	"quercetin 2,3-dioxygenase"	"Chromosome Region 73, 3555288->3604666" // "yhhW"	"oxidation-reduction process"	"cytosol"	"dioxygenase activity" // "oxidoreductase activity" // "metal ion binding" // "quercetin 2,3-dioxygenase activity"
"aslA"	"b3801"	3984352	3986007	"putative sulfatase AslA"	"Chromosome Region 81, 3950320->3999698" // "aslA"	""	"outer membrane-bounded periplasmic space" // "periplasmic space"	"arylsulfatase activity" // "sulfuric ester hydrolase activity" // "catalytic activity" // "metal ion binding" // "hydrolase activity"
"yecA"	"b1908"	1990954	1991619	"UPF0149 family protein YecA"	"Chromosome Region 41, 1975160->2024538" // "yecA"	""	""	""
"sufC"	"b1682"	1761766	1762512	"Fe-S cluster scaffold complex subunit SufC"	"Chromosome Region 36, 1728265->1777643" // "sufABCDSE"	"response to radiation" // "iron-sulfur cluster assembly"	"iron-sulfur cluster assembly complex" // "cytosol" // "cytoplasm"	"protein binding" // "ATPase activity" // "ATP binding" // "nucleotide binding"
"ibaG"	"b3190"	3336549	3336803	"acid stress protein IbaG"	"Chromosome Region 68, 3308393->3357771" // "ibaG-murA" // "ibaGp2" // "ibaG"	"response to acid chemical"	"cytosol"	"protein binding" // "2 iron, 2 sulfur cluster binding"
"sufE"	"b1679"	1758874	1759290	"sulfur carrier protein SufE"	"Chromosome Region 36, 1728265->1777643" // "sufABCDSE"	"sulfur incorporation into metallo-sulfur cluster" // "positive regulation of transferase activity" // "response to oxidative stress" // "positive regulation of catalytic activity" // "iron-sulfur cluster assembly" // "sulfur compound metabolic process"	"cytosol" // "cytoplasm"	"sulfur carrier activity" // "protein binding" // "enzyme activator activity"
"rhsD"	"b0497"	523261	527541	"protein RhsD"	"Chromosome Region 11, 493790->543168" // "ybbD" // "ylbH" // "ybbC" // "rhsD"	"cellular response to sulfur starvation"	"cell outer membrane"	""
"ssuD"	"b0935"	994843	995988	"FMNH<sub>2</sub>-dependent alkanesulfonate monooxygenase"	"Chromosome Region 21, 987580->1036958" // "ssuEADCB"	"protein homotetramerization" // "response to heat" // "oxidation-reduction process" // "alkanesulfonate catabolic process"	"alkanesulfonate monooxygenase complex"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" // "oxidoreductase activity" // "monooxygenase activity" // "identical protein binding" // "protein binding" // "alkanesulfonate monooxygenase activity"
"yghR"	"b2984"	3132454	3133212	"putative ATP-binding protein YghR"	"Chromosome Region 64, 3110877->3160255" // "yghS" // "yghR"	""	"cytosol"	"ATP binding" // "nucleotide binding"
"cysN"	"b2751"	2873992	2875419	"sulfate adenylyltransferase subunit 1"	"Chromosome Region 59, 2863982->2913360" // "cysDNC"	"sulfate assimilation" // "hydrogen sulfide biosynthetic process" // "sulfur compound metabolic process"	"sulfate adenylyltransferase complex (ATP)" // "cytosol"	"protein binding" // "ATP binding" // "nucleotidyltransferase activity" // "transferase activity" // "GTP binding" // "GTPase activity" // "nucleotide binding" // "sulfate adenylyltransferase (ATP) activity"
"queE"	"b2777"	2904747	2905418	"putative 7-carboxy-7-deazaguanine synthase QueE"	"Chromosome Region 59, 2863982->2913360" // "queE"	"negative regulation of cytokinesis" // "queuosine biosynthetic process"	"cell division site" // "cytosol"	"S-adenosyl-L-methionine binding" // "carbon-nitrogen lyase activity" // "magnesium ion binding" // "catalytic activity" // "lyase activity" // "4 iron, 4 sulfur cluster binding" // "iron-sulfur cluster binding" // "metal ion binding"
"csdE"	"b2811"	2944542	2944985	"sulfur acceptor protein CsdE"	"Chromosome Region 60, 2913361->2962739" // "csdE" // "csdA"	"cyclic threonylcarbamoyladenosine biosynthetic process"	"cytosol"	"sulfur carrier activity" // "protein binding"
"ypfJ"	"b2475"	2595874	2596737	"uncharacterized protein YpfJ"	"Chromosome Region 53, 2567708->2617086" // "ypfJ" // "tmcA"	""	"integral component of plasma membrane" // "integral component of membrane" // "membrane"	""
"cysH"	"b2762"	2887578	2888312	"phosphoadenosine phosphosulfate reductase"	"Chromosome Region 59, 2863982->2913360" // "cysH" // "cysJIH"	"sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)" // "hydrogen sulfide biosynthetic process" // "oxidation-reduction process" // "sulfur compound metabolic process"	"cytosol" // "cytoplasm"	"catalytic activity" // "oxidoreductase activity" // "phosphoadenylyl-sulfate reductase (thioredoxin) activity"
"yfaY"	"b2249"	2362431	2363633	"IPR008135 CinA family protein YfaY"	"Chromosome Region 48, 2320813->2370191" // "yfaYp" // "yfaY"	""	"cytosol"	""
"cysA"	"b2422"	2539717	2540814	"sulfate/thiosulfate ABC transporter ATP binding subunit"	"Chromosome Region 52, 2518329->2567707" // "cysPUWAM"	"thiosulfate transport" // "sulfate transmembrane transport" // "sulfate transport"	"ATP-binding cassette (ABC) transporter complex" // "cytosol" // "plasma membrane" // "membrane"	"ATPase-coupled thiosulfate transmembrane transporter activity" // "protein binding" // "ATPase activity" // "ATP binding" // "nucleotide binding" // "ATPase-coupled sulfate transmembrane transporter activity"
"yoaH"	"b1811"	1894552	1894731	"UFP0181 family protein YoaH"	"Chromosome Region 39, 1876402->1925780" // "yoaH"	""	"cytosol"	""
"sufB"	"b1683"	1762522	1764009	"Fe-S cluster scaffold complex subunit SufB"	"Chromosome Region 36, 1728265->1777643" // "sufABCDSE"	"iron-sulfur cluster assembly"	"iron-sulfur cluster assembly complex" // "cytosol"	"2 iron, 2 sulfur cluster binding" // "4 iron, 4 sulfur cluster binding" // "protein binding"
"ydiK"	"b1688"	1769074	1770186	"putative transporter YdiK"	"Chromosome Region 36, 1728265->1777643" // "ydiK"	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
"sseB"	"b2522"	2654157	2654933	"protein SseB"	"Chromosome Region 54, 2617087->2666465" // "sseB"	""	"cytosol"	""
"yncE"	"b1452"	1523307	1524368	"PQQ-like domain-containing protein YncE"	"Chromosome Region 31, 1481370->1530748" // "yncE"	""	"outer membrane-bounded periplasmic space"	"DNA binding"
"sufS"	"b1680"	1759303	1760523	"L-cysteine desulfurase"	"Chromosome Region 36, 1728265->1777643" // "sufABCDSE"	"sulfur incorporation into metallo-sulfur cluster" // "cysteine metabolic process" // "iron-sulfur cluster assembly" // "selenium compound metabolic process" // "sulfur compound metabolic process"	"cytosol" // "cytoplasm"	"catalytic activity" // "protein binding" // "protein homodimerization activity" // "pyridoxal phosphate binding" // "cysteine desulfurase activity" // "lyase activity" // "transferase activity" // "selenocysteine lyase activity"
"pdeG"	"b1168"	1217328	1218851	"putative c-di-GMP phosphodiesterase PdeG"	"Chromosome Region 25, 1185096->1234474" // "pdeG"	""	"integral component of membrane" // "membrane" // "outer membrane-bounded periplasmic space" // "integral component of plasma membrane" // "plasma membrane" // "cytoplasm"	"cyclic-guanylate-specific phosphodiesterase activity" // "hydrolase activity"
"sbp"	"b3917"	4108834	4109823	"sulfate/thiosulfate ABC transporter periplasmic binding protein Sbp"	"Chromosome Region 84, 4098457->4147835" //  // "sbp"	"sulfate transmembrane transport" // "sulfate transport" // "sulfur compound metabolic process"	"periplasmic space" // "outer membrane-bounded periplasmic space"	"sulfur compound binding" // "sulfate binding" // "ATPase-coupled sulfate transmembrane transporter activity"
"ybjX"	"b0877"	918128	919120	"DUF535 domain-containing protein YbjX"	"Chromosome Region 19, 888822->938200" // "ybjX"	"cellular response to DNA damage stimulus"	"cytosol"	""
"ssuE"	"b0937"	996937	997512	"NADPH-dependent FMN reductase"	"Chromosome Region 21, 987580->1036958" // "ssuEADCB"	"cellular response to DNA damage stimulus" // "oxidation-reduction process" // "alkanesulfonate catabolic process" // "cellular response to sulfate starvation"	"FMN reductase complex" // "cytosol"	"oxidoreductase activity" // "protein binding" // "protein homodimerization activity" // "FMN reductase (NADPH) activity" // "FMN reductase activity"
"ybeU"	"b0648"	679508	680215	"DUF1266 domain-containing protein YbeU"	"Chromosome Region 14, 641927->691305" // "djlC" // "ybeU"	""	""	""
"cysP"	"b2425"	2542512	2543528	"thiosulfate/sulfate ABC transporter periplasmic binding protein CysP"	"Chromosome Region 52, 2518329->2567707" // "cysPUWAM"	"thiosulfate transport" // "sulfate transmembrane transport" // "sulfate transport" // "sulfur compound metabolic process"	"periplasmic space" // "outer membrane-bounded periplasmic space"	"sulfur compound binding" // "thiosulfate binding" // "sulfate binding" // "ATPase-coupled sulfate transmembrane transporter activity"
"yahK"	"b0325"	342884	343933	"aldehyde reductase, NADPH-dependent"	"Chromosome Region 7, 296274->345652" // "yahK"	"oxidation-reduction process"	""	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" // "zinc ion binding" // "alcohol dehydrogenase (NADP+) activity" // "metal ion binding" // "oxidoreductase activity"
"cysI"	"b2763"	2888387	2890099	"sulfite reductase, hemoprotein subunit"	"Chromosome Region 59, 2863982->2913360" // "cysJIH"	"sulfate assimilation" // "hydrogen sulfide biosynthetic process" // "oxidation-reduction process" // "cysteine biosynthetic process" // "cellular amino acid biosynthetic process"	"sulfite reductase complex (NADPH)"	"sulfite reductase (ferredoxin) activity" // "sulfite reductase activity" // "iron-sulfur cluster binding" // "protein binding" // "NADP binding" // "metal ion binding" // "4 iron, 4 sulfur cluster binding" // "heme binding" // "oxidoreductase activity" // "sulfite reductase (NADPH) activity"
"naRNA4"		4326005	4326081	"naRNA4"	"Chromosome Region 88, 4295973->4345351"	"bacterial nucleoid DNA packaging" // "nucleoid organization"	""	"protein binding"
"ssuB"	"b0933"	993277	994044	"aliphatic sulfonate ABC transporter ATP binding subunit"	"Chromosome Region 21, 987580->1036958" // "ssuEADCB"	"transmembrane transport" // "anion transmembrane transport" // "anion transport" // "sulfur compound metabolic process" // "alkanesulfonate transport"	"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing" // "ATP-binding cassette (ABC) transporter complex" // "cytosol" // "plasma membrane" // "membrane"	"transmembrane transporter activity" // "anion transmembrane transporter activity" // "alkanesulfonate transmembrane transporter activity" // "ATPase activity" // "hydrolase activity" // "ATP binding" // "nucleotide binding"
"micL"	"b4717"	1958441	1958520	"small regulatory RNA MicL-S"	"micL" // "micL" // "Chromosome Region 40, 1925781->1975159"	"negative regulation of bacterial-type flagellum-dependent cell motility" // "negative regulation of translation, ncRNA-mediated"	""	"protein binding" // "mRNA binding"
"cysC"	"b2750"	2873387	2873992	"adenylyl-sulfate kinase"	"Chromosome Region 59, 2863982->2913360" // "cysDNC"	"sulfate assimilation" // "hydrogen sulfide biosynthetic process" // "phosphorylation"	"cytosol"	"identical protein binding" // "transferase activity" // "kinase activity" // "ATP binding" // "nucleotide binding" // "adenylylsulfate kinase activity"
"insJK"		3720680	3722049	"IS150 protein InsAB"	"Chromosome Region 76, 3703425->3752803"	"transposition, DNA-mediated"	""	"transposase activity"
"ynjE"	"b1757"	1839467	1840774	"molybdopterin synthase sulfurtransferase"	"Chromosome Region 38, 1827023->1876401" // "ynjEp" // "ynjE"	"transsulfuration"	"periplasmic space"	"transferase activity" // "sulfurtransferase activity" // "thiosulfate sulfurtransferase activity"
"ybeL"	"b0643"	675018	675500	"DUF1451 domain-containing protein YbeL"	"Chromosome Region 14, 641927->691305" // "ybeL"	""	""	""
"yidJ"	"b3678"	3856911	3858404	"putative sulfatase/phosphatase YidJ"	"Chromosome Region 79, 3851562->3900940" // "yidK" // "yidJ"	""	""	"arylsulfatase activity" // "sulfuric ester hydrolase activity" // "catalytic activity" // "metal ion binding" // "hydrolase activity"
"hrpB"	"b0148"	162105	164534	"putative ATP-dependent RNA helicase HrpB"	"Chromosome Region 4, 148137->197515" // "hrpB"	""	""	"RNA helicase activity" // "nucleic acid binding" // "hydrolase activity" // "ATP binding" // "helicase activity" // "nucleotide binding"
"sufD"	"b1681"	1760520	1761791	"Fe-S cluster scaffold complex subunit SufD"	"Chromosome Region 36, 1728265->1777643" // "sufABCDSE"	"response to oxidative stress" // "iron-sulfur cluster assembly"	"iron-sulfur cluster assembly complex"	"protein binding"
"qseG"	"b2555"	2688793	2689506	"outer membrane lipoprotein QseG"	"Chromosome Region 55, 2666466->2715844" // "yfhG"	"regulation of protein phosphorylation" // "regulation of phosphorelay signal transduction system"	"anchored component of cell outer membrane" // "outer membrane-bounded periplasmic space"	"protein binding"
"sufA"	"b1684"	1764018	1764386	"iron-sulfur cluster insertion protein SufA"	"Chromosome Region 36, 1728265->1777643" // "sufABCDSE"	"protein maturation by iron-sulfur cluster transfer" // "response to oxidative stress" // "iron-sulfur cluster assembly"	"cytosol"	"iron-sulfur cluster binding" // "structural molecule activity" // "2 iron, 2 sulfur cluster binding" // "protein homodimerization activity" // "protein binding"
"pdeC"	"b4061"	4275471	4277057	"c-di-GMP phosphodiesterase PdeC"	"Chromosome Region 87, 4246594->4295972" // "yjcC"	""	"integral component of plasma membrane" // "outer membrane-bounded periplasmic space" // "cytosol" // "integral component of membrane" // "membrane" // "plasma membrane"	"cyclic-guanylate-specific phosphodiesterase activity" // "hydrolase activity"
"ydeN"	"b1498"	1580842	1582524	"putative sulfatase YdeN"	"Chromosome Region 33, 1580128->1629506" // "ydeM" // "ydeNp" // "ydeN" // "ydeN"	""	"outer membrane-bounded periplasmic space"	"arylsulfatase activity" // "sulfuric ester hydrolase activity" // "catalytic activity" // "metal ion binding" // "hydrolase activity"
"yebE"	"b1846"	1929048	1929707	"DUF533 domain-containing inner membrane protein YebE"	"Chromosome Region 40, 1925781->1975159" //  // "yebEp" // "yebE"	""	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	""
"cysJ"	"b2764"	2890099	2891898	"sulfite reductase, flavoprotein subunit"	"Chromosome Region 59, 2863982->2913360" // "cysJIH"	"sulfate assimilation" // "hydrogen sulfide biosynthetic process" // "oxidation-reduction process" // "cysteine biosynthetic process" // "cellular amino acid biosynthetic process"	"cytosol" // "sulfite reductase complex (NADPH)"	"NADP+ binding" // "oxidoreductase activity" // "riboflavin reductase (NADPH) activity" // "flavin adenine dinucleotide binding" // "FMN binding" // "protein binding" // "sulfite reductase (NADPH) activity"
"smf"	"b4473"	3432436	3433560	"protein Smf"	"Chromosome Region 70, 3407151->3456529" // "smf"	"DNA mediated transformation"	"cytosol"	""
"csdA"	"b2810"	2943337	2944542	"cysteine sulfinate desulfinase"	"Chromosome Region 60, 2913361->2962739" // "csdE" // "csdA"	"iron-sulfur cluster assembly" // "sulfur amino acid metabolic process"	"cytosol"	"transferase activity" // "selenocysteine lyase activity" // "catalytic activity" // "cysteine desulfurase activity" // "sulfurtransferase activity" // "pyridoxal phosphate binding" // "lyase activity" // "protein binding"
"argK"	"b2918"	3062987	3063982	"methylmalonyl-CoA mutase-interacting GTPase YgfD"	"Chromosome Region 63, 3061498->3110876" // "scpA-argK-scpBC"	""	"cytosol"	"hydrolase activity" // "GTP binding" // "protein binding" // "GTPase activity" // "ATP binding" // "nucleotide binding"
"cysD"	"b2752"	2875421	2876329	"sulfate adenylyltransferase subunit 2"	"Chromosome Region 59, 2863982->2913360" // "cysDNC"	"sulfate assimilation" // "response to oxidative stress" // "sulfate reduction" // "hydrogen sulfide biosynthetic process" // "sulfur compound metabolic process"	"sulfate adenylyltransferase complex (ATP)" // "cytosol"	"nucleotidyltransferase activity" // "transferase activity" // "catalytic activity" // "protein binding" // "ATP binding" // "nucleotide binding" // "sulfate adenylyltransferase (ATP) activity"
"ytfK"	"b4217"	4439587	4439793	"DUF1107 domain-containing protein YtfK"	"Chromosome Region 90, 4394731->4444109" // "ytfK"	"response to oxidative stress"	""	""
"rutD"	"b1009"	1070965	1071765	"putative aminoacrylate hydrolase RutD"	"Chromosome Region 22, 1036959->1086337" // "rutABCDEFG"	"uracil catabolic process" // "pyrimidine nucleobase catabolic process" // "nitrogen utilization"	""	"protein homodimerization activity" // "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides" // "hydrolase activity"
"yidA"	"b3697"	3876140	3876952	"sugar phosphatase YidA"	"Chromosome Region 79, 3851562->3900940" // "yidA"	"dephosphorylation"	"cytosol"	"metal ion binding" // "phosphatase activity" // "hydrolase activity" // "magnesium ion binding" // "sugar-phosphatase activity"
"hcp"	"b0873"	912162	913814	"protein <i>S</i>-nitrosylase"	"hcp-hcr-poxB" // "Chromosome Region 19, 888822->938200" // "hcp-hcr" // "hcp-hcr"	"peptidyl-cysteine S-nitrosylation" // "peptidyl-cysteine S-trans-nitrosylation" // "nitric oxide catabolic process" // "cellular oxidant detoxification" // "response to hydrogen peroxide" // "oxidation-reduction process" // "nitrogen compound metabolic process"	"cytosol" // "cytoplasm"	"protein binding" // "oxidoreductase activity, acting on other nitrogenous compounds as donors" // "oxidoreductase activity" // "catalytic activity" // "peroxidase activity" // "2 iron, 2 sulfur cluster binding" // "iron-sulfur cluster binding" // "metal ion binding" // "hydroxylamine reductase activity"
"yhfX"	"b3381"	3509813	3510976	"putative PLP-binding protein YhfX"	"Chromosome Region 72, 3505909->3555287" // "yhfX" // "yhfW" // "php" // "yhfU" // "yhfT" // "yhfS"	""	""	""
"phnO"	"b4093"	4315104	4315538	"aminoalkylphosphonate <i>N</i>-acetyltransferase"	"Chromosome Region 88, 4295973->4345351" // "phnLMNOP" // "phnCDEEFGHIJKLMNOP"	"internal peptidyl-lysine acetylation" // "aminophosphonate metabolic process"	"cytoplasm" // "cytosol"	"peptide-lysine-N-acetyltransferase activity" // "N-acetyltransferase activity" // "transferase activity" // "transferase activity, transferring acyl groups"
"nlpC"	"b1708"	1792267	1792731	"NlpC/P60 family lipoprotein NlpC"	"Chromosome Region 37, 1777644->1827022" // "nlpC"	"proteolysis"	"outer membrane-bounded periplasmic space" // "plasma membrane" // "membrane"	"hydrolase activity" // "cysteine-type peptidase activity" // "peptidase activity"
"allE"	"b0515"	543261	544046	"(S)-ureidoglycine aminohydrolase"	"Chromosome Region 12, 543169->592547" // "allDC-ylbA"	"purine nucleobase metabolic process"	"cytoplasm"	"metal ion binding" // "hydrolase activity" // "ureidoglycine aminohydrolase activity" // "manganese ion binding"
"yraJ"	"b3144"	3288814	3291330	"putative fimbrial usher protein YraJ"	"Chromosome Region 67, 3259014->3308392" // "yraK" // "yraJ" // "yraI"	"transmembrane transport" // "pilus assembly" // "cellular response to DNA damage stimulus" // "pilus organization"	"integral component of membrane" // "membrane" // "cell outer membrane"	"fimbrial usher porin activity"
"nac"	"b1988"	2061016	2061933	"DNA-binding transcriptional dual regulator Nac"	"Chromosome Region 42, 2024539->2073917" // "nac"	"regulation of transcription, DNA-templated" // "nitrate assimilation" // "negative regulation of transcription, DNA-templated" // "positive regulation of transcription, DNA-templated"	"cytosol" // "cytoplasm"	"DNA binding" // "DNA-binding transcription factor activity"
"pspE"	"b1308"	1369689	1370003	"thiosulfate sulfurtransferase PspE"	"Chromosome Region 28, 1333233->1382611" // "pspBCDE" // "pspE" // "pspABCDE"	""	"outer membrane-bounded periplasmic space" // "periplasmic space"	"transferase activity" // "thiosulfate sulfurtransferase activity"
"aegA"	"b2468"	2583546	2585525	"putative oxidoreductase AegA"	"Chromosome Region 53, 2567708->2617086" // "aegA"	"urate catabolic process" // "glutamate biosynthetic process" // "oxidation-reduction process"	"cytosol"	"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor" // "4 iron, 4 sulfur cluster binding" // "iron-sulfur cluster binding" // "metal ion binding" // "oxidoreductase activity"
"yqgE"	"b2948"	3092937	3093500	"DUF179 domain-containing protein YqgE"	"Chromosome Region 63, 3061498->3110876" // "yqgF" // "yqgE"	""	"cytosol"	""
"patD"	"b1444"	1515578	1517002	"&gamma;-aminobutyraldehyde dehydrogenase"	"Chromosome Region 31, 1481370->1530748" // "ydcSTUV-patD" // "ydcSTUV-patD" // "ydcSTUV-patD" // "patD"	"protein homotetramerization" // "oxidation-reduction process" // "putrescine catabolic process"	"cytosol"	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor" // "aldehyde dehydrogenase (NAD+) activity" // "oxidoreductase activity" // "NAD binding" // "identical protein binding" // "1-pyrroline dehydrogenase activity" // "aminobutyraldehyde dehydrogenase activity"
"ygcP"	"b2768"	2894196	2894771	"putative anti-terminator regulatory protein"	"Chromosome Region 59, 2863982->2913360" // "ygcP" // "ygcO" // "ygcN"	"transcription antitermination" // "glycerol metabolic process" // "regulation of transcription, DNA-templated"	"cytosol"	"transcription antitermination factor activity, RNA binding" // "protein binding"
"glnK"	"b0450"	472598	472936	"uridylyl-[GlnK]" // "nitrogen regulator GlnK"	"Chromosome Region 10, 444411->493789" // "glnK-amtB"	"regulation of catalytic activity" // "regulation of nitrogen utilization" // "positive regulation of nitrogen utilization"	""	"identical protein binding" // "enzyme regulator activity" // "protein binding" // "nucleotide binding"
"yfeX"	"b2431"	2549646	2550545	"porphyrinogen peroxidase"	"Chromosome Region 52, 2518329->2567707" // "yfeYX"	"cellular oxidant detoxification" // "oxidation-reduction process"	"cytosol" // "cytoplasm"	"oxidoreductase activity" // "metal ion binding" // "peroxidase activity" // "heme binding"
"rutC"	"b1010"	1071773	1072159	"putative aminoacrylate peracid reductase RutC"	"Chromosome Region 22, 1036959->1086337" // "rutABCDEFG"	"organonitrogen compound catabolic process" // "oxidation-reduction process" // "uracil catabolic process" // "pyrimidine nucleobase catabolic process" // "nitrogen utilization"	"cytosol"	"deaminase activity" // "oxidoreductase activity"
