annotation,b_number,complex,gene_name,n_copies
hydroxymethylpyrimidine kinase,b2462,CPLX0-7836,ypfe,6.0
glyceraldehyde-3-phosphate dehydrogenase,b1779,GAPDH-A-CPLX,gad,4.0
glyceraldehyde-3-phosphate dehydrogenase,b3599,CPLX-166,mtlc,2.0
glyceraldehyde-3-phosphate dehydrogenase,b3934,CPLX0-7740,cytr,2.0
glyceraldehyde-3-phosphate dehydrogenase,b0186,LDC2-CPLX,ldcc,10.0
aspartate carbamoyltransferase,b4245,ASPCARBTRANS-CPLX,pyrb,6.0
aspartate carbamoyltransferase,b4244,ASPCARBTRANS-CPLX,pyri,6.0
aspartate carbamoyltransferase,b3321,CPLX0-7879,nuse,1.0
aspartate carbamoyltransferase,b0416,CPLX0-7879,ssyb,1.0
glutamate decarboxylase A,b3517,GLUTDECARBOXA-CPLX,gads,6.0
glutamate decarboxylase A,b0963,METHGLYSYN-CPLX,mgs,6.0
glutamate decarboxylase A,b2146,CPLX0-7788,pret,2.0
glutamate decarboxylase A,b2147,CPLX0-7788,prea,2.0
glutamate decarboxylase A,b1817,CPLX0-7921,manx,2.0
glutamate decarboxylase A,b1683,CPLX0-1341,ynhe,1.0
glutamate decarboxylase A,b1682,CPLX0-1341,ynhd,2.0
glutamate decarboxylase A,b1681,CPLX0-1341,ynhc,1.0
glutamate-1-semialdehyde aminotransferase,b0154,GSAAMINOTRANS-CPLX,gsa,2.0
nitrite reductase - NADH dependent,b3366,NITRITREDUCT-CPLX,nird,1.0
nitrite reductase - NADH dependent,b3365,NITRITREDUCT-CPLX,nirb,1.0
nitrite reductase - NADH dependent,b1654,CPLX0-7817,ydhd,2.0
nitrite reductase - NADH dependent,b1034,CPLX0-7945,ycdx,3.0
cobinamide-P guanylyltransferase,b1993,COBU-CPLX,cobu,2.0
cobinamide-P guanylyltransferase,b0710,CPLX0-1863,ybgi,6.0
cobinamide-P guanylyltransferase,b1732,HYDROPEROXIDII-CPLX,kate,4.0
pantothenate kinase,b3974,PANTOTHENATE-KIN-CPLX,rts,2.0
pantothenate kinase,b1337,CPLX0-7844,ydai,2.0
pantothenate kinase,b1338,CPLX0-7844,ydaj,2.0
pantothenate kinase,b4327,CPLX0-7970,hypt,2.0
pantothenate kinase,b3343,CPLX-3942,tusb,2.0
pantothenate kinase,b3344,CPLX-3942,yhem,2.0
pantothenate kinase,b3345,CPLX-3942,yhen,2.0
pantothenate kinase,b0937,CPLX0-224,ycbp,2.0
lysine&mdash;tRNA ligase,b4129,LYSU-CPLX,lysu,2.0
phosphoenolpyruvate carboxylase,b3956,PEPCARBOX-CPLX,glu,4.0
phosphoenolpyruvate carboxylase,b2162,CPLX0-7904,yeik,4.0
phosphoenolpyruvate carboxylase,b3790,CPLX0-7990,rff,4.0
phosphoenolpyruvate carboxylase,b2374,CPLX0-1142,yfdw,2.0
phosphoenolpyruvate carboxylase,b3425,CPLX0-242,glpe,2.0
phosphoenolpyruvate carboxylase,b2818,N-ACETYLTRANSFER-CPLX,arga,6.0
phosphoenolpyruvate carboxylase,b0091,CPLX0-8014,murc,2.0
phosphoenolpyruvate carboxylase,b0337,CPLX0-7932,coda,6.0
methylmalonyl-CoA decarboxylase,b2919,CPLX0-254,scpb,6.0
methylmalonyl-CoA decarboxylase,b0159,CPLX0-1541,mtn,2.0
5-(carboxyamino)imidazole ribonucleotide synthase,b0522,PURK-CPLX,purk,2.0
5-(carboxyamino)imidazole ribonucleotide synthase,b2518,NUCLEOSIDE-DIP-KIN-CPLX,ndk,4.0
5-(carboxyamino)imidazole ribonucleotide synthase,b4255,CPLX0-8096,yjgd,2.0
5-(carboxyamino)imidazole ribonucleotide synthase,b4067,CPLX0-7955,yjcg,2.0
5-(carboxyamino)imidazole ribonucleotide synthase,b4201,CPLX0-3,prib,2.0
5-(carboxyamino)imidazole ribonucleotide synthase,b4291,CPLX0-1943,feca,1.0
5-(carboxyamino)imidazole ribonucleotide synthase,b3005,CPLX0-1943,exbd,1.0
5-(carboxyamino)imidazole ribonucleotide synthase,b3006,CPLX0-1943,exbb,1.0
5-(carboxyamino)imidazole ribonucleotide synthase,b1252,CPLX0-1943,exba,1.0
5-(carboxyamino)imidazole ribonucleotide synthase,b0061,RIBULPEPIM-CPLX,arad,4.0
5-(carboxyamino)imidazole ribonucleotide synthase,b4043,PC00010,lexa,2.0
tetrahydrodipicolinate succinylase,b0166,CPLX0-3181,ssa,2.0
tetrahydrodipicolinate succinylase,b1734,CPLX0-7979,ydjd,4.0
tetrahydrodipicolinate succinylase,b0477,CPLX0-322,gsk,2.0
2-<i>C</i>-methyl-D-erythritol 4-phosphate cytidylyltransferase,b2747,CPLX0-234,ygbp,2.0
molybdopterin adenylyltransferase,b0009,CPLX0-8163,yaag,3.0
molybdopterin adenylyltransferase,b2297,PHOSACETYLTRANS-CPLX,pta,6.0
molybdopterin adenylyltransferase,b3887,CPLX0-3581,dtd,2.0
molybdopterin adenylyltransferase,b3783,CPLX0-2441,rnsc,6.0
molybdopterin adenylyltransferase,b3035,TRANS-CPLX-201,weea,3.0
molybdopterin adenylyltransferase,b0463,TRANS-CPLX-201,sipb,6.0
molybdopterin adenylyltransferase,b0462,TRANS-CPLX-201,acre,3.0
molybdopterin adenylyltransferase,b1854,PKII-CPLX,pyka,4.0
galactitol-1-phosphate 5-dehydrogenase,b2091,CPLX0-8186,gatd,2.0
dTDP-glucose pyrophosphorylase,b2039,CPLX0-8034,som,4.0
dTDP-glucose pyrophosphorylase,b1842,CPLX0-3803,hole,3.0
dTDP-glucose pyrophosphorylase,b0215,CPLX0-3803,mutd,3.0
dTDP-glucose pyrophosphorylase,b0184,CPLX0-3803,sdgc,3.0
dTDP-glucose pyrophosphorylase,b0640,CPLX0-3803,hola,1.0
dTDP-glucose pyrophosphorylase,b1099,CPLX0-3803,holb,1.0
dTDP-glucose pyrophosphorylase,b0470,CPLX0-3803,dnaz,5.0
dTDP-glucose pyrophosphorylase,b3701,CPLX0-3803,dnan,4.0
dTDP-glucose pyrophosphorylase,b4372,CPLX0-3803,hold,4.0
dTDP-glucose pyrophosphorylase,b4259,CPLX0-3803,holc,4.0
dTDP-glucose pyrophosphorylase,b0473,CPLX0-2641,htpg,2.0
dTDP-glucose pyrophosphorylase,b0174,UPPSYN-CPLX,ispu,2.0
dTDP-glucose pyrophosphorylase,b4051,QOR-CPLX,hzc,2.0
dTDP-glucose pyrophosphorylase,b3509,CPLX0-8207,yhhd,2.0
dTDP-glucose pyrophosphorylase,b1421,CPLX0-8105,mcp-iii,2.0
dTDP-glucose pyrophosphorylase,b2617,CPLX0-3933,smqa,1.0
dTDP-glucose pyrophosphorylase,b2477,CPLX0-3933,bamc,1.0
dTDP-glucose pyrophosphorylase,b2595,CPLX0-3933,bamd,1.0
dTDP-glucose pyrophosphorylase,b0177,CPLX0-3933,bama,1.0
dTDP-glucose pyrophosphorylase,b2512,CPLX0-3933,bamb,1.0
dTDP-glucose pyrophosphorylase,b4260,CPLX0-3061,pepa,6.0
dTDP-glucose pyrophosphorylase,b1803,CPLX0-8232,yeax,1.0
dTDP-glucose pyrophosphorylase,b1802,CPLX0-8232,yeaw,1.0
dTDP-glucose pyrophosphorylase,b3705,SECD-SECF-YAJC-YIDC-CPLX,yidc,1.0
dTDP-glucose pyrophosphorylase,b0407,SECD-SECF-YAJC-YIDC-CPLX,yajc,1.0
dTDP-glucose pyrophosphorylase,b0409,SECD-SECF-YAJC-YIDC-CPLX,secf,1.0
dTDP-glucose pyrophosphorylase,b0408,SECD-SECF-YAJC-YIDC-CPLX,secd,1.0
dTDP-glucose pyrophosphorylase,b0397,CPLX0-3957,sbcc,1.0
dTDP-glucose pyrophosphorylase,b0398,CPLX0-3957,yaja,2.0
dTDP-glucose pyrophosphorylase,b3368,SIROHEMESYN-CPLX,cysg,2.0
dTDP-glucose pyrophosphorylase,b4000,CPLX0-8256,hupa,2.0
"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",b1686,CPLX0-8128,meni,4.0
"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",b2532,CPLX0-7420,yfhq,2.0
"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",b2287,CPLX0-3361,nuob,1.0
"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",b2286,CPLX0-3361,nuod,1.0
"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",b2285,CPLX0-3361,nuoe,1.0
"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",b2284,CPLX0-3361,nuof,1.0
"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",b2283,CPLX0-3361,nuog,1.0
"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",b2281,CPLX0-3361,nuoi,1.0
3-methyl-2-oxobutanoate hydroxymethyltransferase,b0134,3-METHYL-2-OXOBUT-OHCH3XFER-CPLX,panb,10.0
thioredoxin reductase,b0888,THIOREDOXIN-REDUCT-NADPH-CPLX,trxb,2.0
thioredoxin reductase,b1614,CPLX0-8281,ydga,2.0
thioredoxin reductase,b2754,CPLX0-8174,ygbf,2.0
thioredoxin reductase,b2755,CPLX0-8174,ygbt,2.0
thioredoxin reductase,b2264,CPLX0-7525,mend,2.0
ADP-L-glycero-D-mannoheptose 6-epimerase,b3619,CPLX0-3681,hldd,5.0
ADP-L-glycero-D-mannoheptose 6-epimerase,b1900,ABC-2-CPLX,arag,2.0
ADP-L-glycero-D-mannoheptose 6-epimerase,b4460,ABC-2-CPLX,arah,2.0
ADP-L-glycero-D-mannoheptose 6-epimerase,b1901,ABC-2-CPLX,araf,1.0
ADP-L-glycero-D-mannoheptose 6-epimerase,b2935,TRANSKETOI-CPLX,tkta,2.0
ADP-L-glycero-D-mannoheptose 6-epimerase,b0959,CPLX0-8312,yccr,1.0
ADP-L-glycero-D-mannoheptose 6-epimerase,b3357,CPLX0-8312,crp,1.0
ADP-L-glycero-D-mannoheptose 6-epimerase,b2614,CPLX0-8192,grpe,2.0
ADP-L-glycero-D-mannoheptose 6-epimerase,b2456,CPLX0-7613,yffy,6.0
ADP-L-glycero-D-mannoheptose 6-epimerase,b0966,CPLX0-3921,yccv,2.0
ADP-L-glycero-D-mannoheptose 6-epimerase,b2198,ABC-35-CPLX,ccmd,1.0
ADP-L-glycero-D-mannoheptose 6-epimerase,b2200,ABC-35-CPLX,ccmb,1.0
ADP-L-glycero-D-mannoheptose 6-epimerase,b2201,ABC-35-CPLX,ccma,2.0
ADP-L-glycero-D-mannoheptose 6-epimerase,b2197,ABC-35-CPLX,ccme,1.0
ADP-L-glycero-D-mannoheptose 6-epimerase,b2199,ABC-35-CPLX,ccmc,1.0
ADP-L-glycero-D-mannoheptose 6-epimerase,b1600,YDGEF-CPLX,mdtj,1.0
ADP-L-glycero-D-mannoheptose 6-epimerase,b1599,YDGEF-CPLX,mdti,1.0
ADP-L-glycero-D-mannoheptose 6-epimerase,b2143,CYTIDEAM-CPLX,cdd,2.0
ADP-L-glycero-D-mannoheptose 6-epimerase,b4190,CPLX0-8214,yjfp,2.0
ADP-L-glycero-D-mannoheptose 6-epimerase,b2800,CPLX0-7633,prd,4.0
ADP-L-glycero-D-mannoheptose 6-epimerase,b1396,CPLX0-3941,ydbv,4.0
Autoinducer-2 ABC transporter,b1516,ABC-58-CPLX,lsrb,1.0
Autoinducer-2 ABC transporter,b1515,ABC-58-CPLX,ydez,1.0
Autoinducer-2 ABC transporter,b1514,ABC-58-CPLX,ydey,1.0
Autoinducer-2 ABC transporter,b1513,ABC-58-CPLX,ydex,2.0
Autoinducer-2 ABC transporter,b1203,CPLX0-8240,ychf,2.0
Autoinducer-2 ABC transporter,b0578,DIHYDROPTERIREDUCT-CPLX,ntr,2.0
Autoinducer-2 ABC transporter,b2467,CPLX0-3971,yffh,2.0
D-sedoheptulose 7-phosphate isomerase,b0222,CPLX0-7660,yafi,4.0
1-deoxy-D-xylulose-5-phosphate synthase,b0420,CPLX0-743,yajp,2.0
acetyl-CoA acetyltransferase,b2224,ACETYL-COA-ACETYLTRANSFER-CPLX,atob,4.0
8-amino-7-oxononanoate synthase,b0776,7KAPSYN-CPLX,biof,2.0
enolase,b2779,ENOLASE-CPLX,eno,2.0
ribose-phosphate diphosphokinase,b1207,CPLX0-8299,dnar,6.0
ribose-phosphate diphosphokinase,b1525,CPLX0-7687,ynei,2.0
ribose-phosphate diphosphokinase,b4115,CPLX0-7535,yjdd,2.0
aerobic glycerol 3-phosphate dehydrogenase,b3426,AERGLYC3PDEHYDROG-CPLX,glyd,2.0
aerobic glycerol 3-phosphate dehydrogenase,b0855,ABC-25-CPLX,potg,2.0
aerobic glycerol 3-phosphate dehydrogenase,b0856,ABC-25-CPLX,poth,1.0
aerobic glycerol 3-phosphate dehydrogenase,b0857,ABC-25-CPLX,poti,1.0
aerobic glycerol 3-phosphate dehydrogenase,b0854,ABC-25-CPLX,potf,1.0
formate hydrogenlyase complex,b4079,FHLMULTI-CPLX,chlf,1.0
formate hydrogenlyase complex,b2721,FHLMULTI-CPLX,heve,1.0
formate hydrogenlyase complex,b2724,FHLMULTI-CPLX,hevb,1.0
formate hydrogenlyase complex,b2719,FHLMULTI-CPLX,hevg,1.0
formate hydrogenlyase complex,b2720,FHLMULTI-CPLX,hevf,1.0
formate hydrogenlyase complex,b2723,FHLMULTI-CPLX,hevc,1.0
formate hydrogenlyase complex,b2722,FHLMULTI-CPLX,hevd,1.0
formate hydrogenlyase complex,b0220,CPLX0-921,ivy,2.0
formate hydrogenlyase complex,b0179,CPLX0-7711,fira,3.0
formate hydrogenlyase complex,b1166,CPLX0-7623,ymgb,2.0
formate hydrogenlyase complex,b3295,APORNAP-CPLX,sez,2.0
formate hydrogenlyase complex,b3988,APORNAP-CPLX,tabb,1.0
formate hydrogenlyase complex,b3987,APORNAP-CPLX,stl,1.0
formate hydrogenlyase complex,b4231,ABC-46-CPLX,yjff,1.0
formate hydrogenlyase complex,b4485,ABC-46-CPLX,ytfr,1.0
formate hydrogenlyase complex,b4230,ABC-46-CPLX,ytft,1.0
formate hydrogenlyase complex,b4227,ABC-46-CPLX,ytfq,1.0
formate hydrogenlyase complex,b2662,GABATRANSAM-CPLX,gabt,2.0
thymidine phosphorylase,b4382,DEOA-CPLX,ttg,2.0
thymidine phosphorylase,b2428,CPLX0-7732,yfeu,2.0
thymidine phosphorylase,b3752,CPLX0-7647,rbsk,2.0
aspartate ammonia-lyase,b4139,ASPARTASE-CPLX,aspa,4.0
Zn<sup>2+</sup> ABC transporter,b1858,ABC-63-CPLX,znuc,2.0
Zn<sup>2+</sup> ABC transporter,b1859,ABC-63-CPLX,znub,2.0
Zn<sup>2+</sup> ABC transporter,b1857,ABC-63-CPLX,znua,1.0
glutamine synthetase,b3870,GLUTAMINESYN-OLIGOMER,glna,12.0
glutamine synthetase,b0604,DSBG-CPLX,dsbg,2.0
glutamine synthetase,b0597,CPLX0-7766,ybdb,4.0
glutamine synthetase,b0817,CPLX0-7672,mntr,2.0
glutamine synthetase,b2234,B1-CPLX,dnaf,2.0
glutamine synthetase,b0617,ACPSUB-CPLX,ybdx,6.0
GMP reductase,b0104,GMP-REDUCT-CPLX,guac,4.0
ethanolamine ammonia-lyase,b2441,ETHAMLY-CPLX,eutb,6.0
ethanolamine ammonia-lyase,b2440,ETHAMLY-CPLX,eutc,6.0
ethanolamine ammonia-lyase,b1019,CPLX0-7810,ycdb,2.0
ethanolamine ammonia-lyase,b1524,CPLX0-7695,glsb,2.0
ethanolamine ammonia-lyase,b0616,CITRYLY-CPLX,ybdw,6.0
ethanolamine ammonia-lyase,b0383,ALKAPHOSPHA-CPLX,psia,2.0
homoserine <i>O</i>-succinyltransferase,b4013,HOMSUCTRAN-CPLX,meta,2.0
homoserine <i>O</i>-succinyltransferase,b3894,FORMATEDEHYDROGO-CPLX,fdog,1.0
homoserine <i>O</i>-succinyltransferase,b3893,FORMATEDEHYDROGO-CPLX,fdoh,1.0
homoserine <i>O</i>-succinyltransferase,b3892,FORMATEDEHYDROGO-CPLX,fdoi,1.0
homoserine <i>O</i>-succinyltransferase,b2811,CPLX0-7839,ygdk,2.0
undecaprenyl-phosphate-&alpha;-L-Ara4N flippase,b4544,CPLX0-7720,arne,1.0
undecaprenyl-phosphate-&alpha;-L-Ara4N flippase,b2258,CPLX0-7720,arnf,1.0
undecaprenyl-phosphate-&alpha;-L-Ara4N flippase,b2702,CPLX-169,srla,1.0
undecaprenyl-phosphate-&alpha;-L-Ara4N flippase,b2704,CPLX-169,srlb,1.0
undecaprenyl-phosphate-&alpha;-L-Ara4N flippase,b2703,CPLX-169,srle,1.0
chorismate synthase,b2329,AROC-CPLX,aroc,4.0
chorismate synthase,b0415,LUMAZINESYN-CPLX,ybaf,60.0
chorismate synthase,b1761,GDHA-CPLX,gdha,6.0
chorismate synthase,b2379,CPLX0-7887,yfdz,2.0
chorismate synthase,b2427,CPLX0-7745,murr,4.0
chorismate synthase,b0406,CPLX0-1101,tgt,3.0
chorismate synthase,b4024,ASPKINIII-CPLX,apk,2.0
chorismate synthase,b3601,MONOMER0-2461,mtlr,4.0
chorismate synthase,b1182,MONOMER0-2461,hpr,4.0
glutamate-5-semialdehyde dehydrogenase,b0243,GLUTSEMIALDEHYDROG-CPLX,proa,4.0
glutamate-5-semialdehyde dehydrogenase,b1449,CPLX0-7927,yncb,2.0
glutamate-5-semialdehyde dehydrogenase,b3882,CPLX0-7794,squu,4.0
glutamate-5-semialdehyde dehydrogenase,b2209,CPLX0-1441,eti,2.0
glutamate-5-semialdehyde dehydrogenase,b0775,BIOTIN-SYN-CPLX,biob,2.0
glutamate-5-semialdehyde dehydrogenase,b2675,NRDE-CPLX,nrde,2.0
glutamate-5-semialdehyde dehydrogenase,b1277,GTP-CYCLOHYDRO-II-CPLX,riba,2.0
glutamate-5-semialdehyde dehydrogenase,b0349,CPLX0-7950,mhpc,2.0
glutamate-5-semialdehyde dehydrogenase,b1517,CPLX0-7820,lsrf,10.0
glutamate-5-semialdehyde dehydrogenase,b3966,CPLX0-1924,cer,1.0
glutamate-5-semialdehyde dehydrogenase,b3005,CPLX0-1924,exbd,1.0
glutamate-5-semialdehyde dehydrogenase,b3006,CPLX0-1924,exbb,1.0
glutamate-5-semialdehyde dehydrogenase,b1252,CPLX0-1924,exba,1.0
glutamate-5-semialdehyde dehydrogenase,b1736,CPLX-155,chba,1.0
glutamate-5-semialdehyde dehydrogenase,b1737,CPLX-155,chbc,1.0
glutamate-5-semialdehyde dehydrogenase,b1738,CPLX-155,chbb,1.0
glutamate-5-semialdehyde dehydrogenase,b3357,PC00004,crp,2.0
isocitrate lyase,b4015,ISOCIT-LYASE,icl,4.0
isocitrate lyase,b4390,CPLX0-7975,nadr,4.0
isocitrate lyase,[],CPLX0-7849,cplx0,1.0
isocitrate lyase,[],CPLX0-7849,holo,2.0
isocitrate lyase,b4237,CPLX0-229,yjge,2.0
isocitrate lyase,b2509,CPLX-3946,xsea,1.0
isocitrate lyase,b0422,CPLX-3946,yaje,4.0
phenylacetaldehyde dehydrogenase,b1385,PHENDEHYD-CPLX,ydbg,4.0
maltodextrin phosphorylase,b3417,MALDEXPHOSPHORYL-CPLX,mala,2.0
maltodextrin phosphorylase,b1021,CPLX0-7994,ycdp,1.0
maltodextrin phosphorylase,b1022,CPLX0-7994,ycdq,1.0
maltodextrin phosphorylase,b2631,CPLX0-7909,rnlb,1.0
maltodextrin phosphorylase,b2630,CPLX0-7909,yfjn,1.0
maltodextrin phosphorylase,b2231,CPLX0-2425,pard,2.0
maltodextrin phosphorylase,b3699,CPLX0-2425,nalc,2.0
maltodextrin phosphorylase,b3931,CPLX0-1163,htpi,12.0
maltodextrin phosphorylase,b3932,CPLX0-1163,clpq,12.0
maltodextrin phosphorylase,b0450,PII2-CPLX,ybai,3.0
maltodextrin phosphorylase,b3730,NAG1P-URIDYLTRANS-CPLX,yiea,3.0
maltodextrin phosphorylase,b1636,CPLX0-8031,ydgs,2.0
maltodextrin phosphorylase,b4098,CPLX0-7935,phnj,2.0
maltodextrin phosphorylase,b4099,CPLX0-7935,phni,2.0
maltodextrin phosphorylase,b4100,CPLX0-7935,phnh,2.0
maltodextrin phosphorylase,b4101,CPLX0-7935,phng,2.0
maltodextrin phosphorylase,b0924,CPLX0-2561,mukb,2.0
maltodextrin phosphorylase,b0922,CPLX0-2561,kicb,2.0
maltodextrin phosphorylase,b0923,CPLX0-2561,ycba,4.0
maltodextrin phosphorylase,b3929,CPLX0-1642,yiiv,3.0
pyrroline-5-carboxylate reductase,b0386,PYRROLINECARBREDUCT-CPLX,proc,10.0
pyrroline-5-carboxylate reductase,b4254,ORNCARBAMTRANSFERI-CPLX,argi,3.0
pyrroline-5-carboxylate reductase,b1886,CPLX0-8102,tar,2.0
pyrroline-5-carboxylate reductase,b4096,CPLX0-7958,phnl,1.0
pyrroline-5-carboxylate reductase,b4100,CPLX0-7958,phnh,1.0
pyrroline-5-carboxylate reductase,b4101,CPLX0-7958,phng,1.0
pyrroline-5-carboxylate reductase,b4099,CPLX0-7958,phni,1.0
pyrroline-5-carboxylate reductase,b4328,CPLX0-3021,yjif,8.0
pyrroline-5-carboxylate reductase,b4000,CPLX0-2021,hupa,1.0
pyrroline-5-carboxylate reductase,b0440,CPLX0-2021,dpea,1.0
phosphoribosylaminoimidazole-succinocarboxamide synthase,b3665,SAICARSYN-CPLX,ade,3.0
phosphoribosylaminoimidazole-succinocarboxamide synthase,b1275,PC00040,cysb,4.0
phosphoribosylaminoimidazole-succinocarboxamide synthase,b3253,CPLX0-8121,acui,2.0
phosphoribosylaminoimidazole-succinocarboxamide synthase,b0808,CPLX0-7983,ybio,7.0
phosphoribosylaminoimidazole-succinocarboxamide synthase,b0184,CPLX0-2361,sdgc,1.0
phosphoribosylaminoimidazole-succinocarboxamide synthase,b0215,CPLX0-2361,mutd,1.0
phosphoribosylaminoimidazole-succinocarboxamide synthase,b1842,CPLX0-2361,hole,1.0
UDP-<i>N</i>-acetylglucosamine 2-epimerase,b3786,CPLX0-8008,mnaa,2.0
UDP-<i>N</i>-acetylglucosamine 2-epimerase,b2530,CPLX0-248,nuvc,2.0
"guanosine-5'-triphosphate,3'-diphosphate phosphatase",b3779,PPPGPPHYDRO-CPLX,gppa,2.0
"guanosine-5'-triphosphate,3'-diphosphate phosphatase",b0827,CPLX0-8045,nare,2.0
"guanosine-5'-triphosphate,3'-diphosphate phosphatase",b1000,CPLX0-2802,cbpa,2.0
"guanosine-5'-triphosphate,3'-diphosphate phosphatase",b3700,RECFOR-CPLX,uvrf,1.0
"guanosine-5'-triphosphate,3'-diphosphate phosphatase",b0472,RECFOR-CPLX,recr,1.0
"guanosine-5'-triphosphate,3'-diphosphate phosphatase",b2565,RECFOR-CPLX,reco,1.0
"guanosine-5'-triphosphate,3'-diphosphate phosphatase",b3687,CPLX0-8108,htpn,2.0
"guanosine-5'-triphosphate,3'-diphosphate phosphatase",b0438,CPLX0-3102,lopc,6.0
"guanosine-5'-triphosphate,3'-diphosphate phosphatase",b0121,SPERMIDINESYN-CPLX,spee,2.0
"guanosine-5'-triphosphate,3'-diphosphate phosphatase",b4249,CPLX0-8154,bdca,2.0
"guanosine-5'-triphosphate,3'-diphosphate phosphatase",b3639,CPLX0-341,dfp,12.0
threonine dehydrogenase,b3616,THREODEHYD-CPLX,tdh,4.0
threonine dehydrogenase,b4517,CPLX0-8177,sfa,2.0
threonine dehydrogenase,b3701,CPLX0-3761,dnan,2.0
tryptophanase,b3708,TRYPTOPHAN-CPLX,tnaa,4.0
tryptophanase,b1489,CPLX0-8199,pdeo,2.0
tryptophanase,b4207,CPLX0-3924,ytfc,2.0
tryptophanase,b2668,CPLX0-8219,ygap,2.0
tryptophanase,b0068,CPLX0-3949,thib,6.0
tryptophanase,b0068,CPLX0-3949,thib,6.0
uracil:H<sup>+</sup> symporter UraA,b2497,CPLX0-8247,uraa,2.0
uracil:H<sup>+</sup> symporter UraA,b0897,CPLX0-661,ycac,8.0
uracil:H<sup>+</sup> symporter UraA,b3074,CPLX0-8269,ygjh,2.0
uracil:H<sup>+</sup> symporter UraA,b1879,CPLX0-7451,flah,1.0
uracil:H<sup>+</sup> symporter UraA,b1880,CPLX0-7451,yecq,1.0
uracil:H<sup>+</sup> symporter UraA,b1947,CPLX0-7451,flbd,1.0
uracil:H<sup>+</sup> symporter UraA,b1948,CPLX0-7451,flar,1.0
uracil:H<sup>+</sup> symporter UraA,b1945,CPLX0-7451,flaq,1.0
uracil:H<sup>+</sup> symporter UraA,b1950,CPLX0-7451,flap,1.0
uracil:H<sup>+</sup> symporter UraA,b1940,CPLX0-7451,flih,12.0
uracil:H<sup>+</sup> symporter UraA,b1937,CPLX0-7451,fla,6.0
uracil:H<sup>+</sup> symporter UraA,b1942,CPLX0-7451,flao,1.0
uracil:H<sup>+</sup> symporter UraA,b0809,ABC-12-CPLX,glnq,2.0
uracil:H<sup>+</sup> symporter UraA,b0810,ABC-12-CPLX,glnp,2.0
uracil:H<sup>+</sup> symporter UraA,b0811,ABC-12-CPLX,glnh,1.0
uracil:H<sup>+</sup> symporter UraA,b2786,CPLX0-8302,bara,2.0
uracil:H<sup>+</sup> symporter UraA,b4225,CPLX0-7561,yjfe,1.0
uracil:H<sup>+</sup> symporter UraA,b4224,CPLX0-7561,yjfb,1.0
uracil:H<sup>+</sup> symporter UraA,b3749,ABC-28-CPLX,rbsa,1.0
uracil:H<sup>+</sup> symporter UraA,b3750,ABC-28-CPLX,rbsc,2.0
uracil:H<sup>+</sup> symporter UraA,b3751,ABC-28-CPLX,rbsb,1.0
uracil:H<sup>+</sup> symporter UraA,b4399,CREC-CPLX,phom,2.0
uracil:H<sup>+</sup> symporter UraA,b2924,CPLX0-7626,mscs,7.0
uracil:H<sup>+</sup> symporter UraA,b1709,ABC-5-CPLX,btud,2.0
uracil:H<sup>+</sup> symporter UraA,b1711,ABC-5-CPLX,btuc,2.0
uracil:H<sup>+</sup> symporter UraA,b0158,ABC-5-CPLX,btuf,1.0
dGTP triphosphohydrolase,b0160,DGTPTRIPHYDRO-CPLX,dgt,6.0
dGTP triphosphohydrolase,b3903,CPLX0-7652,rhaa,4.0
dGTP triphosphohydrolase,b3917,ABC-70-CPLX,sbp,1.0
dGTP triphosphohydrolase,b2423,ABC-70-CPLX,cysw,1.0
dGTP triphosphohydrolase,b2424,ABC-70-CPLX,cysu,1.0
dGTP triphosphohydrolase,b2422,ABC-70-CPLX,cysa,2.0
1-deoxy-D-xylulose 5-phosphate reductoisomerase,b0173,DXPREDISOM-CPLX,yaem,2.0
1-deoxy-D-xylulose 5-phosphate reductoisomerase,b3292,CPLX0-7678,yhdm,2.0
1-deoxy-D-xylulose 5-phosphate reductoisomerase,b1805,ACYLCOASYN-CPLX,oldd,2.0
1-deoxy-D-xylulose 5-phosphate reductoisomerase,b4232,F16B-CPLX,fdp,4.0
1-deoxy-D-xylulose 5-phosphate reductoisomerase,b0922,CPLX0-7698,kicb,2.0
1-deoxy-D-xylulose 5-phosphate reductoisomerase,b1386,AMINEOXID-CPLX,maoa,2.0
formyltetrahydrofolate deformylase,b1232,FORMYLTHFDEFORMYL-CPLX,ychi,6.0
2-keto-3-deoxy-L-rhamnonate aldolase,b2245,CPLX0-7723,yfau,6.0
3-deoxy-7-phosphoheptulonate synthase,b0754,AROG-CPLX,arog,4.0
glucose-1-phosphate adenylyltransferase,b3430,GLUC1PADENYLTRANS-CPLX,glgc,4.0
glucose-1-phosphate adenylyltransferase,b3669,CPLX0-7754,uhpa,2.0
glucose-1-phosphate adenylyltransferase,b2221,ATOD-CPLX,atod,2.0
glycerol kinase,b3926,GLYCEROL-KIN-CPLX,glpk,4.0
glycerol kinase,b1334,CPLX0-7797,fnr,2.0
