gene_name	ecocyc_gene_id	b_number	gene_product	go_terms	synonyms	common_name	mw_kda
ydjX	G6945	b1750	DedA family protein YdjX	GO:0005886 // GO:0016021 // GO:0016020	YdjX	DedA family protein YdjX	26.058
ppx	EG11403	b2502	exopolyphosphatase	GO:0042802 // GO:0006793 // GO:0042803 // GO:0016787 // GO:0005829 // GO:0005886 // GO:0006798 // GO:0016020 // GO:0004309	Ppx	exopolyphosphatase	58.136
yneE	G6807	b1520	PF01062 family inner membrane protein YneE	GO:0005886 // GO:0016021 // GO:0016020 // GO:0006928	YneE	PF01062 family inner membrane protein YneE	34.809
phnP	EG10725	b4092	"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase"	GO:0042803 // GO:0103043 // GO:0005829 // GO:0046872 // GO:0016787 // GO:0008081 // GO:0030145 // GO:0019700	PhnP	"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase"	27.848
ycgV	G6629	b1202	putative autotransporter adhesin YcgV	GO:0015475 // GO:0019867 // GO:0043708	YcgV	putative autotransporter adhesin YcgV	99.685
ugpC	EG11048	b3450	sn-glycerol 3-phosphate ABC transporter ATP binding subunit	GO:0015169 // GO:0001406 // GO:0005829 // GO:0005886 // GO:0001407 // GO:0055052 // GO:0043190 // GO:0016887 // GO:0008643 // GO:0016020 // GO:0015794 // GO:0005524 // GO:0000166 // GO:0015430		sn-glycerol 3-phosphate ABC transporter ATP binding subunit	39.524
elfC	G6482	b0940	putative fimbrial usher protein ElfC	GO:0008201 // GO:0009297 // GO:0055085 // GO:0043711 // GO:0015473 // GO:0016021 // GO:0016020 // GO:0009279	"ElfC // ""YcbS"""	putative fimbrial usher protein ElfC	95.242
phnL	EG10721	b4096	methylphosphonate degradation complex subunit PhnL	GO:0061694 // GO:0061693 // GO:0005886 // GO:0016740 // GO:0016887 // GO:0005829 // GO:0019700 // GO:0005524 // GO:0000166	PhnL	methylphosphonate degradation complex subunit PhnL	24.705
ybgQ	G6387	b0718	putative fimbrial usher protein YbgQ	GO:0055085 // GO:0009297 // GO:0015473 // GO:0016021 // GO:0016020 // GO:0009279	YbgQ	putative fimbrial usher protein YbgQ	90.128
phnI	EG10718	b4099	carbon-phosphorus lyase core complex subunit PhnI	GO:1904176 // GO:0061694 // GO:0005515 // GO:0061693 // GO:0005829 // GO:0019634 // GO:0016740 // GO:0019700	"PhnI // ""PhnI subunit of methylphosphonate degradation complex"""	carbon-phosphorus lyase core complex subunit PhnI	38.853
yaiI	G6230	b0387	DUF188 domain-containing protein YaiI	GO:0005515	YaiI	DUF188 domain-containing protein YaiI	16.969
gpsA	EG20091	b3608	glycerol-3-phosphate dehydrogenase	GO:0046167 // GO:0016616 // GO:0016491 // GO:0008654 // GO:0006650 // GO:0006629 // GO:0051287 // GO:0046168 // GO:0009331 // GO:0006072 // GO:0005975 // GO:0004367 // GO:0005829 // GO:0042803 // GO:0046474 // GO:0055114 // GO:0047952 // GO:0005737	GpsA	glycerol-3-phosphate dehydrogenase	36.362
yciY	G0-8891	b4595	uncharacterized protein YciY		YciY	uncharacterized protein YciY	7.102
ppa	EG10755	b4226	inorganic pyrophosphatase	GO:0046872 // GO:0016787 // GO:0005737 // GO:0006796 // GO:0050355 // GO:0005515 // GO:0008270 // GO:0005829 // GO:0000287 // GO:0004427	Ppa	inorganic pyrophosphatase	19.704
rirA	G0-16662	b4760	small RNA RirA	GO:0005515	RirA	small RNA RirA	
phnF	EG10715	b4102	putative transcriptional regulator PhnF	GO:0005829 // GO:0006355 // GO:0015716 // GO:0006355 // GO:0003700 // GO:0003677	PhnF	putative transcriptional regulator PhnF	27.621
ypdK	G0-10647	b4680	uncharacterized membrane protein YpdK	GO:0005887 // GO:0005886 // GO:0016021 // GO:0016020	YpdK	uncharacterized membrane protein YpdK	2.704
pstS	EG10734	b3728	phosphate ABC transporter periplasmic binding protein	GO:0043190 // GO:0010921 // GO:0009314 // GO:0035435 // GO:0042301 // GO:0006974 // GO:0030288 // GO:0042597 // GO:0006817	"PhoS // ""NmpA"" // ""PiBP"""	phosphate ABC transporter periplasmic binding protein	37.024
ybhC	EG12875	b0772	outer membrane lipoprotein YhbC	GO:0016020 // GO:0042545 // GO:0030599 // GO:0045330 // GO:0016787 // GO:0009279	YbhC	outer membrane lipoprotein YhbC	46.082
ppk	EG11510	b2501	polyphosphate kinase	GO:0046872 // GO:0046777 // GO:0005515 // GO:0006757 // GO:0016778 // GO:0043751 // GO:0016776 // GO:0042803 // GO:0031241 // GO:0009358 // GO:0006799 // GO:0003824 // GO:0016310 // GO:0005524 // GO:0000166 // GO:0005886 // GO:0016740 // GO:0016301 // GO:0016020 // GO:0008976	Ppk	polyphosphate kinase	80.431
yjjJ	EG12342	b4385	toxin YjjJ	GO:0006468 // GO:0004674 // GO:0090729 // GO:0009405 // GO:0003677 // GO:0005829 // GO:0016740 // GO:0016310 // GO:0016301	"YjjJ // ""putative DNA-binding transcriptional regulator"" // ""putative kinase YjjJ"""	toxin YjjJ	49.757
phoA	EG10727	b0383	alkaline phosphatase	GO:0006470 // GO:0004721 // GO:0055114 // GO:0046872 // GO:0016791 // GO:0016787 // GO:0003824 // GO:0030288 // GO:0030613 // GO:0033748 // GO:0016311 // GO:0042597 // GO:0008270 // GO:0005515 // GO:0000287 // GO:0004035	"PsiA // ""PhoA"""	alkaline phosphatase	49.439
yhiI	EG12224	b3487	putative membrane fusion protein YhiI	GO:0005887 // GO:0005886	YhiI	putative membrane fusion protein YhiI	38.828
phnJ	EG10719	b4098	carbon-phosphorus lyase core complex subunit PhnJ	GO:1904176 // GO:0098848 // GO:0005515 // GO:0005829 // GO:0051536 // GO:0046872 // GO:0016829 // GO:0051539 // GO:0019700	PhnJ	carbon-phosphorus lyase core complex subunit PhnJ	31.845
yjcO	EG11951	b4078	Sel1 repeat-containing protein YjcO	GO:0043085 // GO:0008047	YjcO	Sel1 repeat-containing protein YjcO	25.079
phnG	EG10716	b4101	carbon-phosphorus lyase core complex subunit PhnG	GO:1904176 // GO:0061694 // GO:0061693 // GO:0005829 // GO:0005515 // GO:0019634 // GO:0016740 // GO:0019700 // GO:0015716	"PhnG // ""PhnG subunit of methylphosphonate degradation complex"""	carbon-phosphorus lyase core complex subunit PhnG	16.54
yihM	EG11839	b3873	putative TIM barrel domain-containing protein YihM	GO:0005829	YihM	putative TIM barrel domain-containing protein YihM	36.942
phoU	EG10735	b3724	negative regulator of the pho regulon	GO:0005623 // GO:0005515 // GO:0005829 // GO:0000287 // GO:0030145 // GO:0071467 // GO:0009405 // GO:0005737 // GO:0019897 // GO:2000186 // GO:0071236 // GO:0042803 // GO:0034605 // GO:0032413 // GO:0030643 // GO:0016036 // GO:0010629 // GO:0009267 // GO:0001558 // GO:0045936 // GO:0006817	"Pst // ""PhoT"" // ""PhoU"""	negative regulator of the pho regulon	27.417
yicH	EG11684	b3655	AsmA famly protein YicH	GO:0005887 // GO:0005829	YicH	AsmA famly protein YicH	62.272
phoB	EG10728	b0399	"Phosphorylated DNA-binding transcriptional dual regulator PhoB // ""DNA-binding transcriptional dual regulator PhoB"""	GO:0045893 // GO:0032993 // GO:0003700 // GO:0001216 // GO:0000976 // GO:0006355 // GO:0042802 // GO:0000156 // GO:0005829 // GO:0001108 // GO:2000142 // GO:0006817 // GO:0005737 // GO:0003677 // GO:0000160	"PhoT // ""PhoB response regulator - phosphorylated"" // ""PhoB-Pasp53"" // ""PhoB"" // ""PhoB response regulator"""	"Phosphorylated DNA-binding transcriptional dual regulator PhoB // ""DNA-binding transcriptional dual regulator PhoB"""	26.433
rmuC	EG11472	b3832	putative recombination limiting protein RmuC	GO:0005887 // GO:0006310	"RmuC // ""YigN"""	putative recombination limiting protein RmuC	54.764
psiF	EG11401	b0384	PsiF family protein		PsiF	PsiF family protein	11.687
sgcQ	G7915	b4303	KpLE2 phage-like element; putative nucleoside triphosphatase	GO:0005829 // GO:0003824	"YjhM // ""SgcQ"""	KpLE2 phage-like element; putative nucleoside triphosphatase	29.355
phnN	EG10723	b4094	EG10723-MONOMER	GO:0046835 // GO:0016740 // GO:0019634 // GO:0005829 // GO:0006015 // GO:0033863 // GO:0009435 // GO:0005524 // GO:0000166	PhnN		20.73
yjjA	EG11214	b4360	DUF2501 domain-containing protein YjjA	GO:0005829	YjjA	DUF2501 domain-containing protein YjjA	17.353
yjcS	EG11955	b4083	linear primary-alkylsulfatase	GO:0018909 // GO:0046983 // GO:0018741 // GO:0030288 // GO:0016787	YjcS	linear primary-alkylsulfatase	73.151
yhhW	G7756	b3439	"quercetin 2,3-dioxygenase"	GO:0005829 // GO:0051213 // GO:0016491 // GO:0055114 // GO:0046872 // GO:0008127	"YhhW // ""pirin-like protein"""	"quercetin 2,3-dioxygenase"	26.279
aslA	EG10089	b3801	putative sulfatase AslA	GO:0004065 // GO:0030288 // GO:0008484 // GO:0003824 // GO:0046872 // GO:0042597 // GO:0016787	"GppB // ""AtsA"" // ""AslA"""	putative sulfatase AslA	60.718
yecA	EG11139	b1908	UPF0149 family protein YecA		YecA	UPF0149 family protein YecA	25.039
sufC	G6908	b1682	Fe-S cluster scaffold complex subunit SufC	GO:1990229 // GO:0009314 // GO:0005515 // GO:0016887 // GO:0005829 // GO:0016226 // GO:0005524 // GO:0000166 // GO:0005737	"YnhD // ""SufC"" // ""SufC component of SufBCD Fe-S cluster scaffold complex"""	Fe-S cluster scaffold complex subunit SufC	27.582
ibaG	G7657	b3190	acid stress protein IbaG	GO:0005515 // GO:0051537 // GO:0005829 // GO:0001101	"IbaG // ""YrbA"" // ""putative DNA-binding transcriptional regulator IbaG"""	acid stress protein IbaG	9.452
sufE	G6905	b1679	sulfur carrier protein SufE	GO:0031162 // GO:0097163 // GO:0051347 // GO:0006979 // GO:0043085 // GO:0005829 // GO:0016226 // GO:0005515 // GO:0006790 // GO:0008047 // GO:0005737	"YnhA // ""SufE"" // ""sulfur acceptor for SufS cysteine desulfurase"""	sulfur carrier protein SufE	15.8
rhsD	EG10849	b0497	protein RhsD	GO:0009279 // GO:0010438	RhsD	protein RhsD	159.724
ssuD	G6477	b0935	FMNH2-dependent alkanesulfonate monooxygenase	GO:0051289 // GO:1990201 // GO:0009408 // GO:0016705 // GO:0016491 // GO:0004497 // GO:0042802 // GO:0005515 // GO:0055114 // GO:0008726 // GO:0046306	"YcbN // ""SsuD"""	FMNH2-dependent alkanesulfonate monooxygenase	41.736
yghR	G7550	b2984	putative ATP-binding protein YghR	GO:0005829 // GO:0005524 // GO:0000166	"YghR // ""putative protein with nucleoside triphosphate hydrolase domain"""	putative ATP-binding protein YghR	28.151
cysN	EG10194	b2751	sulfate adenylyltransferase subunit 1	GO:0000103 // GO:0009336 // GO:0005829 // GO:0005515 // GO:0070814 // GO:0005524 // GO:0016779 // GO:0016740 // GO:0005525 // GO:0003924 // GO:0000166 // GO:0004781 // GO:0006790	"CysN // ""sulfate adenylyltransferase, CysN subunit"""	sulfate adenylyltransferase subunit 1	52.558
queE	G7443	b2777	putative 7-carboxy-7-deazaguanine synthase QueE	GO:1904047 // GO:0016840 // GO:0000287 // GO:0032153 // GO:0032466 // GO:0005829 // GO:0003824 // GO:0016829 // GO:0008616 // GO:0051539 // GO:0051536 // GO:0046872	"QueE // ""YgcF"" // ""putative CDG synthase"""	putative 7-carboxy-7-deazaguanine synthase QueE	25.03
csdE	G7455	b2811	sulfur acceptor protein CsdE	GO:0061504 // GO:0097163 // GO:0005829 // GO:0005515	"YgdK // ""CsdE"" // ""CSD sulfur transfer protein CsdE"""	sulfur acceptor protein CsdE	15.94
ypfJ	G7298	b2475	uncharacterized protein YpfJ	GO:0005887 // GO:0016021 // GO:0016020	YpfJ	uncharacterized protein YpfJ	31.46
cysH	EG10189	b2762	phosphoadenosine phosphosulfate reductase	GO:0005829 // GO:0019379 // GO:0003824 // GO:0070814 // GO:0055114 // GO:0016491 // GO:0005737 // GO:0004604 // GO:0006790	CysH	phosphoadenosine phosphosulfate reductase	27.976
yfaY	G7162	b2249	IPR008135 CinA family protein YfaY	GO:0005829	YfaY	IPR008135 CinA family protein YfaY	44.226
cysA	EG10183	b2422	sulfate/thiosulfate ABC transporter ATP binding subunit	GO:0102025 // GO:0015709 // GO:0005515 // GO:1902358 // GO:0043190 // GO:0016887 // GO:0008272 // GO:0005829 // GO:0005886 // GO:0016020 // GO:0005524 // GO:0000166 // GO:0015419		sulfate/thiosulfate ABC transporter ATP binding subunit	41.059
yoaH	G6995	b1811	UFP0181 family protein YoaH	GO:0005829	YoaH	UFP0181 family protein YoaH	6.554
sufB	G6909	b1683	Fe-S cluster scaffold complex subunit SufB	GO:1990229 // GO:0051537 // GO:0005829 // GO:0051539 // GO:0016226 // GO:0005515	"YnhE // ""SufB"" // ""SufB component of SufBCD Fe-S cluster scaffold complex"""	Fe-S cluster scaffold complex subunit SufB	54.745
ydiK	G6914	b1688	putative transporter YdiK	GO:0005886 // GO:0016021 // GO:0016020	YdiK	putative transporter YdiK	39.841
sseB	EG11601	b2522	protein SseB	GO:0005829	SseB	protein SseB	28.642
yncE	G6763	b1452	PQQ-like domain-containing protein YncE	GO:0003677 // GO:0030288	YncE	PQQ-like domain-containing protein YncE	38.613
sufS	G6906	b1680	L-cysteine desulfurase	GO:0031162 // GO:0003824 // GO:0006534 // GO:0016226 // GO:0005515 // GO:0001887 // GO:0042803 // GO:0030170 // GO:0005829 // GO:0031071 // GO:0016829 // GO:0016740 // GO:0009000 // GO:0006790 // GO:0005737	"CsdB // ""YnhB"" // ""SufS"""	L-cysteine desulfurase	44.434
pdeG	G6608	b1168	putative c-di-GMP phosphodiesterase PdeG	GO:0071111 // GO:0016787 // GO:0016021 // GO:0016020 // GO:0030288 // GO:0005887 // GO:0005886 // GO:0005737	"PdeG // ""YcgG"""	putative c-di-GMP phosphodiesterase PdeG	56.906
sbp	EG10929	b3917	sulfate/thiosulfate ABC transporter periplasmic binding protein Sbp	GO:1901681 // GO:1902358 // GO:0042597 // GO:0043199 // GO:0030288 // GO:0008272 // GO:0015419 // GO:0006790		sulfate/thiosulfate ABC transporter periplasmic binding protein Sbp	36.659
ybjX	G6460	b0877	DUF535 domain-containing protein YbjX	GO:0005829 // GO:0006974	YbjX	DUF535 domain-containing protein YbjX	38.358
ssuE	G6479	b0937	NADPH-dependent FMN reductase	GO:1990202 // GO:0005829 // GO:0016491 // GO:0005515 // GO:0042803 // GO:0052873 // GO:0006974 // GO:0055114 // GO:0046306 // GO:0009970 // GO:0008752	"YcbP // ""SsuE"""	NADPH-dependent FMN reductase	21.253
ybeU	G6355	b0648	DUF1266 domain-containing protein YbeU		YbeU	DUF1266 domain-containing protein YbeU	27.022
cysP	EG10195	b2425	thiosulfate/sulfate ABC transporter periplasmic binding protein CysP	GO:1901681 // GO:0036173 // GO:0043199 // GO:0015709 // GO:1902358 // GO:0042597 // GO:0030288 // GO:0008272 // GO:0015419 // GO:0006790	TSBP	thiosulfate/sulfate ABC transporter periplasmic binding protein CysP	37.615
yahK	G6190	b0325	"aldehyde reductase, NADPH-dependent"	GO:0016616 // GO:0008270 // GO:0008106 // GO:0055114 // GO:0046872 // GO:0016491	"YahK // ""AdhZ2"""	"aldehyde reductase, NADPH-dependent"	37.978
cysI	EG10190	b2763	"sulfite reductase, hemoprotein subunit"	GO:0000103 // GO:0050311 // GO:0016002 // GO:0051536 // GO:0005515 // GO:0050661 // GO:0046872 // GO:0070814 // GO:0055114 // GO:0051539 // GO:0020037 // GO:0019344 // GO:0016491 // GO:0009337 // GO:0008652 // GO:0004783	"CysI // ""SiR-HP"" // ""&beta; subunit"""	"sulfite reductase, hemoprotein subunit"	63.998
naRNA4	G0-16697		naRNA4	GO:0036386 // GO:0005515 // GO:0090143		naRNA4	
ssuB	EG12358	b0933	aliphatic sulfonate ABC transporter ATP binding subunit	GO:0055085 // GO:0022857 // GO:0098656 // GO:0008509 // GO:0006820 // GO:0055052 // GO:0006790 // GO:0043190 // GO:0042959 // GO:0016887 // GO:0005829 // GO:0042918 // GO:0005886 // GO:0016787 // GO:0016020 // GO:0005524 // GO:0000166	YcbE	aliphatic sulfonate ABC transporter ATP binding subunit	27.738
micL	G0-16601	b4717	small regulatory RNA MicL-S	GO:1902201 // GO:0005515 // GO:0003729 // GO:0040033	"SlrA // ""MicL-S"" // ""RyeF"""	small regulatory RNA MicL-S	
cysC	EG10185	b2750	adenylyl-sulfate kinase	GO:0005829 // GO:0042802 // GO:0000103 // GO:0070814 // GO:0016310 // GO:0016740 // GO:0016301 // GO:0005524 // GO:0000166 // GO:0004020	CysC	adenylyl-sulfate kinase	22.321
insJK	G0-10624		IS150 protein InsAB	GO:0006313 // GO:0004803	InsJK	IS150 protein InsAB	53.021
ynjE	G6952	b1757	molybdopterin synthase sulfurtransferase	GO:0019346 // GO:0016740 // GO:0042597 // GO:0016783 // GO:0004792	"YnjE // ""YnjE sulfurtransferase"""	molybdopterin synthase sulfurtransferase	48.229
ybeL	EG12851	b0643	DUF1451 domain-containing protein YbeL		YbeL	DUF1451 domain-containing protein YbeL	18.797
yidJ	EG11705	b3678	putative sulfatase/phosphatase YidJ	GO:0004065 // GO:0008484 // GO:0003824 // GO:0046872 // GO:0016787	YidJ	putative sulfatase/phosphatase YidJ	57.295
hrpB	EG12329	b0148	putative ATP-dependent RNA helicase HrpB	GO:0003724 // GO:0003676 // GO:0016787 // GO:0005524 // GO:0004386 // GO:0000166	"YadO // ""HrpB"""	putative ATP-dependent RNA helicase HrpB	89.148
sufD	G6907	b1681	Fe-S cluster scaffold complex subunit SufD	GO:1990229 // GO:0006979 // GO:0016226 // GO:0005515	"YnhC // ""SufD"" // ""SufD component of SufBCD Fe-S cluster scaffold complex"""	Fe-S cluster scaffold complex subunit SufD	46.823
qseG	EG12139	b2555	outer membrane lipoprotein QseG	GO:0036405 // GO:0030288 // GO:0005515 // GO:0001932 // GO:0070297	"QseG // ""YfhG"""	outer membrane lipoprotein QseG	27.348
sufA	EG11378	b1684	iron-sulfur cluster insertion protein SufA	GO:0097428 // GO:0051536 // GO:0005198 // GO:0005829 // GO:0051537 // GO:0042803 // GO:0005515 // GO:0006979 // GO:0016226	"YdiC // ""SufA"" // ""Fe-S transport protein in Fe-S cluster assembly"""	iron-sulfur cluster insertion protein SufA	13.3
pdeC	EG11938	b4061	c-di-GMP phosphodiesterase PdeC	GO:0005887 // GO:0030288 // GO:0005829 // GO:0071111 // GO:0016787 // GO:0016021 // GO:0016020 // GO:0005886	"PdeC // ""YjcC"""	c-di-GMP phosphodiesterase PdeC	60.801
ydeN	G6788	b1498	putative sulfatase YdeN	GO:0004065 // GO:0030288 // GO:0008484 // GO:0003824 // GO:0046872 // GO:0016787	YdeN	putative sulfatase YdeN	62.802
yebE	EG11806	b1846	DUF533 domain-containing inner membrane protein YebE	GO:0005887 // GO:0005886 // GO:0016021 // GO:0016020	YebE	DUF533 domain-containing inner membrane protein YebE	23.687
cysJ	EG10191	b2764	"sulfite reductase, flavoprotein subunit"	GO:0005829 // GO:0000103 // GO:0070401 // GO:0016491 // GO:0070814 // GO:0042602 // GO:0009337 // GO:0050660 // GO:0055114 // GO:0019344 // GO:0010181 // GO:0008652 // GO:0005515 // GO:0004783	"CysJ // ""SiR-FP"" // ""&alpha; subunit"""	"sulfite reductase, flavoprotein subunit"	66.27
smf	EG11604	b4473	protein Smf	GO:0005829 // GO:0009294	Smf	protein Smf	40.955
csdA	G7454	b2810	cysteine sulfinate desulfinase	GO:0005829 // GO:0016740 // GO:0009000 // GO:0003824 // GO:0031071 // GO:0016226 // GO:0000096 // GO:0016783 // GO:0030170 // GO:0016829 // GO:0005515	"YgdJ // ""CsdA"""	cysteine sulfinate desulfinase	43.234
argK	EG11445	b2918	methylmalonyl-CoA mutase-interacting GTPase YgfD	GO:0005829 // GO:0016787 // GO:0005525 // GO:0005515 // GO:0003924 // GO:0005524 // GO:0000166	"YgfD // ""ArgK"" // ""GTPase that interacts with methylmalonyl-CoA mutase"""	methylmalonyl-CoA mutase-interacting GTPase YgfD	36.704
cysD	EG10186	b2752	sulfate adenylyltransferase subunit 2	GO:0000103 // GO:0009336 // GO:0005829 // GO:0006979 // GO:0016779 // GO:0016740 // GO:0003824 // GO:0005515 // GO:0019419 // GO:0070814 // GO:0005524 // GO:0000166 // GO:0004781 // GO:0006790	"CysD // ""sulfate adenylyltransferase, CysD subunit"""	sulfate adenylyltransferase subunit 2	35.188
ytfK	G7872	b4217	DUF1107 domain-containing protein YtfK	GO:0006979	YtfK	DUF1107 domain-containing protein YtfK	8.072
rutD	G6520	b1009	putative aminoacrylate hydrolase RutD	GO:0042803 // GO:0016811 // GO:0016787 // GO:0006212 // GO:0006208 // GO:0019740	"RutD // ""YcdJ"""	putative aminoacrylate hydrolase RutD	28.898
yidA	EG11195	b3697	sugar phosphatase YidA	GO:0016311 // GO:0005829 // GO:0046872 // GO:0016791 // GO:0016787 // GO:0000287 // GO:0050308	"YidA // ""HAD13"""	sugar phosphatase YidA	29.721
hcp	G6457	b0873	protein S-nitrosylase	GO:0005515 // GO:0018119 // GO:0035606 // GO:0046210 // GO:0098869 // GO:0005829 // GO:0016661 // GO:0016491 // GO:0003824 // GO:0042542 // GO:0004601 // GO:0055114 // GO:0051537 // GO:0051536 // GO:0046872 // GO:0005737 // GO:0050418 // GO:0006807	"Hcp // ""YbjW"" // ""PriS"" // ""fuscoredoxin"" // ""prismane protein"" // ""hybrid-cluster protein"" // ""nitric oxide reductase"""	protein S-nitrosylase	60.064
yhfX	G7733	b3381	putative PLP-binding protein YhfX		YhfX	putative PLP-binding protein YhfX	42.294
phnO	EG10724	b4093	aminoalkylphosphonate N-acetyltransferase	GO:0061733 // GO:0018393 // GO:0005737 // GO:0005829 // GO:0033051 // GO:0008080 // GO:0016740 // GO:0016746	PhnO	aminoalkylphosphonate N-acetyltransferase	16.57
nlpC	EG11133	b1708	NlpC/P60 family lipoprotein NlpC	GO:0030288 // GO:0016787 // GO:0008234 // GO:0008233 // GO:0006508 // GO:0005886 // GO:0016020	NlpC	NlpC/P60 family lipoprotein NlpC	17.283
allE	G6284	b0515	(S)-ureidoglycine aminohydrolase	GO:0046872 // GO:0016787 // GO:0006144 // GO:0005737 // GO:0071522 // GO:0030145	"UghY // ""AllE"" // ""YlbA"""	(S)-ureidoglycine aminohydrolase	28.73
yraJ	G7639	b3144	putative fimbrial usher protein YraJ	GO:0055085 // GO:0009297 // GO:0006974 // GO:0043711 // GO:0015473 // GO:0016021 // GO:0016020 // GO:0009279	YraJ	putative fimbrial usher protein YraJ	93.616
nac	G7072	b1988	DNA-binding transcriptional dual regulator Nac	GO:0006355 // GO:0042128 // GO:0003677 // GO:0005829 // GO:0045892 // GO:0045893 // GO:0003700 // GO:0005737	Nac	DNA-binding transcriptional dual regulator Nac	32.835
pspE	EG10780	b1308	thiosulfate sulfurtransferase PspE	GO:0016740 // GO:0030288 // GO:0042597 // GO:0004792	PspE	thiosulfate sulfurtransferase PspE	11.475
aegA	EG12409	b2468	putative oxidoreductase AegA	GO:0019628 // GO:0005829 // GO:0016639 // GO:0006537 // GO:0055114 // GO:0051539 // GO:0051536 // GO:0046872 // GO:0016491	"AegA // ""YffG"" // ""putative oxidoreductase Fe-S subunit AegA"""	putative oxidoreductase AegA	71.844
yqgE	G7524	b2948	DUF179 domain-containing protein YqgE	GO:0005829	YqgE	DUF179 domain-containing protein YqgE	20.686
patD	G6755	b1444	&gamma;-aminobutyraldehyde dehydrogenase	GO:0016620 // GO:0004029 // GO:0051289 // GO:0005829 // GO:0016491 // GO:0051287 // GO:0042802 // GO:0033737 // GO:0055114 // GO:0009447 // GO:0019145	"PatD // ""YdcW"" // ""Prr"""	&gamma;-aminobutyraldehyde dehydrogenase	50.83
ygcP	G7434	b2768	putative anti-terminator regulatory protein	GO:0031564 // GO:0006071 // GO:0001072 // GO:0005829 // GO:0006355 // GO:0005515	YgcP	putative anti-terminator regulatory protein	20.786
glnK	EG12191	b0450	"uridylyl-[GlnK] // ""nitrogen regulator GlnK"""	GO:0050790 // GO:0042802 // GO:0006808 // GO:0030234 // GO:0045848 // GO:0005515 // GO:0000166	"YbaI // ""GlnK"" // ""modified protein PII 2"" // ""uridylyl-[protein PII2]"" // ""uridylyl-[PII2]"" // ""unmodified protein PII 2"" // ""[protein PII2]"" // ""PII2"" // ""nitrogen regulatory protein GlnK"" // ""nitrogen regulator PII 2"""	"uridylyl-[GlnK] // ""nitrogen regulator GlnK"""	12.259
yfeX	G7266	b2431	porphyrinogen peroxidase	GO:0098869 // GO:0005829 // GO:0016491 // GO:0046872 // GO:0004601 // GO:0005737 // GO:0020037 // GO:0055114	"YfeX // ""dye-decolorizing peroxidase"""	porphyrinogen peroxidase	33.052
rutC	G6521	b1010	putative aminoacrylate peracid reductase RutC	GO:1901565 // GO:0019239 // GO:0005829 // GO:0055114 // GO:0016491 // GO:0006212 // GO:0006208 // GO:0019740	"YcdK // ""RutC"""	putative aminoacrylate peracid reductase RutC	13.763
yeeX	G7087	b2007	DUF496 domain-containing protein YeeX	GO:0005829	YeeX	DUF496 domain-containing protein YeeX	12.778
glnE	EG11602	b3053	fused glutamine synthetase deadenylase/glutamine synthetase adenylyltransferase	GO:0047388 // GO:0003824 // GO:0000820 // GO:0000287 // GO:0008152 // GO:0005829 // GO:0005524 // GO:0000166 // GO:0016779 // GO:0016740 // GO:0008882	GlnE	fused glutamine synthetase deadenylase/glutamine synthetase adenylyltransferase	108.418
yeaX	G6989	b1803	carnitine monooxygenase subunit YeaX	GO:0016709 // GO:0022900 // GO:0009437 // GO:0005829 // GO:0009055 // GO:0055114 // GO:0051537 // GO:0051536 // GO:0046872 // GO:0016491	YeaX	carnitine monooxygenase subunit YeaX	35.661
rutF	G6518	b1007	flavin reductase	GO:0016646 // GO:0048037 // GO:0005829 // GO:0016491 // GO:0010181 // GO:0008752 // GO:0042602 // GO:0006212 // GO:0055114 // GO:0006208 // GO:0019740	"YcdH // ""RutF"""	flavin reductase	17.749
ydhQ	G6894	b1664	putative adhesin-related protein YdhQ	GO:0006974	YdhQ	putative adhesin-related protein YdhQ	42.876
allC	G6285	b0516	allantoate amidohydrolase	GO:0008270 // GO:0005737 // GO:0005829 // GO:0046872 // GO:0016813 // GO:0016787 // GO:0000256 // GO:0042803 // GO:0030145 // GO:0047652 // GO:0006144 // GO:0009442	"YlbB // ""AllC"""	allantoate amidohydrolase	45.694
ydcZ	G6758	b1447	putative inner membrane protein	GO:0005515 // GO:0005886 // GO:0006928 // GO:0016021 // GO:0016020	YdcZ	putative inner membrane protein	15.855
ygfT	G7506	b2887	putative oxidoreductase YgfT	GO:0019628 // GO:0005829 // GO:0016639 // GO:0006537 // GO:0055114 // GO:0051539 // GO:0051536 // GO:0046872 // GO:0016491	"YgfT // ""fused putative oxidoreductase, Fe-S subunit and nucleotide-binding subunit"""	putative oxidoreductase YgfT	69.089
yceM	G6560	b1068	putative oxidoreductase YceM	GO:0005829 // GO:0055114 // GO:0016491	"YceM // ""MviM"" // ""putative oxidoreductase, NAD(P)-binding Rossmann-fold domain"""	putative oxidoreductase YceM	33.681
allA	G6275	b0505	ureidoglycolate lyase	GO:0006145 // GO:0005829 // GO:0016829 // GO:0000256 // GO:0004848 // GO:0050385 // GO:0006144	"YbbT // ""AllA"""	ureidoglycolate lyase	18.17
dgcI	G6434	b0834	putative diguanylate cyclase DgcI	GO:1902201 // GO:0052621 // GO:0046872 // GO:0043709 // GO:0016740 // GO:0005525 // GO:0000166 // GO:0005886 // GO:0016021 // GO:0016020	"DgcI // ""YliF"""	putative diguanylate cyclase DgcI	49.873
