Entry	Status	Protein names	Gene names	Cofactor	Entry name	Gene ontology IDs	Gene ontology (GO)	Gene ontology (biological process)	Mass	Metal binding	Keyword ID	Annotation	Function [CC]
P76342	reviewed	Protein-methionine-sulfoxide reductase catalytic subunit MsrP (EC 1.8.5.-)	msrP yedY b1971 JW1954	COFACTOR: Name=Mo-molybdopterin; Xref=ChEBI:CHEBI:71302; Evidence={ECO:0000269|PubMed:15355966};  Note=Binds 1 Mo-molybdopterin (Mo-MPT) cofactor per subunit. The oxidation state of Mo is +5. Is inactive in the presence of the tungsten-substituted form (W-MPT) of the cofactor. {ECO:0000269|PubMed:15355966};	MSRP_ECOLI	GO:0006979; GO:0016672; GO:0016675; GO:0030091; GO:0030288; GO:0042128; GO:0043546; GO:0046872; GO:0055114; GO:1901530	outer membrane-bounded periplasmic space [GO:0030288]; metal ion binding [GO:0046872]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity, acting on a heme group of donors [GO:0016675]; oxidoreductase activity, acting on a sulfur group of donors, quinone or similar compound as acceptor [GO:0016672]; nitrate assimilation [GO:0042128]; oxidation-reduction process [GO:0055114]; protein repair [GO:0030091]; response to hypochlorite [GO:1901530]; response to oxidative stress [GO:0006979]	nitrate assimilation [GO:0042128]; oxidation-reduction process [GO:0055114]; protein repair [GO:0030091]; response to hypochlorite [GO:1901530]; response to oxidative stress [GO:0006979]	37,369	METAL 146;  /note="Molybdenum";  /evidence="ECO:0000269|PubMed:15355966"	KW-0002; KW-0479; KW-0500; KW-0560; KW-0574; KW-0732; KW-0903; KW-1185	5 out of 5	FUNCTION: Part of the MsrPQ system that repairs oxidized periplasmic proteins containing methionine sulfoxide residues (Met-O), using respiratory chain electrons (PubMed:26641313). Thus protects these proteins from oxidative-stress damage caused by reactive species of oxygen and chlorine (PubMed:26641313). MsrPQ is essential for the maintenance of envelope integrity under bleach stress, rescuing a wide series of structurally unrelated periplasmic proteins from methionine oxidation, including the primary periplasmic chaperone SurA and the lipoprotein Pal (PubMed:26641313). The catalytic subunit MsrP is non-stereospecific, being able to reduce both (R-) and (S-) diastereoisomers of methionine sulfoxide (PubMed:26641313). Can catalyze the reduction of a variety of substrates in vitro, including dimethyl sulfoxide, trimethylamine N-oxide, phenylmethyl sulfoxide and L-methionine sulfoxide (PubMed:15355966). Cannot reduce cyclic N-oxides (PubMed:15355966). Shows no activity as sulfite oxidase (PubMed:15355966). {ECO:0000269|PubMed:15355966, ECO:0000269|PubMed:26641313}.
P76343	reviewed	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ (Flavocytochrome MsrQ)	msrQ yedZ b1972 JW1955	COFACTOR: Name=FMN; Xref=ChEBI:CHEBI:58210; Evidence={ECO:0000269|PubMed:15987891};  Note=Binds 1 FMN per subunit. {ECO:0000269|PubMed:15987891}; COFACTOR: Name=heme b; Xref=ChEBI:CHEBI:60344; Evidence={ECO:0000269|PubMed:16042411};  Note=Binds 1 heme b (iron(II)-protoporphyrin IX) group per subunit. {ECO:0000269|PubMed:16042411};	MSRQ_ECOLI	GO:0005886; GO:0005887; GO:0009055; GO:0010181; GO:0016679; GO:0020037; GO:0030091; GO:0046872; GO:0055114	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on diphenols and related substances as donors [GO:0016679]; oxidation-reduction process [GO:0055114]; protein repair [GO:0030091]	oxidation-reduction process [GO:0055114]; protein repair [GO:0030091]	24,068		KW-0249; KW-0285; KW-0288; KW-0349; KW-0408; KW-0472; KW-0479; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185	5 out of 5	FUNCTION: Part of the MsrPQ system that repairs oxidized periplasmic proteins containing methionine sulfoxide residues (Met-O), using respiratory chain electrons. Thus protects these proteins from oxidative-stress damage caused by reactive species of oxygen and chlorine. MsrPQ is essential for the maintenance of envelope integrity under bleach stress, rescuing a wide series of structurally unrelated periplasmic proteins from methionine oxidation, including the primary periplasmic chaperone SurA and the lipoprotein Pal. MsrQ provides electrons for reduction to the reductase catalytic subunit MsrP, using the quinone pool of the respiratory chain. {ECO:0000269|PubMed:26641313}.
P33011	reviewed	Inner membrane protein YeeA	yeeA b2008 JW1990		YEEA_ECOLI	GO:0005886; GO:0016021; GO:0022857; GO:0055085	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; transmembrane transport [GO:0055085]	transmembrane transport [GO:0055085]	39,955		KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185	2 out of 5	
P33014	reviewed	Putative sulfur carrier protein YeeD	yeeD b2012 JW1994		YEED_ECOLI				8,148		KW-1185	1 out of 5	
P33015	reviewed	UPF0394 inner membrane protein YeeE	yeeE b2013 JW1995		YEEE_ECOLI	GO:0005886; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		38,100		KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185	2 out of 5	
P76347	reviewed	Uncharacterized protein YeeJ	yeeJ b1978 JW5833		YEEJ_ECOLI	GO:0009279; GO:0009405; GO:0030260; GO:0043708	cell outer membrane [GO:0009279]; cell adhesion involved in biofilm formation [GO:0043708]; entry into host cell [GO:0030260]; pathogenesis [GO:0009405]	cell adhesion involved in biofilm formation [GO:0043708]; entry into host cell [GO:0030260]; pathogenesis [GO:0009405]	248,569		KW-0677; KW-1185	2 out of 5	
P0A8A2	reviewed	Probable transcriptional regulatory protein YeeN	yeeN b1983 JW1964		YEEN_ECOLI	GO:0003677; GO:0005829; GO:0006355	cytosol [GO:0005829]; DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]	regulation of transcription, DNA-templated [GO:0006355]	25,867		KW-0238; KW-0804; KW-0805; KW-0963; KW-1185	2 out of 5	
P76352	reviewed	Probable FMN/FAD exporter YeeO	yeeO b1985 JW1965		YEEO_ECOLI	GO:0005886; GO:0015031; GO:0015230; GO:0015297; GO:0016020; GO:0016021; GO:0035350; GO:0035442; GO:0042910; GO:0044610; GO:0071916	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; antiporter activity [GO:0015297]; dipeptide transmembrane transporter activity [GO:0071916]; FAD transmembrane transporter activity [GO:0015230]; FMN transmembrane transporter activity [GO:0044610]; xenobiotic transmembrane transporter activity [GO:0042910]; dipeptide transmembrane transport [GO:0035442]; FAD transmembrane transport [GO:0035350]; protein transport [GO:0015031]	dipeptide transmembrane transport [GO:0035442]; FAD transmembrane transport [GO:0035350]; protein transport [GO:0015031]	60,061		KW-0274; KW-0285; KW-0288; KW-0472; KW-0571; KW-0653; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185	4 out of 5	FUNCTION: A transporter able to export peptides and flavins. When overexpressed allows cells deleted for multiple peptidases (pepA, pepB, pepD and pepN) to grow in the presence of dipeptides Ala-Gln or Gly-Tyr which otherwise inhibit growth (PubMed:20067529). Cells overexpressing this protein have decreased intracellular levels of Ala-Gln dipeptide, and in a system that produces the Ala-Gln dipeptide, overproduction of this protein increases its export (PubMed:20067529). When overexpressed increases secretion of FMN and FAD but not riboflavin; intracellular concentrations of FMN and riboflavin rise, possibly to compensate for increased secretion (PubMed:25482085). Increased overexpression causes slight cell elongation (PubMed:25482085). {ECO:0000269|PubMed:20067529, ECO:0000269|PubMed:25482085}.
P76361	reviewed	Inner membrane protein YeeR	yeeR b2001 JW1983		YEER_ECOLI	GO:0005886; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		57,237		KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185	2 out of 5	
P76362	reviewed	UPF0758 protein YeeS	yeeS b2002 JW1984		YEES_ECOLI	GO:0008237; GO:0046872	metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]		16,557	METAL 97;  /note="Zinc; catalytic";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01182"; METAL 99;  /note="Zinc; catalytic";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01182"; METAL 110;  /note="Zinc; catalytic";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01182"	KW-0378; KW-0479; KW-0482; KW-0645; KW-0862; KW-1185	2 out of 5	
P64521	reviewed	Uncharacterized protein YeeT	yeeT b2003 JW1985		YEET_ECOLI				8,411		KW-1185	1 out of 5	
P0A8M6	reviewed	UPF0265 protein YeeX	yeeX b2007 JW1989		YEEX_ECOLI	GO:0005829	cytosol [GO:0005829]		12,778		KW-0903; KW-1185	2 out of 5	
P76369	reviewed	Uncharacterized HTH-type transcriptional regulator YeeY	yeeY b2015 JW5834		YEEY_ECOLI	GO:0003677; GO:0003700; GO:0006351	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; transcription, DNA-templated [GO:0006351]	transcription, DNA-templated [GO:0006351]	34,169		KW-0238; KW-0804; KW-0805; KW-1185	2 out of 5	
P0AD12	reviewed	Protein YeeZ	yeeZ b2016 JW1998		YEEZ_ECOLI	GO:0003824; GO:0005524; GO:0005829; GO:0050662	cytosol [GO:0005829]; ATP binding [GO:0005524]; catalytic activity [GO:0003824]; coenzyme binding [GO:0050662]		29,680		KW-0067; KW-0547; KW-0732; KW-1185	2 out of 5	
P36928	reviewed	Uncharacterized chaperone protein YegD	yegD b2069 JW2054		YEGD_ECOLI	GO:0005524; GO:0005737; GO:0005829; GO:0006986; GO:0016887; GO:0031072; GO:0034605; GO:0034620; GO:0042026; GO:0042623; GO:0044183; GO:0051082; GO:0051085; GO:0051787	cytoplasm [GO:0005737]; cytosol [GO:0005829]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase activity, coupled [GO:0042623]; heat shock protein binding [GO:0031072]; misfolded protein binding [GO:0051787]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]; cellular response to heat [GO:0034605]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]; response to unfolded protein [GO:0006986]	cellular response to heat [GO:0034605]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]; response to unfolded protein [GO:0006986]	49,371		KW-0067; KW-0143; KW-0547; KW-1185	3 out of 5	
P38097	reviewed	Probable diguanylate cyclase DgcE (DGC) (EC 2.7.7.65)	dgcE yegE b2067 JW2052	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P31129};  Note=Binds 1 Mg(2+) ion per monomer. {ECO:0000250|UniProtKB:P31129};	DGCE_ECOLI	GO:0005525; GO:0005886; GO:0016021; GO:0046872; GO:0052621	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; diguanylate cyclase activity [GO:0052621]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]		123,887	METAL 720;  /note="Magnesium";  /evidence="ECO:0000250|UniProtKB:P31129"; METAL 763;  /note="Magnesium";  /evidence="ECO:0000250|UniProtKB:P31129"	KW-0342; KW-0460; KW-0472; KW-0479; KW-0547; KW-0677; KW-0808; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185	5 out of 5	FUNCTION: Catalyzes the synthesis of cyclic-di-GMP (c-di-GMP) via the condensation of 2 GTP molecules (By similarity). Involved in the control of the switch from cell motility to adhesion via regulation of cellular levels of c-di-GMP (Probable). Part of a signaling cascade that regulates curli biosynthesis. The cascade is composed of two c-di-GMP control modules, in which c-di-GMP controlled by the DgcE/PdeH pair (module I) regulates the activity of the DgcM/PdeR pair (module II), which in turn regulates activity of the transcription factor MlrA and expression of the master biofilm regulator csgD (PubMed:23708798). {ECO:0000250|UniProtKB:P31129, ECO:0000269|PubMed:23708798, ECO:0000305|PubMed:20303158}.
P76389	reviewed	UPF0053 protein YegH	yegH b2063 JW5336		YEGH_ECOLI	GO:0005886; GO:0016021; GO:0050660	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; flavin adenine dinucleotide binding [GO:0050660]		59,450		KW-0129; KW-0472; KW-0677; KW-0812; KW-1003; KW-1133; KW-1185	2 out of 5	
P76393	reviewed	Protein kinase YegI (EC 2.7.-.-)	yegI b2070 JW2055		YEGI_ECOLI	GO:0004672; GO:0005524	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]		71,639		KW-0067; KW-0418; KW-0547; KW-0597; KW-0808; KW-1185	3 out of 5	FUNCTION: Probable serine/threonine kinase. {ECO:0000269|PubMed:29967116}.
P76395	reviewed	Serine/threonine-protein phosphatase 3 (EC 3.1.3.16) (PP2C-like Ser/Thr phosphatase) (Protein phosphatase C)	pphC yegK b2072 JW2057	COFACTOR: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:29967116}; 	PRP3_ECOLI	GO:0004721; GO:0016791	phosphatase activity [GO:0016791]; phosphoprotein phosphatase activity [GO:0004721]		27,208		KW-0378; KW-0464; KW-0597; KW-0904; KW-1185	4 out of 5	FUNCTION: PP2C-like phosphatase that can dephosphorylate YegI. In vitro, can hydrolyze p-nitrophenyl phosphate (pNPP) to p-nitrophenol. {ECO:0000269|PubMed:29967116}.
P76396	reviewed	Uncharacterized protein YegL	yegL b2073 JW2058		YEGL_ECOLI				24,218		KW-1185	1 out of 5	
P76402	reviewed	UPF0339 protein YegP	yegP b2080 JW5339		YEGP_ECOLI	GO:0006302	double-strand break repair [GO:0006302]	double-strand break repair [GO:0006302]	12,024		KW-0002; KW-0677; KW-1185	2 out of 5	
P76403	reviewed	Uncharacterized protease YegQ (EC 3.4.-.-)	yegQ b2081 JW2066		YEGQ_ECOLI	GO:0005829; GO:0008233	cytosol [GO:0005829]; peptidase activity [GO:0008233]		51,193		KW-0378; KW-0645; KW-1185	2 out of 5	
P76406	reviewed	Uncharacterized protein YegR	yegR b2085 JW5837		YEGR_ECOLI				11,465		KW-1185	1 out of 5	
P76407	reviewed	Lipid kinase YegS (EC 2.7.1.-)	yegS b2086 JW2070	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:17351295}; Name=Ca(2+); Xref=ChEBI:CHEBI:29108; Evidence={ECO:0000269|PubMed:17351295};  Note=Binds 1 Mg(2+) ion per subunit. Ca(2+) may be able to substitute. {ECO:0000269|PubMed:17351295};	YEGS_ECOLI	GO:0000287; GO:0001727; GO:0003951; GO:0005524; GO:0005737; GO:0008654	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; lipid kinase activity [GO:0001727]; magnesium ion binding [GO:0000287]; NAD+ kinase activity [GO:0003951]; phospholipid biosynthetic process [GO:0008654]	phospholipid biosynthetic process [GO:0008654]	32,039	METAL 215;  /note="Magnesium; via carbonyl oxygen";  /evidence="ECO:0000269|PubMed:17351295"; METAL 218;  /note="Magnesium";  /evidence="ECO:0000269|PubMed:17351295"; METAL 220;  /note="Magnesium; via carbonyl oxygen";  /evidence="ECO:0000269|PubMed:17351295"	KW-0002; KW-0067; KW-0418; KW-0443; KW-0444; KW-0460; KW-0479; KW-0547; KW-0594; KW-0808; KW-0963; KW-1185; KW-1208	5 out of 5	FUNCTION: In vitro phosphorylates phosphatidylglycerol but not diacylglycerol; the in vivo substrate is unknown.
P76417	reviewed	Putative nucleoside transporter YegT	yegT b2098 JW2085		YEGT_ECOLI	GO:0005337; GO:0005886; GO:0005887	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; nucleoside transmembrane transporter activity [GO:0005337]		47,359		KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185	2 out of 5	FUNCTION: Could be involved in nucleoside transport. {ECO:0000250}.
P76418	reviewed	Uncharacterized protein YegU (EC 3.2.2.-)	yegU b2099 JW2086		YEGU_ECOLI	GO:0016787	hydrolase activity [GO:0016787]		35,621		KW-0378; KW-1185	1 out of 5	
P76419	reviewed	Uncharacterized sugar kinase YegV (EC 2.7.1.-)	yegV b2100 JW2087		YEGV_ECOLI	GO:0016773; GO:0019200	carbohydrate kinase activity [GO:0019200]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]		34,385		KW-0418; KW-0808; KW-1185	2 out of 5	
P0ACM5	reviewed	Uncharacterized HTH-type transcriptional regulator YegW	yegW b2101 JW2088		YEGW_ECOLI	GO:0003677; GO:0003700; GO:0045892	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of transcription, DNA-templated [GO:0045892]	negative regulation of transcription, DNA-templated [GO:0045892]	28,277		KW-0238; KW-0804; KW-0805; KW-1185	2 out of 5	
P76421	reviewed	Uncharacterized protein YegX	yegX b2102 JW5345		YEGX_ECOLI	GO:0003796; GO:0009253; GO:0016998	lysozyme activity [GO:0003796]; cell wall macromolecule catabolic process [GO:0016998]; peptidoglycan catabolic process [GO:0009253]	cell wall macromolecule catabolic process [GO:0016998]; peptidoglycan catabolic process [GO:0009253]	31,604		KW-0326; KW-0378; KW-1185	2 out of 5	
P33341	reviewed	Outer membrane usher protein YehB	yehB b2109 JW2096		YEHB_ECOLI	GO:0006974; GO:0009279; GO:0009297; GO:0015473; GO:0016021	cell outer membrane [GO:0009279]; integral component of membrane [GO:0016021]; fimbrial usher porin activity [GO:0015473]; cellular response to DNA damage stimulus [GO:0006974]; pilus assembly [GO:0009297]	cellular response to DNA damage stimulus [GO:0006974]; pilus assembly [GO:0009297]	92,282		KW-0472; KW-0732; KW-0812; KW-0813; KW-0998; KW-1015; KW-1029; KW-1134; KW-1185	3 out of 5	FUNCTION: Part of the yehABCD fimbrial operon. Could contribute to adhesion to various surfaces in specific environmental niches. Probably involved in the export and assembly of fimbrial subunits across the outer membrane. {ECO:0000269|PubMed:20345943}.
P33344	reviewed	Uncharacterized protein YehE	yehE b2112 JW2099		YEHE_ECOLI				10,137		KW-0732; KW-1185	1 out of 5	
P33346	reviewed	Uncharacterized protein YehI	yehI b2118 JW2105		YEHI_ECOLI				138,068		KW-1185	1 out of 5	
P33347	reviewed	Uncharacterized protein YehK	yehK b4541 JW2106		YEHK_ECOLI				12,603		KW-1185	1 out of 5	
P33348	reviewed	Uncharacterized protein YehL	yehL b2119 JW5349		YEHL_ECOLI	GO:0005524; GO:0016887	ATP binding [GO:0005524]; ATPase activity [GO:0016887]		39,682		KW-1185	2 out of 5	
P33349	reviewed	Uncharacterized protein YehM	yehM yehN yehO b2120 JW2108		YEHM_ECOLI	GO:0005829	cytosol [GO:0005829]		83,390		KW-1185	2 out of 5	
P33352	reviewed	Uncharacterized protein YehP	yehP b2121 JW5350		YEHP_ECOLI				42,119		KW-1185	1 out of 5	
P33354	reviewed	Uncharacterized lipoprotein YehR	yehR b2123 JW5351		YEHR_ECOLI	GO:0005886	plasma membrane [GO:0005886]		16,594		KW-0002; KW-0449; KW-0472; KW-0564; KW-0732; KW-1003; KW-1185	2 out of 5	
P33355	reviewed	Uncharacterized protein YehS	yehS b2124 JW2112		YEHS_ECOLI				17,973		KW-1185	1 out of 5	
P0AFT5	reviewed	Transcriptional regulatory protein BtsR	btsR yehT b2125 JW5352		BTSR_ECOLI	GO:0000160; GO:0003677; GO:0006355	DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]	phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]	27,400		KW-0238; KW-0597; KW-0804; KW-0805; KW-0902; KW-1185	4 out of 5	FUNCTION: Member of the two-component regulatory system BtsS/BtsR, which is part of a nutrient-sensing regulatory network composed of BtsS/BtsR, the low-affinity pyruvate signaling system YpdA/YpdB and their respective target proteins, BtsT and YhjX. Responds to depletion of nutrients, specifically serine, and the concomitant presence of extracellular pyruvate. BtsR regulates expression of btsT by binding to its promoter region. Activation of the BtsS/BtsR signaling cascade also suppresses YpdA/YpdB-mediated yhjX induction. {ECO:0000269|PubMed:15522865, ECO:0000269|PubMed:22685278, ECO:0000269|PubMed:24659770, ECO:0000269|PubMed:28469239}.
P0AD14	reviewed	Sensor histidine kinase BtsS (EC 2.7.13.3)	btsS yehU b2126 JW5353		BTSS_ECOLI	GO:0000155; GO:0000160; GO:0005524; GO:0005886; GO:0005887; GO:0018106; GO:0071555	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; cell wall organization [GO:0071555]; peptidyl-histidine phosphorylation [GO:0018106]; phosphorelay signal transduction system [GO:0000160]	cell wall organization [GO:0071555]; peptidyl-histidine phosphorylation [GO:0018106]; phosphorelay signal transduction system [GO:0000160]	62,092		KW-0067; KW-0418; KW-0472; KW-0547; KW-0597; KW-0808; KW-0812; KW-0902; KW-0997; KW-1003; KW-1133; KW-1185	5 out of 5	FUNCTION: Member of the two-component regulatory system BtsS/BtsR, which is part of a nutrient-sensing regulatory network composed of BtsS/BtsR, the low-affinity pyruvate signaling system YpdA/YpdB and their respective target proteins, BtsT and YhjX. Responds to depletion of nutrients, specifically serine, and the concomitant presence of extracellular pyruvate. BtsS is a high-affinity receptor for extracellular pyruvate that activates BtsR by phosphorylation. Activation of the BtsS/BtsR signaling cascade also suppresses YpdA/YpdB-mediated yhjX induction. {ECO:0000269|PubMed:15522865, ECO:0000269|PubMed:22685278, ECO:0000269|PubMed:24659770, ECO:0000269|PubMed:28469239}.
P33359	reviewed	Glycine betaine uptake system permease protein YehW	yehW b2128 JW2116		YEHW_ECOLI	GO:0005886; GO:0006865; GO:0016021; GO:0031460; GO:0055085	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; amino acid transport [GO:0006865]; glycine betaine transport [GO:0031460]; transmembrane transport [GO:0055085]	amino acid transport [GO:0006865]; glycine betaine transport [GO:0031460]; transmembrane transport [GO:0055085]	25,515		KW-0029; KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185	4 out of 5	FUNCTION: Part of an ABC transporter complex involved in low-affinity glycine betaine uptake. Probably responsible for the translocation of the substrate across the membrane. {ECO:0000269|PubMed:26325238}.
P33360	reviewed	Glycine betaine uptake system ATP-binding protein YehX (EC 7.4.2.-)	yehX b2129 JW2117		YEHX_ECOLI	GO:0005524; GO:0006865; GO:0016887; GO:0031460	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; amino acid transport [GO:0006865]; glycine betaine transport [GO:0031460]	amino acid transport [GO:0006865]; glycine betaine transport [GO:0031460]	34,425		KW-0029; KW-0067; KW-0547; KW-0813; KW-1185; KW-1278	3 out of 5	FUNCTION: Part of an ABC transporter complex involved in low-affinity glycine betaine uptake. Probably responsible for energy coupling to the transport system. {ECO:0000269|PubMed:26325238}.
P33361	reviewed	Glycine betaine uptake system permease protein YehY	yehY b2130 JW2118		YEHY_ECOLI	GO:0005886; GO:0006865; GO:0016021; GO:0031460; GO:0055085	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; amino acid transport [GO:0006865]; glycine betaine transport [GO:0031460]; transmembrane transport [GO:0055085]	amino acid transport [GO:0006865]; glycine betaine transport [GO:0031460]; transmembrane transport [GO:0055085]	41,139		KW-0029; KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185	4 out of 5	FUNCTION: Part of an ABC transporter complex involved in low-affinity glycine betaine uptake. Probably responsible for the translocation of the substrate across the membrane. {ECO:0000269|PubMed:26325238}.
P25747	reviewed	Uncharacterized protein YeiB	yeiB b2152 JW2139		YEIB_ECOLI	GO:0005886; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		43,394		KW-0472; KW-0812; KW-0813; KW-1003; KW-1133; KW-1185	2 out of 5	FUNCTION: Involved in transport. {ECO:0000305}.
P0ACR4	reviewed	Uncharacterized HTH-type transcriptional regulator YeiE	yeiE b2157 JW2144		YEIE_ECOLI	GO:0003677; GO:0003700; GO:0006351	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; transcription, DNA-templated [GO:0006351]	transcription, DNA-templated [GO:0006351]	32,724		KW-0238; KW-0804; KW-0805; KW-1185	2 out of 5	
P33018	reviewed	S-formylglutathione hydrolase YeiG (FGH) (EC 3.1.2.12)	yeiG b2154 JW2141		SFGH2_ECOLI	GO:0004416; GO:0005829; GO:0018738; GO:0042802; GO:0046294; GO:0051289; GO:0052689	cytosol [GO:0005829]; carboxylic ester hydrolase activity [GO:0052689]; hydroxyacylglutathione hydrolase activity [GO:0004416]; identical protein binding [GO:0042802]; S-formylglutathione hydrolase activity [GO:0018738]; formaldehyde catabolic process [GO:0046294]; protein homotetramerization [GO:0051289]	formaldehyde catabolic process [GO:0046294]; protein homotetramerization [GO:0051289]	31,259		KW-0378; KW-0719; KW-1185	5 out of 5	FUNCTION: Serine hydrolase involved in the detoxification of formaldehyde. Hydrolyzes S-formylglutathione to glutathione and formate. Shows also esterase activity against alpha-naphthyl acetate, lactoylglutathione, palmitoyl-CoA and several pNP-esters of short chain fatty acids. {ECO:0000269|PubMed:15808744, ECO:0000269|PubMed:16567800}.
P62723	reviewed	UPF0324 inner membrane protein YeiH	yeiH b2158 JW2145		YEIH_ECOLI	GO:0005886; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		36,882		KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185	2 out of 5	
P33020	reviewed	Uncharacterized sugar kinase YeiI (EC 2.7.1.-)	yeiI b2160 JW2147		YEII_ECOLI	GO:0016773; GO:0019200	carbohydrate kinase activity [GO:0019200]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]		39,710		KW-0418; KW-0808; KW-1185	2 out of 5	
P0A9E9	reviewed	Regulatory protein YeiL	yeiL nsr b2163 JW2150	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000305|PubMed:11101674};  Note=Binds 1 [4Fe-4S] cluster per subunit. {ECO:0000305|PubMed:11101674};	YEIL_ECOLI	GO:0003677; GO:0003700; GO:0005829; GO:0006351; GO:0046872; GO:0051539	cytosol [GO:0005829]; 4 iron, 4 sulfur cluster binding [GO:0051539]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; transcription, DNA-templated [GO:0006351]	transcription, DNA-templated [GO:0006351]	25,294	METAL 68;  /note="Iron-sulfur (4Fe-4S)";  /evidence="ECO:0000255"; METAL 91;  /note="Iron-sulfur (4Fe-4S)";  /evidence="ECO:0000255"; METAL 93;  /note="Iron-sulfur (4Fe-4S)";  /evidence="ECO:0000255"; METAL 116;  /note="Iron-sulfur (4Fe-4S)";  /evidence="ECO:0000255"	KW-0004; KW-0010; KW-0238; KW-0408; KW-0411; KW-0479; KW-0678; KW-0804; KW-0805; KW-0963; KW-1185	3 out of 5	FUNCTION: Transcription regulator involved in mid-term, stationary-phase viability under nitrogen starvation. Might control expression of the salvage pathways or in some other way repress the recycling of nucleobases to nucleic acids and enhance their use as general nitrogen sources during nitrogen-limited growth. {ECO:0000269|PubMed:11101674}.
P0A6N8	reviewed	Elongation factor P-like protein	yeiP b2171 JW5362		EFPL_ECOLI	GO:0003746; GO:0005737; GO:0005829	cytoplasm [GO:0005737]; cytosol [GO:0005829]; translation elongation factor activity [GO:0003746]		21,533		KW-1185	2 out of 5	
P33029	reviewed	Uncharacterized oxidoreductase YeiQ (EC 1.-.-.-)	yeiQ b2172 JW2160		YEIQ_ECOLI	GO:0016491; GO:0019594; GO:0050662	coenzyme binding [GO:0050662]; oxidoreductase activity [GO:0016491]; mannitol metabolic process [GO:0019594]	mannitol metabolic process [GO:0019594]	54,032		KW-0520; KW-0560; KW-1185	2 out of 5	
